company_name,domain,website,linkedin_url,company_email,phone,country,city,industry_keywords,source_show
'AJAYYP BINA' Economic Society,ajayypbina.com,https://www.ajayypbina.com,,asia_partner@hotmail.com,+90 546 657 16 45,Turkmenistan,Ashgabat,Open End Cotton Yarn; Ring Cotton Yarn; Yarn producer; Yarn for knitting ; Yarn for weaving,Heimtextil 2026
'Ceramika Artystyczna' Spółdzielnia Rękodzieła Artystycznego w Bolesławcu,ceramika-artystyczna.pl,https://www.ceramika-artystyczna.pl,,poczta@ceraart.com.pl,+48 75 732 40 51,Poland,Bolesławiec,ceramics; pottery; artistic ceramic; hand made; table ware,Ambiente 2026
'Great-Kokand' LLC,greatkokand.uz,https://greatkokand.uz,,adp777@mail.ru,+998 91 155 02 00,Uzbekistan,Kokand,,Heimtextil 2026
"'Karwel' Z. Jedrychowski, K. Renski Spólka Jawna",karwel.com.pl,https://www.karwel.com.pl,,karwel@karwel.com.pl,+48 23 698 20 12,Poland,Stare Dlutowo,Karwel; Curtain rods; Shelfs; Roller blinds; Table legs,Heimtextil 2026
10 Strawberry Street,tenstrawberrystreet.com,https://www.tenstrawberrystreet.com,,tanners@tenstrawberrystreet.com,,United States,Denver Colorado,Seasonal; Christmas; Dinnerware; Glassware; Halloween,Ambiente 2026
100percent Inc.,100per.com,https://www.100per.com,,info@100per.com,+81 3-5759-4647,Japan,"Shinagawa, Tokyo",,Ambiente 2026
"1888 Mills, LLC",1888mills.com,https://www.1888mills.com,,mpinder@1888mills.com,+1 630-925-7955,United States,Griffin,Manufacturer of home textiles; Terry; Towels; Bed Linen; Sustainability,Heimtextil 2026
24Bottles Società Benefit S.r.l.,24bottles.com,https://24bottles.com/,,lucia@24bottles.com,+39 051 033 0500,Italy,Castenaso,Water Bottles; Straw Cup; Spin Bottle; Stainless Steel; Insulated Bottles,Ambiente 2026
28lots GmbH,28lots.at,https://www.28lots.at,,welcome@28lots.at,+43 660 6019875,Austria,Wien,28lots; Schokolade; Wiener Schokolade; chocolate; Vienna,Ambiente 2026
2M2 Group AB,2m2.se,https://www.2m2.se,,johan@2m2.se,,Sweden,Bastad,UPCYCLE; MAGGIE,Ambiente 2026
"3 CLAVELES - BUENO HERMANOS, S.A.",3claveles.com,https://www.3claveles.com,,exportacion@buenohermanos.com,+34 941 27 27 24,Spain,"Logrono, La Rioja",Professional kitchen shears; 3 Claveles; Shears; Scissors; Knives,Ambiente 2026
30x40,30x40.net,https://www.30x40.net,,info@30x40.net,,Germany,Prebberede OT Rensow,Papeterie; Home Accessories; Notizblöcke; Sustainable Design; Made in Germany,Ambiente 2026
"33 Point 3 Exports, Inc.",33point3.com,https://www.33point3.com,,maribelle@33point3.com,+63 32 344 8331,Philippines,Cebu City,handwoven; handicraft; artisan; weave; export,Ambiente 2026
