Creation Time,Marketplace Type,Body,Currency Code,Currency Amount,Billing Time Unit,Free Consultation included
Fri Feb 06 03:18:49 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:10 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:12 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:12 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:15 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:17 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:18 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:20 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:23 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:25 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:25 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:26 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:32 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:32 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:34 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:36 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:37 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:44 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:47 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:20:07 UTC 2026,SERVICE_MARKETPLACE,"Hi Mian,  Thanks for sharing the brief — this is exactly the type of leadership work I’m brought in for.  My background isn’t traditional coaching. I work with founders and senior leaders who are already capable and commercially driven, but who are carrying too much because the business has outgrown its current operating model.  In small businesses, leadership pressure usually shows up as:  The founder becoming the bottleneck  Strategy existing, but execution being inconsistent  Sales and delivery relying too heavily on a small number of people   My role is to help leaders create clarity, structure and leverage, without slowing momentum.  I typically support across:  Leadership clarity & decision-making – what should sit with you vs the team  Strategy into execution – turning intent into priorities and outcomes  Commercial & sales leadership – aligning leadership behaviour to revenue  Building leverage – so the business doesn’t rely on one individual   I work through focused, outcomes-led engagements (often 6–12 weeks), combining a practical leadership diagnostic with regular 1:1 working sessions centred on real decisions and live challenges — not theory.  Leaders usually see:  Fewer decisions stuck with them  Stronger execution and accountability  Improved commercial focus  Reduced personal strain with better control   If helpful, I’d welcome a short conversation to understand what’s driving the need now and what success would look like for you.  Best, Phil",,,,true
Fri Feb 06 03:20:07 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:20:08 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:20:08 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:20:19 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:20:26 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:18:51 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:18:53 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:18:53 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:18:54 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:18:56 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:00 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:02 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:03 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:14 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:22 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:32 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:35 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:38 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:39 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:52 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:52 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:56 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:58 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:58 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:19:59 UTC 2026,SERVICE_MARKETPLACE,,,,,
Fri Feb 06 03:20:15 UTC 2026,SERVICE_MARKETPLACE,,,,,
