name,rewriteId,detail_url,country,province,city,zip,street,building,phone,fax,email,homepage,short_description,description,halls,stands,zones,exhibitor_programs,product_categories,usage_areas,product_end_uses,keywords,tags,brands,facebook,instagram,linkedin,twitter,youtube,tiktok,pinterest,wechat,weibo,whatsapp,logo,last_approval
'Ceramika Artystyczna' Spółdzielnia Rękodzieła Artystycznego w Bolesławcu,ceramika-artystyczna-spldzielnia-rekodziela-artystycznego-w-boleslawcu,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/ceramika-artystyczna-spldzielnia-rekodziela-artystycznego-w-boleslawcu.html,Poland,,Bolesławiec,59-700,Tadeusza Kościuszki 23,,+48 75 732 40 51,+48 75 732 40 53,poczta@ceraart.com.pl,https://www.ceramika-artystyczna.pl,,"We are ""Ceramika Artystyczna,"" the Artistic Handicraft Cooperative in Bolesławiec. We are very successful as a result of...",12.0,H12.0-E56,,,Table & Table Select,,,ceramics; pottery; artistic ceramic; hand made; table ware,,,https://www.facebook.com/Ceramika.Artystyczna.z.Boleslawca/,https://www.instagram.com/ceramika_artystyczna_poland/,,,,,,,,,,2025-11-21T11:26:48
10 Strawberry Street,imdc-inc,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/imdc-inc.html,United States,Colorado,Denver Colorado,80207-1435,3837 Monaco Pkwy,,,,tanners@tenstrawberrystreet.com,https://www.tenstrawberrystreet.com,,"Welcome to 10 Strawberry Street, where we blend timeless elegance with modern design to create dinnerware and glassware that...",12.0,H12.0-A69,,,,,,Seasonal; Christmas; Dinnerware; Glassware; Halloween,,,https://www.facebook.com/prestashop/,,,,,,https://www.pinterest.com/10strawberryst/,,,,,2026-02-05T07:07:46
100percent Inc.,100percent-inc,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/100percent-inc.html,Japan,,"Shinagawa, Tokyo",1410033,1-6-4 Nishishinagawa,,+81 3-5759-4647,+81 3-5759-6748,info@100per.com,https://www.100per.com,,,3.1,H3.1-A49,,,,,,,,,https://www.facebook.com/100percent-Inc-227621537247875/,https://www.instagram.com/100percent_japan/,,,,,,,,,,2025-11-07T08:34:49
24Bottles Società Benefit S.r.l.,24bottles-societ-benefit-srl,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/24bottles-societ-benefit-srl.html,Italy,Bologna,Castenaso,40055,Via Toscanini 9,,+39 051 033 0500,,lucia@24bottles.com,https://24bottles.com/,,24Bottles is the Italian design brand born in 2013 to reduce the impact of disposable plastic bottles on the planet and our...,4.2,H4.2-J02,,,Modern Kitchen & Baking; Table & Table Select,,,Water Bottles; Straw Cup; Spin Bottle; Stainless Steel; Insulated Bottles,,,,,,,,,,,,,,2025-11-07T08:31:35
28lots GmbH,28lots-gmbh,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/28lots-gmbh.html,Austria,AUT_W,Wien,1020,Mayergasse 3,,+43 660 6019875,,welcome@28lots.at,https://www.28lots.at,,28lots is a Viennese chocolate manufacturer. Our exquisite creations were developed by Vienna's first certified chocolate...,9.1,H9.1-B44,,,,,,28lots; Schokolade; Wiener Schokolade; chocolate; Vienna,,,,https://instagram.com/28_lots,,,,,,,,,,2026-01-13T14:19:52
2M2 Group AB,2m2-group-ab,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/2m2-group-ab.html,Sweden,,Bastad,269 43,Inre Kustvägen 22-24,,,,johan@2m2.se,https://www.2m2.se,,"2M2 Group, located in Båstad, Sweden, specializes in trading and direct import from Europe and Asia. With a focus on direct...",3.0,H3.0-G01,,,,,,UPCYCLE; MAGGIE,,,,,,,,,,,,,,2025-11-12T08:16:45
"3 CLAVELES - BUENO HERMANOS, S.A.",bueno-hermanos-sa,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/bueno-hermanos-sa.html,Spain,,"Logrono, La Rioja",26009,"Pol. Ind. Cantabria I, C/ Barrigüelo 6",,+34 941 27 27 24,,exportacion@buenohermanos.com,https://www.3claveles.com,,"3 Claveles, Quality, Innovation and Design since 1930. Cutlery manufacturers with an international presence.BUENO HERMANOS...",8.0,H8.0-C69,,,Cook & Cut,,,Professional kitchen shears; 3 Claveles; Shears; Scissors; Knives,,,https://www.facebook.com/tresclaveles,https://www.instagram.com/3clavelesoficial/,,https://twitter.com/3claveles,https://www.youtube.com/user/3ClavelesBH,,,,,,,2026-01-30T07:53:53
30x40,30x40-michaela-schwarzer,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/30x40-michaela-schwarzer.html,Germany,DEU_13,Prebberede OT Rensow,17168,Zu den Wiesen 1,,,,info@30x40.net,https://www.30x40.net,,30×40 steht für Design mit Herz und Haltung. Zwischen Papeterie und Interior Design vereint die Marke feine Illustrationen...,4.2,H4.2-C52,,,,,,Papeterie; Home Accessories; Notizblöcke; Sustainable Design; Made in Germany,,,,,,,,,,,,,,2025-11-14T11:10:53
"33 Point 3 Exports, Inc.",33-point-3-exports-inc,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/33-point-3-exports-inc.html,Philippines,,Cebu City,6014,"Mandaue City, Cebu ML Quezon Street, Casuntingan","Mandaue City, Cebu",+63 32 344 8331,+63 32 344 8832,maribelle@33point3.com,https://www.33point3.com,,"33 Point 3 Exports, Inc. was established on 1990 in Cebu City, the center and focal point of the houseware industry in the...",10.4,H10.4-C51,,,,,,handwoven; handicraft; artisan; weave; export,,,,,,,,,,,,,,2025-11-13T04:53:00
3D Cam Pazarlama Sanayi Ve Ticaret Limited Sirketi,3d-cam-pazarlama-sanayi-ve-ticaret-limited-sirketi,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/3d-cam-pazarlama-sanayi-ve-ticaret-limited-sirketi.html,Türkiye,,Istanbul (Anatolia),34906,Ramazanoglu Mah. Ensar Cad. 6-1,,+90 216 489 02 05,,sales@3dglassware.com,https://www.3dglassware.com,,"For over two decades, 3D Cam has been an established exporter of fused glassware, connecting Turkish craftsmanship with the...",11.0,H11.0-D05A,,HoReCa,Table & Table Select,,,Glassware; HoReCa; Tabletop; Buffetware; Serveware,,,https://www.facebook.com/3D-GLASSWARE-138676939480248/,https://www.instagram.com/3dglassware/,https://www.linkedin.com/company/3d-glassware/,,,,,,,,,2025-12-17T21:40:30
