Company,Country,Category,Website,Stand,Email,Phone
100 Mistérios,Portugal,Fine Food,http://www.josegourmet.com,Hall 04.1 | A051 B058,carla.gomes@josegourmet.com,+351 932719721
11er Nahrungsmittel GmbH,Austria,Fine Food,https://www.11er.at/,Hall 11.2 | F012,oliver.grabher@11er.at,+43 552251521277
2BOX (JuiceBox & TeaBox),Greece,Drinks,http://www.2box.gr,Hall 08.1 | C062,info@2box.gr,+30 6948511723
2VD sprl,Belgium,Fine Food,http://www.pinchy.com,Hall 05.2 | D050a,bjorn.comijn@2vd.eu,+32 85826001
"3 SEASONS FRUIT INDUSTRY CO., LTD.",Thailand,Fine Food | Organic,https://3seasons-fruit.com/,Hall 11.3 | H051,sales1@3seasons-fruit.com,+66 838650925
3A BIOTECH SL,Spain,Meat,https://tres-a.net/,Hall 07.1 | A042,info@tres-a.net,+34 968839004
4-Chef SRL,Italy,Chilled & Fresh Food,http://www.saporeeto.it,Hall 05.1 | C064,g.ottavian@four-chef.com,+39 04441486659
4.0 caffe srl,Italy,Fine Food,http://www.quarantacaffe.it,Hall 11.2 | C037,estero@quarantacaffe.com,+39 3899294349
528 Productions BV,Belgium,Frozen Food,http://www.528.co,Hall 04.1 | A069,info@528.co,+32 56891991
5L S.A.,Argentina,Meat,http://www.grupo5l.com,Hall 09.1 | A008,comex@grupo5l.com,+54 93447510560
7 spices co,Egypt,Fine Food,http://www.sevenspicesco.com,Hall 02.1 | B065,export@sevenspicesco.com,+20 1200884455
8th Avenue Food & Provisions,Canada,Fine Food,http://www.8ave.com,Hall 11.2 | D027,Patricia.Nayfeh@8ave.com,+1 141 684 3477 0
A MAR ES ESPECTACULAR,Spain,Fine Food,http://www.amarespectacular.com,Hall 11.1 | C036,carlos@amarespectacular.com,+34 609421429
A PIZZA VULCANO FOOD GOURMET,Italy,Frozen Food,http://www.apizza.it,Hall 04.1 | C017,info@apizza.it,+39 081866685
A&E Solutions Consultants Ltd,Cyprus,Fine Food,http://www.artima.com.cy,Hall 11.2 | F040,info@solcon.com.cy,+357 24000030
"A&J Korea Co., Ltd.","Korea, Republic of",,,Hall 1.2 | F015,,
A&Y Food Industries Pvt Ltd,Pakistan,Fine Food | Frozen Food,https://ayfoodindustries.com/,Hall 11.3 | E032,bilal@ayfoodindustries.com,+92 3212599206
"A+Z Risnovsky, Halasz",Slovakia,Fine Food,http://www.azkonzervaren.sk,Hall 10.2 | B091,risnovsky@azkonzervaren.sk,+421 317016701
A-Grosik PSH Jacek Wolkowicz,Poland,Fine Food,https://www.agrosik.pl/en/home/,Hall 02.1 | E046,agrosik@agrosik.pl,+48 603919203
A-LIMA-BIS SP. Z O.O.,Poland,Dairy,http://www.alimabis.com.pl,Hall 10.1 | C070 C078,info@alimabis.com.pl,+48 612853861
A. Barbagallo Di Mauro srl,Italy,Fine Food,http://www.barbagallo1911.it,Hall 05.2 | A041 A049,info@barbagallo1911.it,+39 095641059
A. Rieper AG,Italy,Fine Food,http://ww.rieper.com,Hall 11.2 | G026,info@rieper.com,+39 0472867900
A. Zorbas & Sons Ltd.,Cyprus,Frozen Food,http://www.zorbas.com.cy,Hall 04.2 | B017,achristaki@zorbas.com.cy,+357 24201369
A.AGATHOKLEOUS LTD,Cyprus,Fine Food,https://www.kingofolives.com.cy/,Hall 11.2 | F048b,sales@kingofolives.com.cy,+357 99116900
A.B. Export Import LLC,Ukraine,Fine Food,https://uvas-oilsun.com.ua/,Hall 02.1 | D012,liudmilatymofiienko@gmail.com,+380 933986221
A.B. Technologies Alimentaires,France,Dairy,https://www.ab-technologies.com/,Hall 10.1 | B011a,adv@ab-technologies.com,+33 297531700
"A.E.C. Canning Co., Ltd.",Thailand,Fine Food,http://www.aeccanning.co,Hall 11.3 | G044,pavena.b@aeccanning.com,+66 34432405
