Company,Category,Website,Email,Phone,Contact Person,LinkedIn,Notes,Source,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score
Belvoir Farm Drinks,Beverages,,,,,,,UKHospitality,,,,,,,partial,1
Britvic,Beverages,,,,,,,UKHospitality,,,,,,,partial,1
Coca-Cola Europacific Partners,Beverages,,,,,,,UKHospitality,,,,,,,partial,1
COOK,Food,,,,,,,UKHospitality,,,,,,,partial,1
Diageo,Beverages/Alcohol,,,,,,,UKHospitality,,,,,,,partial,1
Emmi,Dairy,,,,,,,UKHospitality,,,,,,,partial,1
Filippo Berio,Olive Oil,,,,,,,UKHospitality,,,,,,,partial,1
Gastro-Cool,Food Service,,,,,,,UKHospitality,,,,,,,partial,1
McCormick,Spices/Seasonings,,,,,,,UKHospitality,,,,,,,partial,1
Remedy Drinks,Beverages,,,,,,,UKHospitality,,,,,,,partial,1
United Food Brands,Food,,,,,,,UKHospitality,,,,,,,partial,1
Cadence,Food/Beverage,,,,,,,UKHospitality - New 2026,,,,,,,partial,1
ClonaPure,Food/Beverage,,,,,,,UKHospitality - New 2026,,,,,,,partial,1
Holy Soft Drinks,Beverages,,,,,,,UKHospitality - New 2026,,,,,,,partial,1
Itsu,Food,,,,,,,UKHospitality - New 2026,,,,,,,partial,1
Kuchenmeister,Bakery,,,,,,,UKHospitality - New 2026,,,,,,,partial,1
LitFood,Food,,,,,,,UKHospitality - New 2026,,,,,,,partial,1
St Michel,Bakery,,,,,,,News Page,,,,,,,partial,1
Piglets Pantry,Food,,,,,,,News Page,,,,,,,partial,1
Doughboys,Food,,,,,,,News Page,,,,,,,partial,1
CHO Group/Britaste Company,Food,,,,,,,News Page,,,,,,,partial,1
Cirio,Food,,,,,,,News Page,,,,,,,partial,1
Dutch Cocktail Club,Beverages/Alcohol,,,,,,,News Page,,,,,,,partial,1
Epicurium,Food,,,,,,,News Page,,,,,,,partial,1
Radnor Hills,Beverages,,,,,,,News Page,,,,,,,partial,1
Norac Foods,Food,,,,,,,News Page,,,,,,,partial,1
Mai Chai,Beverages,,,,,,,News Page,,,,,,,partial,1
Heylo,Food,,,,,,,News Page,,,,,,,partial,1
Healy Group,Food,,,,,,,News Page,,,,,,,partial,1
Gourmet Pidy,Food,,,,,,,News Page,,,,,,,partial,1
Four Loko,Beverages,,,,,,,News Page,,,,,,,partial,1
Epiros,Dairy,,,,,,,News Page,,,,,,,partial,1
Tropical Sun Foods,Food,,,,,,,News Page,,,,,,,partial,1
Tudor Tea and Coffee,Beverages,,,,,,,News Page,,,,,,,partial,1
St Ewe,Eggs,,,,,,,News Page,,,,,,,partial,1
Greenfield Natural Ingredients,Ingredients,,,,,,,News Page,,,,,,,partial,1
Meadowvale Foods,Food,,,,,,,News Page,,,,,,,partial,1
Manning Impex,Food,,,,,,,News Page,,,,,,,partial,1
Pip and Nut,Snacks,,,,,,,News Page,,,,,,,partial,1
Folkington's,Beverages,,,,,,,Product Mentions,,,,,,,partial,1
Popoli,Olive Oil,,,,,,,Product Mentions,,,,,,,partial,1
Worldpay 360,Payment Solutions,,,,,,,Product Mentions,,,,,,,partial,1
Cress Co,Meat Products,,,,,,,National Craft Butchers,,,,,,,partial,1
Gills Meat Products,Meat Products,,,,,,,National Craft Butchers,,,,,,,partial,1
Lishman's of Ilkley,Meat Products,,,,,,,National Craft Butchers,,,,,,,partial,1
Reiser,Equipment/Meat Processing,,,,,,,National Craft Butchers,,,,,,,partial,1
The Bury Black Pudding Co.,Meat Products,,,,,,,National Craft Butchers,,,,,,,partial,1
Victus Emporium Limited,Food,,,,,,,National Craft Butchers,,,,,,,partial,1
