Company,Category,Website,Email,Phone,Contact Person,LinkedIn,Notes,Source,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score,Title,Fair,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,phone,linkedin_url
Belvoir Farm Drinks,Beverages,,,,,,,UKHospitality,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Britvic,Beverages,,,,,,,UKHospitality,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Coca-Cola Europacific Partners,Beverages,,,,,,,UKHospitality,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
COOK,Food,,,,,,,UKHospitality,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Diageo,Beverages/Alcohol,,,,,,,UKHospitality,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Emmi,Dairy,,,,,,,UKHospitality,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Filippo Berio,Olive Oil,,,,,,,UKHospitality,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Gastro-Cool,Food Service,,,,,,,UKHospitality,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
McCormick,Spices/Seasonings,,,,,,,UKHospitality,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Remedy Drinks,Beverages,,,,,,,UKHospitality,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
United Food Brands,Food,,,,,,,UKHospitality,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Cadence,Food/Beverage,,,,,,,UKHospitality - New 2026,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
ClonaPure,Food/Beverage,,,,,,,UKHospitality - New 2026,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Holy Soft Drinks,Beverages,,,,,,,UKHospitality - New 2026,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Itsu,Food,,,,,,,UKHospitality - New 2026,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Kuchenmeister,Bakery,,,,,,,UKHospitality - New 2026,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
LitFood,Food,,,,,,,UKHospitality - New 2026,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
St Michel,Bakery,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Piglets Pantry,Food,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Doughboys,Food,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
CHO Group/Britaste Company,Food,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Cirio,Food,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Dutch Cocktail Club,Beverages/Alcohol,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Epicurium,Food,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Radnor Hills,Beverages,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Norac Foods,Food,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Mai Chai,Beverages,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Heylo,Food,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Healy Group,Food,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Gourmet Pidy,Food,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Four Loko,Beverages,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Epiros,Dairy,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Tropical Sun Foods,Food,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Tudor Tea and Coffee,Beverages,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
St Ewe,Eggs,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Greenfield Natural Ingredients,Ingredients,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Meadowvale Foods,Food,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Manning Impex,Food,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Pip and Nut,Snacks,,,,,,,News Page,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Folkington's,Beverages,,,,,,,Product Mentions,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Popoli,Olive Oil,,,,,,,Product Mentions,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Worldpay 360,Payment Solutions,,,,,,,Product Mentions,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Cress Co,Meat Products,,,,,,,National Craft Butchers,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Gills Meat Products,Meat Products,,,,,,,National Craft Butchers,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Lishman's of Ilkley,Meat Products,,,,,,,National Craft Butchers,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Reiser,Equipment/Meat Processing,,,,,,,National Craft Butchers,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
The Bury Black Pudding Co.,Meat Products,,,,,,,National Craft Butchers,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
Victus Emporium Limited,Food,,,,,,,National Craft Butchers,,,,,,,partial,0,,,False,False,False,0,0,skip,,,
