Company,Country,Category,Website,Stand,Email,Phone,LinkedIn,Instagram
"""ATS Food"" LLC",Azerbaijan,World Food,https://www.atsfood.az,"51-40, South Hall 8",office@atsfood.az,+99412 489 83 81,,
"0 We Get Any Stock - UK's Leading FMCG Exporter of UK, EU & USA Products",United Kingdom,"Gluten-free Baked Goods | Iced Tea | Bakery, cakes & desserts | Cordials & Syrups | Vegan / Vegetarian Products | Alternative Milk Products | Fortified foods & health products | Sugar-free Products | Cereals / Fruit Bars | Instant Noodles | Baking Supplies | Canned Products | Fresh Ready Meals | Yoghurt (Regular, Flavoured, Fruit, etc.) | Coffee | Dried Milk Products | Pasta | Snacks | Cheese | Frozen food | Instant Beverages | Dry goods | Nut-free Products | Crisp Bread | Instant Soups | Ice Cream / Sorbet / Gelato | Ice Cream | Smoothies | Cream & Cream Products | Free-from products | Health & Wellness Products | Milk | Flavoured Water | Specialty Breads | Butter | Dairy-free Products | Energy Drinks | Baked Goods | Condiments & sauces | Spices & Seasonings | Non-alcoholic Beverages | Fat-free Products | Cakes / Dessert | Dried Fruits | Gluten-Free Products | Lactose-free Products | Bottled Water | Carbonated Soft Drinks | Chilled & fresh food | Instant hot beverages | Juices & Nectars",https://www.wegetanystock.com/,"3-113, South Hall 1",,,,
0 BRAND FACTORY LTD,United Kingdom,"Iced Tea | Government/associations | Cordials & Syrups | Vegan / Vegetarian Products | Tea | Spreads, honey & jams | Sugar-free Products | Cereals / Fruit Bars | Instant Noodles | Fortified foods & health products | Frozen Ready Meals | Canned Products | Coffee | Pasta | Snacks | Frozen food | Instant Beverages | Dry goods | Nut-free Products | Private label | Instant Soups | Ice Cream / Sorbet / Gelato | Smoothies | Frozen Baked Goods | Free-from products | Frozen Dairy Products | Fortified & Functional Products | Health & Wellness Products | Flavoured Water | Dairy-free Products | Energy Drinks | Condiments & sauces | Frozen Fruit & Vegetables | Spices & Seasonings | Fat-free Products | Dried Fruits | Healthy snacks | Gluten-Free Products | Lactose-free Products | Bottled Water | Carbonated Soft Drinks | Non-alcoholic Beverages | Instant hot beverages | Juices & Nectars",https://www.brandfactory.co.uk/,"4-69, South Hall 1",,+44207862128549,https://www.linkedin.com/company/brand-factory-ltd,@brandfactoryltd_uk
0 ! Newtrition Sp. z o.o. Sp. k,Poland,"Gluten-free Baked Goods | Bakery, cakes & desserts | Halal and kosher food | Vegan / Vegetarian Products | Ready-to-Eat | Spreads, honey & jams | Sugar-free Products | Cereals / Fruit Bars | Fortified foods & health products | Snacks | Salty Snacks | Value-Added Food | Nut-free Products | Private label | Free-from products | Fortified & Functional Products | Health & Wellness Products | Dairy-free Products | Gourmet & Fine Food | Specialty food | Baked Goods | Cakes / Dessert | Healthy snacks | Gluten-Free Products | Lactose-free Products | Organic products",https://feel-fit.pl/en/,"9-43, South Hall 1",info@feel-fit.pl,,https://www.linkedin.com/company/newtrition-sp-z-o-o-sp-k,@feelfitpl
0 All About Brands - Exporting Top UK FMCG Brands,United Kingdom,"Savoury snacks | Iced Tea | Bakery, cakes & desserts | Halal and kosher food | Vegan / Vegetarian Products | Cordials & Syrups | Tea | Coffee Beans | Fortified foods & health products | Sugar-free Products | Cereals / Fruit Bars | Instant Noodles | Savoury Baked Products | Frozen Ready Meals | Canned Products | Oats | Frozen Meat | Coffee | Pulses/ grains / cereals / flours | Pasta | Frozen Seafood | Snacks | Nuts | Breakfast Cereals | Salty Snacks | Frozen food | Instant Beverages | Dry goods | Dried Fruit & Vegetables | Nut-free Products | Instant Soups | Ice Cream / Sorbet / Gelato | Smoothies | Frozen Baked Goods | Free-from products | Frozen Dairy Products | Health & Wellness Products | Popcorn | Flavoured Water | Dairy-free Products | Crackers | Energy Drinks | Vegetable snacks | Condiments & sauces | Frozen Fruit & Vegetables | Spices & Seasonings | Non-alcoholic Beverages | Cakes / Dessert | Healthy snacks | Gluten-Free Products | Dried Fruits | Bottled Water | Carbonated Soft Drinks | Instant hot beverages | Juices & Nectars",https://all-aboutbrands.com,"3-35, South Hall 1",info@all-aboutbrands.com,+44 (0) 20 4634 1318,https://www.linkedin.com/company/allaboutbrands,@allaboutbrandsuk
062213541582,Germany,"Bakery, cakes & desserts | Halal and kosher food | Tea | Instant Noodles | Canned Products | Coffee | Frozen food | Instant Beverages | Dry goods | Private label | Ice Cream / Sorbet / Gelato | Organic products | Energy Drinks | Baked Goods | Cakes / Dessert",https://www.delikatessa.de/,"7-2, South Hall 1",info@delikatessa.de,+49 6221 - 335 60 21,https://www.linkedin.com/company/delikatessa-gmbh,@delikatessa_original
1 ATTIMO INFORMA,United Arab Emirates,"Gluten-free Baked Goods | Bakery, cakes & desserts | Halal and kosher food | Vegan / Vegetarian Products | Spreads, honey & jams | Sugar-free Products | Cereals / Fruit Bars | Fortified foods & health products | Savoury Baked Products | Snacks | Sales Services | Professional services | Free-from products | Fortified & Functional Products | Health & Wellness Products | Flavoured Water | Specialty Breads | Energy Drinks | Baked Goods | Fat-free Products | Cakes / Dessert | Healthy snacks | Gluten-Free Products | Non-alcoholic Beverages",https://mercanda.ae/,"N1-J135, North Hall 1",info@mercanda.ae,+971 58 526 7705,,
1 PANICLE WORLDWIDE GI-PWG,India,"Halal and kosher food | Vegan / Vegetarian Products | Coffee Beans | Ready-to-Eat | Spreads, honey & jams | Coffee | Pulses/ grains / cereals / flours | Instant Beverages | Private label | Organic products | Free-from products | Gourmet & Fine Food | Specialty food | Gluten-Free Products | Instant hot beverages",https://panicleworldwide.com/,"DG-H55, North Hall 13",,,,
1 PG Nedeljkov DOO,Serbia,Technology | Vegetable & animal oils & fats | Sustainability | Fruit Seeds | Chilled & fresh food | Fresh Fruits & Vegetables | Agri-product Seeds | AgriTech,https://pgnedeljkov.com/,"GG-L30, North Hall 12",office@pgnedeljkov.com,+381642354293,https://www.linkedin.com/company/family-farm-nedeljkov,@nedeljkov_gazdinstvo
1 Sonya Foods Private Limited,India,"Halal and kosher food | Vegan / Vegetarian Products | Fortified foods & health products | Sugar-free Products | Spreads, honey & jams | Snacks | Salty Snacks | Nuts | Private label | Organic products | Free-from products | Fortified & Functional Products | Health & Wellness Products | Specialty food | Fair Trade | Gluten-Free Products | Lactose-free Products",https://www.sonyafoods.com/,"SH-Y10, South Hall 12",,,,
11er Nahrungsmittel GmbH,Austria,Finger Food | Halal and kosher food | Frozen Ready Meals | Snacks | Frozen food | Value-Added Food | Private label | Frozen Baked Goods | Gourmet & Fine Food | Specialty food,https://www.11er.at,"5-111, South Hall 1",info@11er.at,+43 5522 515 21 0,https://www.linkedin.com/company/11er-nahrungsmittel,@11ergenusswelt
1767 Premium Beverages,Greece,Non-alcoholic Beverages,https://www.1767beverages.com,"Z5-H15, Za'abeel Hall 5",info@1767beverages.com,+30 690 777 2788,,@1767beverages
1st Vegan GmbH,Germany,Agri-oil | Vegan / Vegetarian Products | Fortified foods & health products | Oil | Private label | Free-from products | Olive Oil | Health & Wellness Products | Vegetable & animal oils & fats | Organic products,https://www.1st-vegan.com,"7-16, South Hall 1",,,,
1to3 Foods,India,Halal and kosher food | Ready-to-Eat | Fortified foods & health products | Cereals / Fruit Bars | Instant Noodles | Pulses/ grains / cereals / flours | Pasta | Snacks | Millet | Breakfast Cereals | Dry goods | Private label | Instant Soups | Wheat | Fortified & Functional Products | Specialty food | Spices & Seasonings,https://1to3foods.com/,"SH-Y2, South Hall 12",,,,
1win Group,Russian Federation,Fortified & Functional Products | Health & Wellness Products | Fortified foods & health products,https://one-win.ru/,"2-94, South Hall 1",info@one-win.ru,,,@1win.life
251966410788,Ethiopia,Pulses/ grains / cereals / flours | Coffee Beans | Pulses,https://www.tropical-pharma.com,"5-80, South Hall 1",,,,
"3 F EXOTIC CO., LTD",Thailand,Halal and kosher food | Vegan / Vegetarian Products | Ready-to-Eat | Fortified foods & health products | Fresh Ready Meals | Snacks | Fresh Side Dishes & Ingredients | Fresh Fruits & Vegetables | Dry goods | Dried Fruit & Vegetables | Free-from products | Health & Wellness Products | Specialty food | Vegetable snacks | Spices & Seasonings | Dried Fruits | Healthy snacks | Gluten-Free Products | Chilled & fresh food,https://3fexotic.com/,"GG-P15, North Hall 12",,,,
"3 SEASONS FRUIT INDUSTRY CO.,LTD",Thailand,Halal and kosher food | Vegan / Vegetarian Products | Dates & Date Palm Products | Tea | Fortified foods & health products | Sugar-free Products | Snacks | Frozen food | Instant Beverages | Dry goods | Dried Fruit & Vegetables | Private label | Smoothies | Organic products | Free-from products | Health & Wellness Products | Frozen Fruit & Vegetables | Dried Fruits | Healthy snacks,https://3seasons-fruit.com,"N1-K10, North Hall 1",sales@3seasons-fruit.com,+86(0571)88380736,,
3 Sisters Banana Chips,Philippines,Dried Fruit & Vegetables | Specialty food | Halal and kosher food | Snacks | Ready-to-Eat,https://web.facebook.com/3SistersHomemadeBananaChips,"N2-C12, North Hall 2",,,,
30 export,Saudi Arabia,"Government/associations | Iced Tea | Bakery, cakes & desserts | Halal and kosher food | Alternative Milk Products | Yoghurt (Regular, Flavoured, Fruit, etc.) | Frozen Meat | Coffee | Cheese | Frozen food | Professional services | Private label | Cream & Cream Products | Frozen Baked Goods | Logistics | Frozen Dairy Products | Milk | Butter | Baked Goods | Non-alcoholic Beverages | Cakes / Dessert | Juices & Nectars",https://www.30export.com,"37-92, South Hall 6",,,,
3FG International Trading L.L.C,United Arab Emirates,"Rice, Pulses & Grains",https://www.3fg.ae,"N5-C20, North Hall 5",office@3fg.ae,+971 56 187 6941,,
3X Energy Drink,United Arab Emirates,Energy Drinks | Non-alcoholic Beverages | Carbonated Soft Drinks,https://3x-energy.com/,"Z2-70, Za'abeel Hall 2",info@3x-energy.com,+33 6 25 77 75 82,,@3xenergydrink
4700BC Gourmet Snacks,India,Power Brands,https://4700bc.com/,"A5-35, Hall 5",,,,
4A NUTRITION FOR FOOD INDUSTRIES,Egypt,"Bakery, cakes & desserts | Halal and kosher food | Fortified foods & health products | Spreads, honey & jams | Cereals / Fruit Bars | Savoury Baked Products | Oats | Pulses/ grains / cereals / flours | Pasta | Snacks | Breakfast Cereals | Artisanal | Dry goods | Private label | Free-from products | Fortified & Functional Products | Health & Wellness Products | Specialty food | Baked Goods | Healthy snacks | Gluten-Free Products",https://www.linooats.com,"44-5, South Hall 8",,,,
4CLIMATE,India,Government/associations | Technology | AgriTech,https://www.4climate.in/,"PD8, The Pavilion",,,,
4el Gida Sanayi Ve Ticaret Ltd. Sti. (Torita Tortilla,Türkiye,"Bakery, cakes & desserts | Baked Goods | Halal and kosher food | Frozen Baked Goods | Specialty Breads | Frozen food",https://www.torita.com.tr,"GG-S13, North Hall 12",,+90 364 311 16 19,,
