Company,IFE Profile,Website,Email,Phone,Contact Name,Contact Title,Description,LinkedIn Search,AI Message,Status,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score
ADM Foods International,https://www.ife.co.uk/exhibitors/adm-foods-international,https://forms.reg.buzz/ife-2026/ife-webpage,info@montgomerygroup.com,20 7886 3000,,,"Join us to explore 1,500+ global brands shaking up the shelves, plus soak up wisdom at our free seminars!",https://www.linkedin.com/search/results/people/?keywords=ADM%20Foods%20International%20CEO%20OR%20Director,,New,,,,,,,partial,1
AHA GLOBAL ( v7 DRINK ),https://www.ife.co.uk/exhibitors/aha-global-v7-drink--1,https://www.tiktok.com/@fooddrinkhospitalityweek,info@montgomerygroup.com,20 7886 3000,,,"Overview
AHA Global Ltd is a premier FMCG (Fast-Moving Consumer Goods) wholesaler and distributor based in London, United Kingdom. Since our establishment, we have dedicated ourselves to building a robust and fast-growing network that bridges the gap",https://www.linkedin.com/search/results/people/?keywords=AHA%20GLOBAL%20(%20v7%20DRINK%20)%20CEO%20OR%20Director,,New,TikTok - Make Your Day,,,,,,partial,2
B&R Distribution Ltd,https://www.ife.co.uk/exhibitors/br-distribution,https://www.tiktok.com/@fooddrinkhospitalityweek,info@montgomerygroup.com,20 7886 3000,,,Montgomery Group is a global events company with over a century of experience serving our communities and delivering first class events across a variety of sectors and continents.,https://www.linkedin.com/search/results/people/?keywords=B&R%20Distribution%20Ltd%20CEO%20OR%20Director,,New,TikTok - Make Your Day,,,,,,partial,2
BIKA JI FOODS INTERNATIONAL LTD INDIA,https://www.ife.co.uk/exhibitors/bika-ji-foods-international-india,https://www.tiktok.com/@fooddrinkhospitalityweek,info@montgomerygroup.com,20 7886 3000,,,"With decades of expertise in traditional Indian snacks and sweets, we have built a diverse portfolio that includes namkeens, bhujia, sweets, papads, ready-to-eat snacks, and contemporary packaged food offerings. Each product is crafted using time-tes",https://www.linkedin.com/search/results/people/?keywords=BIKA%20JI%20FOODS%20INTERNATIONAL%20LTD%20INDIA%20CEO%20OR%20Director,,New,TikTok - Make Your Day,,,,,,partial,2
Delightful Food Group,https://www.ife.co.uk/exhibitors/delightful-food-group-1,https://www.tiktok.com/@fooddrinkhospitalityweek,info@montgomerygroup.com,20 7886 3000,,,Montgomery Group is a global events company with over a century of experience serving our communities and delivering first class events across a variety of sectors and continents.,https://www.linkedin.com/search/results/people/?keywords=Delightful%20Food%20Group%20CEO%20OR%20Director,,New,TikTok - Make Your Day,,,,,,partial,2
Euro Foods Group Ltd,https://www.ife.co.uk/exhibitors/euro-foods-group,https://www.tiktok.com/@fooddrinkhospitalityweek,info@montgomerygroup.com,20 7886 3000,,,"At the heart of Eurofoods’ growth is a commitment to quality, innovation, and customer service. From its early roots distributing frozen and fresh food, the business has expanded into manufacturing, logistics, and branded product development. The com",https://www.linkedin.com/search/results/people/?keywords=Euro%20Foods%20Group%20Ltd%20CEO%20OR%20Director,,New,TikTok - Make Your Day,,,,,,partial,2
Fastline Distribution,https://www.ife.co.uk/exhibitors/fastline-distribution,https://www.tiktok.com/@fooddrinkhospitalityweek,info@montgomerygroup.com,20 7886 3000,,,"We are official distributors of Amos and, through our strong global supplier network and nationwide distribution channels, supply high-demand confectionery, beverages, and trending products directly to wholesalers, forecourts, and buying groups acros",https://www.linkedin.com/search/results/people/?keywords=Fastline%20Distribution%20CEO%20OR%20Director,,New,TikTok - Make Your Day,,,,,,partial,2
GENERAL FOOD TRADING,https://www.ife.co.uk/exhibitors/general-food-trading-1,https://www.tiktok.com/@fooddrinkhospitalityweek,info@montgomerygroup.com,20 7886 3000,,,Montgomery Group is a global events company with over a century of experience serving our communities and delivering first class events across a variety of sectors and continents.,https://www.linkedin.com/search/results/people/?keywords=GENERAL%20FOOD%20TRADING%20CEO%20OR%20Director,,New,TikTok - Make Your Day,,,,,,partial,2
Group Export Agri-Food,https://www.ife.co.uk/exhibitors/group-export-agri-food,https://www.tiktok.com/@fooddrinkhospitalityweek,info@montgomerygroup.com,20 7886 3000,,,Montgomery Group is a global events company with over a century of experience serving our communities and delivering first class events across a variety of sectors and continents.,https://www.linkedin.com/search/results/people/?keywords=Group%20Export%20Agri-Food%20CEO%20OR%20Director,,New,TikTok - Make Your Day,,,,,,partial,2
H. Smith Food Group plc,https://www.ife.co.uk/exhibitors/h-smith-food-group-plc,https://www.tiktok.com/@fooddrinkhospitalityweek,info@montgomerygroup.com,20 7886 3000,,,Montgomery Group is a global events company with over a century of experience serving our communities and delivering first class events across a variety of sectors and continents.,https://www.linkedin.com/search/results/people/?keywords=H.%20Smith%20Food%20Group%20plc%20CEO%20OR%20Director,,New,TikTok - Make Your Day,,,,,,partial,2
