#,Company Name,Country,"Sales Navigator
(Find CEO/MD)","LinkedIn
People Search",IFE Profile,"Contact Name
(fill in)","Contact Title
(fill in)","Contact LinkedIn
(fill in)","AI Message
(fill in after)",Status,"Priority
(Hot/Warm/Cold)",Notes,enrichment_status,score
1,ADM Foods International,UK,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
2,Agricultural and Processed Food Products Export Development Authority (APEDA),India,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
3,AHA GLOBAL ( v7 DRINK ),,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
4,B&R Distribution Ltd,UK,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
5,BIKA JI FOODS INTERNATIONAL LTD INDIA,India,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
6,Delightful Food Group,UK,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
7,Euro Foods Group Ltd,UK,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
8,Fastline Distribution,UK,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
9,Food & Drink Exporters Association,UK,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
10,GENERAL FOOD TRADING,,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
11,Group Export Agri-Food,,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
12,H. Smith Food Group plc,UK,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
13,Henryson Foods International,,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
14,Hollywood Candy Wholesale,UK,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
15,House Foods Group,,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
16,Meadow Vale Food Group,UK,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
17,Regal Food Products Group PLC,UK,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
18,Serendib Global Foods Ltd,UK,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
19,Thomas Foods International,Australia,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
20,"Zhejiang Tea Group Co.,Ltd",China,🔍 Find on Sales Nav,🔍 LinkedIn People,🌐 IFE Profile,,,,,,,,partial,0
