Company,Country,City,Category,Fair,Website,Email,Email_Status,Phone_WhatsApp,LinkedIn,Instagram,Facebook,Stand_Booth,Detail_URL,Notes
3A BIOTECH SL,Spain,Murcia,,IFT FIRST Expo 2026,https://tres-a.com,info@tres-a.net,generic,+34 968 839 004,https://www.linkedin.com/company/3a-biotech-conservantes,https://www.instagram.com/3abiotech,https://www.facebook.com/3abiotech,South Building — 2472,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01243238,
3i Solutions,United States of America,Wooster,,IFT FIRST Expo 2026,https://www.3isolutions.com,,not_found,330.262.4440,https://www.linkedin.com/company/3isolutionstech,,,South Building — 4205,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01163687,
5 Star Foods Intl,United States of America,Houston,,IFT FIRST Expo 2026,http://www.5star-foods.com,info@5star-foods.com,generic,844-645-7827,,,,South Building — 1274,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01209488,
50Hertz Tingly Foods,United States of America,Washington,,IFT FIRST Expo 2026,https://50hertzfoods.com/,,not_found,,https://www.linkedin.com/company/50-hertz-foods/posts,,,South Building — ST85 — STARTUP Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01273107,
A&B Ingredients,United States,Fairfield,,IFT FIRST Expo 2026,https://abingredients.com/,info@abingredients.com,generic,+1 973 227 1390,https://www.linkedin.com/company/a&b-ingredients,,https://www.facebook.com/abingredient,South Building — 1915,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00017573,
"AAFUD INDUSTRY(ZHUHAI)CO.,LTD",China,Zhuhai,,IFT FIRST Expo 2026,https://openai.com/,,not_found,,,,,South Building — 2411,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01262769,
AAK,United States,Edison,,IFT FIRST Expo 2026,https://betterwithaak.com/,,not_found,08837 973.344.1300,https://www.linkedin.com/showcase/aak-usa-can,,,South Building — 814,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00003106,
Abbott Blackstone,United States of America,Clearwater,,IFT FIRST Expo 2026,https://abbottblackstone.com/,info@abbottblackstone.com,generic,https://api.whatsapp.com/send?text={URL},,,,South Building — 1666 — Organic Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01227444,
Accelerated Freeze Drying Company Ltd,India,Cochin,,IFT FIRST Expo 2026,https://amalgamfoods.com/,amalgam@amalgamfoods.in,named,+91 484 2668680,,,,South Building — 4528,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00477324,
Accugen Laboratories Inc,United States of America,Addison,,IFT FIRST Expo 2026,http://accugenlabs.com,support@accugenlabs.com,generic,630 789-8105,,,,South Building — 2076,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00708566,
Accurate Ingredients,United States,Farmingdale,,IFT FIRST Expo 2026,http://www.acing.net,,not_found,516-496-2500,,,,South Building — 1714,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00000024,
Ace Glass Incorporated,United States,Vineland,,IFT FIRST Expo 2026,https://www.aceglass.com/index.php,,not_found,856-692-3333,http://www.linkedin.com/company/2943619,,,South Building — 669,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00980117,
Acme-Hardesty Co.,United States of America,Blue Bell,,IFT FIRST Expo 2026,http://www.acme-hardesty.com,sales@acme-hardesty.com,generic,800.223.7054,https://www.linkedin.com/company/acme-hardesty-co,https://www.instagram.com/acmehardesty,https://www.facebook.com/AcmeHardestyCo,South Building — 2906,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00000800,
Acquion  Food Tech,Brazil,Poços de Caldas,,IFT FIRST Expo 2026,https://acquionproteins.com/,sales@acquion.com.br,generic,https://wa.me/5511917101217,https://www.linkedin.com/company/acquionfoodtech,https://www.instagram.com/acquionfoodtech,,South Building — 3625,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01271522,
ACT Polyols PVT LTD,Pakistan,Clifton,,IFT FIRST Expo 2026,https://actpolyols.com/,info@actpolyols.com,generic,+92 21-35147573,,,,South Building — 2377,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01244063,
Actus Nutrition,United States,Eden Prairie,,IFT FIRST Expo 2026,http://www.actus.com,,not_found,952-942-7310,https://www.linkedin.com/company/actus-nutrition,https://www.instagram.com/actus_nutrition,https://www.facebook.com/actusnutrition,South Building — 1643,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00011488,DM: Gerard Gurget Grey - linkedin.com/in/gerard-gurget-grey-027440154
