Company,Country,City,Category,Fair,Website,Email,Phone_WhatsApp,LinkedIn,Instagram,Facebook,Stand_Booth,Detail_URL,Notes,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score
3A BIOTECH SL,Spain,Murcia,,IFT FIRST Expo 2026,https://tres-a.com,info@tres-a.net,+34 968 839 004,https://www.linkedin.com/company/3a-biotech-conservantes,https://www.instagram.com/3abiotech,https://www.facebook.com/3abiotech,South Building — 2472,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01243238,,,,,,,,partial,2
3i Solutions,United States of America,Wooster,,IFT FIRST Expo 2026,https://www.3isolutions.com,,330.262.4440,https://www.linkedin.com/company/3isolutionstech,,,South Building — 4205,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01163687,,,,,,,,partial,2
5 Star Foods Intl,United States of America,Houston,,IFT FIRST Expo 2026,http://www.5star-foods.com,info@5star-foods.com,844-645-7827,,,,South Building — 1274,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01209488,,,,,,,,partial,2
50Hertz Tingly Foods,United States of America,Washington,,IFT FIRST Expo 2026,https://50hertzfoods.com/,,,https://www.linkedin.com/company/50-hertz-foods/posts,,,South Building — ST85 — STARTUP Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01273107,,,,,,,,partial,2
A&B Ingredients,United States,Fairfield,,IFT FIRST Expo 2026,https://abingredients.com/,info@abingredients.com,+1 973 227 1390,https://www.linkedin.com/company/a&b-ingredients,,https://www.facebook.com/abingredient,South Building — 1915,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00017573,,,,,,,,partial,2
"AAFUD INDUSTRY(ZHUHAI)CO.,LTD",China,Zhuhai,,IFT FIRST Expo 2026,,,,,,,South Building — 2411,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01262769,,,,,,,,partial,2
AAK,United States,Edison,,IFT FIRST Expo 2026,https://betterwithaak.com/,,08837 973.344.1300,https://www.linkedin.com/showcase/aak-usa-can,,,South Building — 814,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00003106,,,,,,,,partial,2
Abbott Blackstone,United States of America,Clearwater,,IFT FIRST Expo 2026,https://abbottblackstone.com/,info@abbottblackstone.com,https://api.whatsapp.com/send?text={URL},,,,South Building — 1666 — Organic Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01227444,,,,,,,,partial,2
Accelerated Freeze Drying Company Ltd,India,Cochin,,IFT FIRST Expo 2026,https://amalgamfoods.com/,amalgam@amalgamfoods.in,+91 484 2668680,,,,South Building — 4528,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00477324,,,,,,,,partial,2
Accugen Laboratories Inc,United States of America,Addison,,IFT FIRST Expo 2026,http://accugenlabs.com,support@accugenlabs.com,630 789-8105,,,,South Building — 2076,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00708566,,,,,,,,partial,2
Accurate Ingredients,United States,Farmingdale,,IFT FIRST Expo 2026,http://www.acing.net,,516-496-2500,,,,South Building — 1714,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00000024,,,,,,,,partial,2
Ace Glass Incorporated,United States,Vineland,,IFT FIRST Expo 2026,https://www.aceglass.com/index.php,,856-692-3333,http://www.linkedin.com/company/2943619,,,South Building — 669,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00980117,,,,,,,,partial,2
Acme-Hardesty Co.,United States of America,Blue Bell,,IFT FIRST Expo 2026,http://www.acme-hardesty.com,sales@acme-hardesty.com,800.223.7054,https://www.linkedin.com/company/acme-hardesty-co,https://www.instagram.com/acmehardesty,https://www.facebook.com/AcmeHardestyCo,South Building — 2906,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00000800,,,,,,,,partial,2
Acquion  Food Tech,Brazil,Poços de Caldas,,IFT FIRST Expo 2026,https://acquionproteins.com/,sales@acquion.com.br,https://wa.me/5511917101217,https://www.linkedin.com/company/acquionfoodtech,https://www.instagram.com/acquionfoodtech,,South Building — 3625,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01271522,,,,,,,,partial,2
