name,years,stand_2023,stand_2024,stand_2025,status_2023,status_2024,status_2025,website,description_pl,description_en,contact,nip,logo,real_website,email,phone,whatsapp,linkedin,facebook,instagram,youtube,tiktok,representative
HERTw,2023,B2.01,,,Sprzedane,,,https://www.hert.pl/,"Zobacz nowości:

- Kocioł smażąco-gotujący Cucimix CBTV500

- Piec Houno 10.1

- Krajalnica FS-800 MHS – cięcie stałowagowe

- Krajalnica przelotowa ICC28 MHS",,,5240018433,https://www4.pwe-expoplanner.com/sklep/img/logo/5579.jpg,https://www.hert.pl/,biuro@hert.pl; serwis@hert.pl; czesci@hert.pl,+48 22 594 05 00; 122 574.00; 117 119.00,,https://www.linkedin.com/company/hert/,https://www.facebook.com/maszynypiekarnicze,,https://www.youtube.com/channel/UC8ZDAtpGklUFLY1sEVef2Tg,,
Fabryka Systemów Pakujących PABLO PL,2023,B3.01,,,Sprzedane,,,https://www.maszynypablo.pl/,"Od ponad 20 lat jesteśmy liderem w produkcji maszyn w przemyśle spożywczym, chemicznym, kosmetycznym, logistycznym i farmaceutycznym. Jako polski producent instalujemy na całym świecie aplikacje takie jak: linie rozlewnicze, zakręcarki, maszyny pakujące w folię termokurczliwą, kartoniarki, zaklejarki kartonów, owijarki palet, tubiarki, roboty paletyzujące oraz kompletne linie produkcyjne.",,,9592017357,https://www4.pwe-expoplanner.com/sklep/img/logo/6871.jpg,https://www.maszynypablo.pl/,biuro@maszynypablo.pl; handlowy@maszynypablo.pl; serwis1@maszynypablo.pl,90792678; 96928571; +48 41 234 11 00,,https://pl.linkedin.com/company/fabryka-system%C3%B3w-pakuj%C4%85cych-pablo,https://pl-pl.facebook.com/Fabryka-System%C3%B3w-Pakuj%C4%85cych-PABLO-PL-859706694095039/,,https://www.youtube.com/channel/UCUIAdNhw81-jBG_eYjposgg,,
VEMAG POLSKA,2023,B2.23,,,Sprzedane,,,https://www.vemag.pl/,,,,5223000324,https://www4.pwe-expoplanner.com/sklep/img/logo/5219.jpg,https://www.vemag.pl/,info@vemag.pl,137353690; 48 22 867 56 59; 48 22 867 67 50,,,,,,,
GEA Food Solutions Poland,2023,B2.08,,,Sprzedane,,,https://www.gea.com/en/index.jsp,.,,,9531670063,https://www4.pwe-expoplanner.com/sklep/img/logo/11629.jpg,https://www.gea.com/en//,,4320412412; 44179073241; 9037-57131,,https://www.linkedin.com/company/geagroup,https://www.facebook.com/geagroup,,http://www.youtube.com/user/TheGEAGroup,,Stefan Klebert (CEO)
Filmat,2023,B1.08,,,Sprzedane,,,https://www.filmat.eu/,,,,5761011468,https://www4.pwe-expoplanner.com/sklep/img/logo/7200.jpg,https://filmat.pl/,kamila.wisniewska@pkoleasing.pl,11.03.2020; +48 604523592; +48 694 493 978,,,,,,,Kamila Wiśniewska Starszy (Specjalista)
Jarvis Polska Limited,2023,B2.24,,,Sprzedane,,,http://www.jarvispolska.pl/,"Jarvis Polska jest światowym liderem w dziedzinie sprzętu do przetwórstwa mięsnego oraz autoryzowanym przedstawicielem firm:Jarvis, EDGE Manufacturing, La Permantiere, SZV – Schlacht-, Zerlege- und Vakuumtechnik, Schlachthausfreund, Longwood.W naszej ofercie posiadamy wszystkie produkty wyżej wymienionych producentów oraz służymy pomocą techniczną.",,,8522605663,https://www4.pwe-expoplanner.com/sklep/img/logo/11623.jpg,http://www.jarvispolska.pl/,info@jarvispolska.pl,+48 696 625 474; +48 59 725 62 67; 8522605663,,,,,,,
NOMA Sp. z o.o.,2023,B3.07,,,Sprzedane,,,https://nowickifm.com/,,,,8351148991,https://www4.pwe-expoplanner.com/sklep/img/logo/11636.jpg,,,,,,,,,,
POLPACK ZEUS,2023,B2.03,,,Sprzedane,,,https://polpack.pl/,.,,,8790168872,https://www4.pwe-expoplanner.com/sklep/img/logo/8761.jpg,https://polpack.pl/,info@polpack.pl; sekretariat@polpack.pl; serwis@polpack.pl,2020-04-27; 2026-02-04; 70401269,,https://pl.linkedin.com/company/polpack-maszyny-i-materia%C5%82y-do-pakowania,https://www.facebook.com/Polpack-maszyny-i-materia%C5%82y-do-pakowania-2048761541856277/,,https://www.youtube.com/user/kamilradosc/videos,,
Premac,2023,B2.19,,,Sprzedane,,,https://premac.pl/,,,,5213644971,https://www4.pwe-expoplanner.com/sklep/img/logo/10027.jpg,https://premac.pl/,,1342177279; 601 321 163; 537 721 960,,,,,,,
Brokelmann,2023,B2.20,,,Sprzedane (Targi PWE),,,http://www.brokelmann.pl/,,,,9161001802,https://www4.pwe-expoplanner.com/sklep/img/logo/10748.jpg,https://www.brokelmann.eu/,brokelmann@brokelmann.pl; export@brokelmann.eu; export@brokelmann.pl,1036453600; 2026-03-23-130146; +48713842584,,https://pl.linkedin.com/company/brokelmannpl,https://www.facebook.com/BrokelmannFoodIndustrySolutions,,https://www.youtube.com/channel/UCXVgvGik0GBBz8n6DPeI7Tw,,
METROOPACK,2023,B3.23,,,Sprzedane,,,https://www.metro-plast.pl/aktualnosci-wszystkie/item/114-nowa-spolka-informacja,,,,7532461490,https://www4.pwe-expoplanner.com/sklep/img/logo/17923.jpg,https://www.metro-plast.pl/aktualnosci-wszystkie/item/114-nowa-spolka-informacja,zamowienia@metroopack.eu; zakupy@metro-plast.pl; anna@metro-plast.pl,20220207; 2021-12-31; 2022-02-07,,https://www.linkedin.com/company/metro-plast-nysa/,https://www.facebook.com/metrocateringnysa/,,,,
Tewes-Bis,2023,B2.07,,,Sprzedane,,,http://tewesbis.com.pl/,,,,7390100114,https://www4.pwe-expoplanner.com/sklep/img/logo/15856.jpg,http://tewesbis.com.pl/,firma@tewesbis.com.pl; handlowy@tewesbis.com.pl; serwis@tewesbis.com.pl,2017-03-17; 79006835; 1489764222070,,,https://www.facebook.com/p/Tewes-Bis-sp-z-oo-100063885646642,,,,
JEREMY,2023,B3.05,,,Sprzedane,,,https://jeremy.pl/content/1-firma,,,,1251127980,https://www4.pwe-expoplanner.com/sklep/img/logo/11625.jpg,https://jeremy.pl/content/1-firma,,16042285; 52.305460; 21.014503,,,,,,,
