name,years,stand_2023,stand_2024,stand_2025,status_2023,status_2024,status_2025,website,description_pl,description_en,contact,nip,logo,real_website,email,phone,whatsapp,linkedin,facebook,instagram,youtube,tiktok,representative,segment
Polska Izba Opakowań,"2023,2024,2025",B2.12,C3.04,C1.40b,Sprzedane,Sprzedane,Sprzedane,https://pio.org.pl/,"Polska Izba Opakowań została utworzona w październiku 1994 r. Izba jest organizacją samorządu przedsiębiorców skupiającą producentów opakowań, materiałów opakowaniowych, maszyn i urządzeń dla przemysłu opakowań.",,,5211206178,https://www4.pwe-expoplanner.com/sklep/img/logo/4322.jpg,https://pio.org.pl/,info@pio.org.pl; biuro@pio.org.pl; prezes@pio.org.pl,10000000; 548622567991; 96793340,,https://www.linkedin.com/company/polska-izba-opakowan/,https://www.facebook.com/polskaizbaopakowan,,,,Izby Do (Prezes),A
Trade Mysak,2023,B3.15,,,Sprzedane,,,http://trademysak.pl/,,,,7811876853,https://www4.pwe-expoplanner.com/sklep/img/logo/12875.jpg,https://trademysak.pl/,biuro@trademysak.pl; k.wozniak@trademysak.pl; d.witkiewicz@trademysak.pl,00000000; 20120202; 1693310399766,,https://www.linkedin.com/company/3481373/admin/feed/posts/,,,https://www.youtube.com/channel/UCGLDDqjDIVY1JhUBp2uUFAQ,,Jan Kowalski (CEO) | Jan Kowalski (CEO) | Jan Kowalski (CEO),A
Luneos,2023,B3.17,,,Sprzedane,,,https://www.luneos.pl,LUNEOS to czołowy dostawca rozwiązań z zakresu odnawialnych źródeł energii dla polskich firm. Oferowane rozwiązania transformacji energetycznej finansowane w usłudze abonamentu pozwalają wprowadzić niezbędne innowacje i przejść z czarnej na zieloną energię.,LUNEOS is a leading provider of renewable energy solutions for Polish companies. The offered subscription-based energy transformation solutions allow you to introduce the necessary innovations and move from black to green energy.,,8513221064,https://www4.pwe-expoplanner.com/sklep/img/logo/14527.jpg,https://luneos.pl/,info@luneos.pl; zgloszenia@luneos.pl; j.kwiatkowski@luneos.pl,2022-02-02; 2026-02-27; 2022-02-07,,https://www.linkedin.com/company/luneos/,https://www.facebook.com/Luneos-Tw%C3%B3j-partner-transformacji-energetycznej-111828403601113,,https://www.youtube.com/channel/UCCwCh-St3pmAbZrVXRcx9Rg,,Marek Kostecki (Prezes) | Radosław Andrzejewski (Dyrektor) | Quality Group (Manager),A
QUALITY MEAT PAWĘTA SP. Z O.O.,2024,,C2.35a,,,Sprzedane,,https://www.paweta.com/,"Pawęta – Mięsa dojrzewające. Specjalizujemy się w produkcji surowych szynek dojrzewających ( z wołowiny, wieprzowiny, jagnięciny, jelenia, daniela). Łączymy tradycje z nowoczesnością. Stawiamy na prosty skład i moc naturalnego smaku. Naszą domeną jest tradycyjne ręczne wytwarzanie i jakość klasy premium.","Pawęta – Aging meats. We specialize in the production of maturing hams (beef, pork, lamb, deer, fallow deer). We combine tradition with modernity. We focus on simple composition and the strength of natural flavor. Our domain is traditional manual production and the highest quality.",,,https://www4.pwe-expoplanner.com/sklep/img/logo/52920.jpg,https://www.paweta.com/,office@paweta.com,2020-07-30; 2025-05-28; 1596133015,,https://www.linkedin.com/company/pawetamiesadojrzewajace/,https://www.facebook.com/profile.php,https://www.instagram.com/pawetamiesadojrzewajace,,https://www.tiktok.com/@pawetamiesadojrzewajace,Sylwester Pawęta (Założyciel),A
Malaysian Palm Oil Council (MPOC),2024,,C1.32b,,,Sprzedane,,http://mpoc.org.my/,,,,9909408410,https://www4.pwe-expoplanner.com/sklep/img/logo/44388.jpg,https://www.mpoc.org.my/,webmaster@mpoc.org.my; wbmaster@mpoc.org.my,11.111111111111; 603-7806 4097; 7806 2272,,https://www.linkedin.com/company/mpochq,https://www.facebook.com/MalaysiaPavilionUNFCCC/videos/1211896826778249,https://www.instagram.com/mpochq,,,Firdaus Tarmizi General (Manager) | Faisal Iqbal General (Manager) | Eva Voong General (Manager),A
RADZIOWI,"2024,2025",,C3.32,C3.54a,,Sprzedane (Targi PWE),Sprzedane (Dział Prawny),https://radziowi.pl/,Importer dystrybutor produktow,,,6861687349,https://www4.pwe-expoplanner.com/sklep/img/logo/5595.jpg,https://radziowi.pl/,office@radziowi.pl; przemyslaw.slys@radziowi.pl; joanna.sawicka-mazur@radziowi.pl,2025-06-06; 2026-04-24; 00000005,,https://www.linkedin.com/company/80151712/admin/dashboard/,https://www.facebook.com/profile.php,,,,Sprzedaż Przemysław Słyś (Specjalista),A
NAVIGATOR M.Pilaciński S.K.,2024,,C1.27,,,Sprzedane,,https://navigator-polska.com/,,,,5242840114,https://www4.pwe-expoplanner.com/sklep/img/logo/26618.jpg,https://navigator-polska.com/,marcin@navigator-polska.com; robert.pilacinski@navigator-polska.com; janusz@navigator-polska.com,3263-1024; 2024-06-03; 2024-07-16,,https://www.linkedin.com/company/navigator-polska/,https://www.facebook.com/navigatorpolska/,,,,Marcin Pilaciński (Prezes) | Robert Pilaciński (Wiceprezes) | Janusz Wrona (Manager),A
LNS Trade,2024,,C3.39a,,,Sprzedane (Targi PWE),,http://lnstrade.fr/,,,,1111111112,https://www4.pwe-expoplanner.com/sklep/img/logo/23574.jpg,https://lnstrade.fr/,info@lnstrade.fr,88 84 03 80,,https://fr.linkedin.com/company/ultrapopbylnstrade,,https://www.instagram.com/ultrapop_/,,https://www.tiktok.com/@ultrapop_,Eric Uzan (Founder) | In Cyril Motz (Managing Director) | Jonathan Bertrand Operational (Director),A
Ekovoltis,"2024,2025",,C1.54b,C4.40,,Sprzedane,Sprzedane (Dział Prawny),https://e2v.pl/,,,,8992751675,https://www4.pwe-expoplanner.com/sklep/img/logo/32428.jpg,https://ekovoltis.pl/,bok@ekovoltis.pl; iod@ekovoltis.pl; biuro@ekovoltis.pl,2025-09-30; 2026-05-21; 51588449604,,https://www.linkedin.com/company/ekovoltispl/,https://www.facebook.com/ekovoltis/,,https://www.youtube.com/channel/UCzUk5Nc6TvfyhyHImX2z4pQ,,Hotel Bartosz Binkowski (Dyrektor) | Gerard Maćko (Właściciel) | Juergen Mayerhofer (CEO),A
MGDF,2024,,C0.09,,,Sprzedane,,https://mgdf.pl,,,,6762567085,https://www4.pwe-expoplanner.com/sklep/img/logo/35246.jpg,https://mgdf.pl,biuro@mgdf.pl,2023-11-05; 2024-09-17; 999999999,,https://www.linkedin.com/company/mgdf-consulting/,,,,,Bartłomiej Muzykiewicz (Prezes),A
CB POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2024,,C2.33b,,,Sprzedane,,https://crazybubble.pl/,,,,6482774920,https://www4.pwe-expoplanner.com/sklep/img/logo/48568.jpg,https://crazybubble.pl/,info@crazybubble.pl; b.sliwka@crazybubble.pl; franchise@crazybubble.pl,+48505108820; 2025-06-07; 2026-06-01,,https://pl.linkedin.com/company/crazy-bubble,https://www.facebook.com/crazybubblePL,https://www.instagram.com/crazybubblepolska/,https://www.youtube.com/channel/UCRwoeHgjLAWC2I4e8kBid3g,https://www.tiktok.com/@crazybubblepolska,Key Account (Manager) | Key Account (Manager),A
ZBUDUJPRZYCZEPE.PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2025,,,C3.40,,,Sprzedane (Targi PWE),https://zbudujprzyczepe.pl/,"Specjalizujemy się w produkcji przyczep gastronomicznych, przyczep handlowych i przyczep budowlanych (socjalnych). Projektujemy i doradzamy rozwiązania, które pomogą zrealizować cele naszych klientów.",,,1182251782,https://www4.pwe-expoplanner.com/sklep/img/logo/59156.jpg,https://zbudujprzyczepe.pl/,zapytania@zbudujprzyczepe.pl; biuro@zbudujprzyczepe.pl,2025-05-16; 2026-05-04; 6666666667,,https://www.linkedin.com/company/zbudujprzyczepe-pl,https://www.facebook.com/p/Piekarnia-Grahamka-Sp-z-oo-100057518234800/,https://www.instagram.com/kreuzbergkebap,https://www.youtube.com/@zbudujprzyczepepl/featured,,Adam Ujastowski (Właściciel) | Unijnych Katarzyna Chrowatkiewicz (Właściciel) | Jakub Dynar (Właściciel),A
SMART WORK,2025,,,C3.26,,,Sprzedane (Dział Prawny),https://www.smartwork.pl/,,,,8842754100,https://www4.pwe-expoplanner.com/sklep/img/logo/24164.jpg,https://www.smartwork.pl/,biuro@smartwork.pl; info@smartwork.pl; b.madejczyk@smartwork.pl,+74 74 648 70 47; 0000550541; 361127620,,https://www.linkedin.com/company/agencjapracy-smartwork/,https://www.facebook.com/smartwork.agencjapracy/,,,,Smart Work Nawigacja (Wiceprezes),A
TWARDZIK,2025,,,C1.44a,,,Sprzedane,https://twardzik.com.pl/,"Główną dziedziną naszej działalności jest produkcja mrożonych owoców i warzyw. Posiadamy bogaty asortyment produktów mrożonych, warzyw i owoców mono jak i mieszanek warzywnych oraz owocowych. Produkty są skierowane głównie do gastronomi, sektor „HoReCa”, opakowania - woreczki 2,5 kg, kartony 10 kg. Dysponujemy również linią produktów dedykowanych do detalu, opakowania kolorowe 750 g oraz 450 g.","Our main activity is production of IQF fruits and vegetables. We offer a wide range of frozen vegetable and fruit products, both mono and in mixtures. The Products are mainly aimed at the catering market, HoReCa sector, with the following packaging: bags 2.5 kg, cartons 10 kg. We also have products line dedicated to retail market, with coloured packaging of 750 g and 450 g.",,6340251276,https://www4.pwe-expoplanner.com/sklep/img/logo/68316.jpg,https://twardzik.com.pl/,artur@twardzik.com.pl,+48 32 2020892; +48 81 8289093; 63595997,,https://www.linkedin.com/company/7139185/,https://www.facebook.com/people/Twardzik-SpJ/61567334487374/,https://instagram.com/twardzikspj,https://www.youtube.com/@TwardzikSpJ,https://www.tiktok.com/@twardzik.sp.j,Biuro Handlowe (Dyrektor),A
Klaster Creative Packaging Group CPG,2025,,,C4.23,,,Sprzedane,https://cpgpackaging.pl/,,,,9592059723,https://www4.pwe-expoplanner.com/sklep/img/logo/81079.jpg,https://cpgpackaging.pl/,biuro@cpgpackaging.pl; Info@cpgpackaging.pl,99999999; 999999999; +0490-0491,,https://www.linkedin.com/company/klaster-cpg/,https://www.facebook.com/share/d4S33gsaAjYF5bmy/,https://www.instagram.com/klaster_cpg,,,Paweł Paździerz (Prezes) | Katarzyna Piątek (Wiceprezes),A
KACZMARSKI GROUP SPÓŁKA JAWNA,2025,,,C4.09,,,Sprzedane (Dział Prawny),https://kaczmarskigroup.pl/,,,,8952053350,https://www4.pwe-expoplanner.com/sklep/img/logo/49298.jpg,https://kaczmarskigroup.pl/,kontakt@kaczmarskigroup.pl; obslugacok@kaczmarskigroup.pl; hr@kaczmarskigroup.pl,2026-05-15; 2026-05-11; 2026-02-23,,https://www.linkedin.com/company/kaczmarskigroup/,https://www.facebook.com/Kaczmarski-Group-192903287911160/,,https://www.youtube.com/watch,,Kaczmarski Group (CEO),A
