name,years,stand_2023,stand_2024,stand_2025,status_2023,status_2024,status_2025,website,description_pl,description_en,contact,nip,logo,real_website,email,phone,whatsapp,linkedin,facebook,instagram,youtube,tiktok,representative,segment
HERTw,2023,B2.01,,,Sprzedane,,,https://www.hert.pl/,"Zobacz nowości:

- Kocioł smażąco-gotujący Cucimix CBTV500

- Piec Houno 10.1

- Krajalnica FS-800 MHS – cięcie stałowagowe

- Krajalnica przelotowa ICC28 MHS",,,5240018433,https://www4.pwe-expoplanner.com/sklep/img/logo/5579.jpg,https://www.hert.pl/,biuro@hert.pl; serwis@hert.pl; czesci@hert.pl,+48 22 594 05 00; 122 574.00; 117 119.00,,https://www.linkedin.com/company/hert/,https://www.facebook.com/maszynypiekarnicze,,https://www.youtube.com/channel/UC8ZDAtpGklUFLY1sEVef2Tg,,,B
Fabryka Systemów Pakujących PABLO PL,2023,B3.01,,,Sprzedane,,,https://www.maszynypablo.pl/,"Od ponad 20 lat jesteśmy liderem w produkcji maszyn w przemyśle spożywczym, chemicznym, kosmetycznym, logistycznym i farmaceutycznym. Jako polski producent instalujemy na całym świecie aplikacje takie jak: linie rozlewnicze, zakręcarki, maszyny pakujące w folię termokurczliwą, kartoniarki, zaklejarki kartonów, owijarki palet, tubiarki, roboty paletyzujące oraz kompletne linie produkcyjne.",,,9592017357,https://www4.pwe-expoplanner.com/sklep/img/logo/6871.jpg,https://www.maszynypablo.pl/,biuro@maszynypablo.pl; handlowy@maszynypablo.pl; serwis1@maszynypablo.pl,90792678; 96928571; +48 41 234 11 00,,https://pl.linkedin.com/company/fabryka-system%C3%B3w-pakuj%C4%85cych-pablo,https://pl-pl.facebook.com/Fabryka-System%C3%B3w-Pakuj%C4%85cych-PABLO-PL-859706694095039/,,https://www.youtube.com/channel/UCUIAdNhw81-jBG_eYjposgg,,,B
VEMAG POLSKA,2023,B2.23,,,Sprzedane,,,https://www.vemag.pl/,,,,5223000324,https://www4.pwe-expoplanner.com/sklep/img/logo/5219.jpg,https://www.vemag.pl/,info@vemag.pl,137353690; 48 22 867 56 59; 48 22 867 67 50,,,,,,,,B
Filmat,2023,B1.08,,,Sprzedane,,,https://www.filmat.eu/,,,,5761011468,https://www4.pwe-expoplanner.com/sklep/img/logo/7200.jpg,https://filmat.pl/,kamila.wisniewska@pkoleasing.pl,11.03.2020; +48 604523592; +48 694 493 978,,,,,,,Kamila Wiśniewska Starszy (Specjalista),B
Jarvis Polska Limited,2023,B2.24,,,Sprzedane,,,http://www.jarvispolska.pl/,"Jarvis Polska jest światowym liderem w dziedzinie sprzętu do przetwórstwa mięsnego oraz autoryzowanym przedstawicielem firm:Jarvis, EDGE Manufacturing, La Permantiere, SZV – Schlacht-, Zerlege- und Vakuumtechnik, Schlachthausfreund, Longwood.W naszej ofercie posiadamy wszystkie produkty wyżej wymienionych producentów oraz służymy pomocą techniczną.",,,8522605663,https://www4.pwe-expoplanner.com/sklep/img/logo/11623.jpg,http://www.jarvispolska.pl/,info@jarvispolska.pl,+48 696 625 474; +48 59 725 62 67; 8522605663,,,,,,,,B
POLPACK ZEUS,2023,B2.03,,,Sprzedane,,,https://polpack.pl/,.,,,8790168872,https://www4.pwe-expoplanner.com/sklep/img/logo/8761.jpg,https://polpack.pl/,info@polpack.pl; sekretariat@polpack.pl; serwis@polpack.pl,2020-04-27; 2026-02-04; 70401269,,https://pl.linkedin.com/company/polpack-maszyny-i-materia%C5%82y-do-pakowania,https://www.facebook.com/Polpack-maszyny-i-materia%C5%82y-do-pakowania-2048761541856277/,,https://www.youtube.com/user/kamilradosc/videos,,,B
Brokelmann,2023,B2.20,,,Sprzedane (Targi PWE),,,http://www.brokelmann.pl/,,,,9161001802,https://www4.pwe-expoplanner.com/sklep/img/logo/10748.jpg,https://www.brokelmann.eu/,brokelmann@brokelmann.pl; export@brokelmann.eu; export@brokelmann.pl,1036453600; 2026-03-23-130146; +48713842584,,https://pl.linkedin.com/company/brokelmannpl,https://www.facebook.com/BrokelmannFoodIndustrySolutions,,https://www.youtube.com/channel/UCXVgvGik0GBBz8n6DPeI7Tw,,,B
METROOPACK,2023,B3.23,,,Sprzedane,,,https://www.metro-plast.pl/aktualnosci-wszystkie/item/114-nowa-spolka-informacja,,,,7532461490,https://www4.pwe-expoplanner.com/sklep/img/logo/17923.jpg,https://www.metro-plast.pl/aktualnosci-wszystkie/item/114-nowa-spolka-informacja,zamowienia@metroopack.eu; zakupy@metro-plast.pl; anna@metro-plast.pl,20220207; 2021-12-31; 2022-02-07,,https://www.linkedin.com/company/metro-plast-nysa/,https://www.facebook.com/metrocateringnysa/,,,,,B
Tewes-Bis,2023,B2.07,,,Sprzedane,,,http://tewesbis.com.pl/,,,,7390100114,https://www4.pwe-expoplanner.com/sklep/img/logo/15856.jpg,http://tewesbis.com.pl/,firma@tewesbis.com.pl; handlowy@tewesbis.com.pl; serwis@tewesbis.com.pl,2017-03-17; 79006835; 1489764222070,,,https://www.facebook.com/p/Tewes-Bis-sp-z-oo-100063885646642,,,,,B
Dadaux,2023,B2.16,,,Sprzedane,,,http://dadaux.pl/,.,,,7282541301,https://www4.pwe-expoplanner.com/sklep/img/logo/7715.jpg,https://dadaux.com.pl/,dadaux@dadaux.pl,20100101; 021827 50; +48 43 843 07 65,,,,,,,,B
N&N Nadratowski Food Processing Equipment,2023,B3.11,,,Sprzedane,,,http://www.nadratowski.com/,,,,7742868938,https://www4.pwe-expoplanner.com/sklep/img/logo/4011.jpg,https://www.nadratowski.com/,info@nadratowski.com; serwis@nadratowski.com,2014-2020; 7742868938; +48 24 261 52 61,,https://pl.linkedin.com/company/nn-nadratowski,https://pl-pl.facebook.com/nnnadratowski/,,https://www.youtube.com/user/NNFoodProcessingEq/videos,,,B
Womat,2023,B3.37,,,Sprzedane,,,https://womat.com.pl/,,,,6351794738,https://www4.pwe-expoplanner.com/sklep/img/logo/9334.jpg,https://womat.com.pl/,biuro@womat.com.pl; redakcja@womat.com.pl; dtp@womat.com.pl,0000324489; 635-179-47-38; 6890 0183,,,,,,,,B
Mysak Group,2023,B2.15,,,Sprzedane,,,http://mysak.pl/,,,,7811829121,https://www4.pwe-expoplanner.com/sklep/img/logo/10116.jpg,https://mysak.pl/,mysak@mysak.pl; serwis@mysak.pl; r.rumplewicz@mysak.pl,2021-06-08; 2026-02-24; 618101627,,https://www.linkedin.com/company/mysak-group,,,https://www.youtube.com/channel/UCEnRnBSHMlWO6MwIbpN0JhQ,,,B
FC Foodconcept,2023,B2.06,,,Sprzedane,,,https://food-concept.eu/,,,,6040112406,https://www4.pwe-expoplanner.com/sklep/img/logo/15055.jpg,https://www.food-concept.eu/,m.banhegyi@food-concept.eu; d.wasowicz@food-concept.eu; p.wasowicz@food-concept.eu,+48 514 119 002; +48 514 119 004; +48 514 119 003,https://wa.me/+48669449413,https://www.linkedin.com/company/fcfoodconcept,https://www.facebook.com/FCfoodconcept,https://www.instagram.com/food_concept.eu/,https://www.youtube.com/@FoodconceptPoland,,,B
TI-MA,2023,B2.28,,,Sprzedane,,,https://www.ti-ma.pl/,,,,5840452770,https://www4.pwe-expoplanner.com/sklep/img/logo/17537.jpg,https://ti-ma.pl/,sekretariat@ti-ma.pl; a.stadnik@ti-ma.pl; g.szarmach@ti-ma.pl,2024-02-16; 2025-09-23; 2023-02-16,,,,,https://www.youtube.com/@Ti-MaMaszyny,,Grzegorz Szarmach Młodszy (Specjalista) | Wojciech Urban Młodszy (Specjalista) | Grzegorz Szwed Starszy (Specjalista),B
PPHU MADEJPAK,2023,B1.07,,,Sprzedane,,,https://madejpak.pl/,,,,8681986442,https://www4.pwe-expoplanner.com/sklep/img/logo/17160.jpg,https://madejpak.pl/,biuro@madejpak.pl; serwis@madejpak.pl,+48123454397; 8681986442; +48 12 345 43 97,,https://www.linkedin.com/company/madejpak/posts/,,,,,,B
SPOMASZ ZAMOŚĆ,2023,B1.24a,,,Sprzedane,,,https://spomasz.biz.pl/pl,,,,9221332679,https://www4.pwe-expoplanner.com/sklep/img/logo/7035.jpg,https://www.spomasz.biz.pl/pl,marketing@spomasz.biz.pl; spomasz@spomasz.biz.pl; karpinski@spomasz.biz.pl,2147483647; 17095858128; 84 639 36 71,,,https://www.facebook.com/SpomaszZamoscSa/about/,,,,Produkcji Stanisław Szykuła (Kierownik),B
Domowe Sanatorium Zimnoch,"2023,2024,2025",B3.21a,C1.18a,C3.20,Sprzedane,Sprzedane,Sprzedane,https://domowesanatorium.pl/,Wyciskarki,,,5422991903,https://www4.pwe-expoplanner.com/sklep/img/logo/3096.jpg,https://domowesanatorium.pl/,kontakt@domowesanatorium.pl; marketing@domowesanatorium.pl,2017-10-01; 2024-07-08; 1553675757871,,,,,,,,B
Sacmi Packaging & Chocolate,2023,B2.27b,,,Sprzedane,,,https://www.sacmi.com/,MIĘDZYNARODOWY LIDER W INŻYNIERII INSTALACJI PRZEMYSŁOWYCH,,,6751640039,https://www4.pwe-expoplanner.com/sklep/img/logo/3352.jpg,https://sacmi.com/,sacmi@sacmi.it; sacmiimola@legalmail.it; sacmiamministrazione@legalmail.it,(57251605; +39-0542-607111; +39-0542-642354,,https://www.linkedin.com/company/sacmi,https://www.facebook.com/sacmi.it/,,https://www.youtube.com/user/SacmiWebServices,,,B
PB Technik Sp. z o.o.,2023,B2.14b,,,Sprzedane,,,https://pbtechnik.com.pl/,"PB Technik od 25 lat specjalizuje się w dostarczaniu zaawansowanych rozwiązań technologicznych dla przemysłu elektronicznego.
Oferta obejmuje szeroką gamę rozwiązań, od urządzeń do lutowania, przez systemy inspekcji optycznej, aż po maszyny do automatycznego montażu komponentów SMT i THT.",,,9521783400,https://www4.pwe-expoplanner.com/sklep/img/logo/4753.jpg,https://pbtechnik.com.pl/,info@pbtechnik.com.pl,26589340; 2026-05-25; 2026-03-01,,https://www.linkedin.com/company/pbtechnik-pl,https://www.facebook.com/PB-Technik-maszyny-materia%C5%82y-i-technologie-dla-przemys%C5%82u-elektronicznego-602380906579551/,,https://www.youtube.com/channel/UCKLXsT4ZAMkNMMwiNKmXyLQ/featured,,,B
