company,contact_name,email,phone,linkedin,website,stand_2025,segment
Polska Izba Opakowań,Izby Do (Prezes),info@pio.org.pl,10000000,https://www.linkedin.com/company/polska-izba-opakowan/,https://pio.org.pl/,C1.40b,A
Trade Mysak,Jan Kowalski (CEO) | Jan Kowalski (CEO) | Jan Kowalski (CEO),biuro@trademysak.pl,00000000,https://www.linkedin.com/company/3481373/admin/feed/posts/,https://trademysak.pl/,,A
Luneos,Marek Kostecki (Prezes) | Radosław Andrzejewski (Dyrektor) | Quality Group (Manager),info@luneos.pl,2022-02-02,https://www.linkedin.com/company/luneos/,https://luneos.pl/,,A
QUALITY MEAT PAWĘTA SP. Z O.O.,Sylwester Pawęta (Założyciel),office@paweta.com,2020-07-30,https://www.linkedin.com/company/pawetamiesadojrzewajace/,https://www.paweta.com/,,A
Malaysian Palm Oil Council (MPOC),Firdaus Tarmizi General (Manager) | Faisal Iqbal General (Manager) | Eva Voong General (Manager),webmaster@mpoc.org.my,11.111111111111,https://www.linkedin.com/company/mpochq,https://www.mpoc.org.my/,,A
RADZIOWI,Sprzedaż Przemysław Słyś (Specjalista),office@radziowi.pl,2025-06-06,https://www.linkedin.com/company/80151712/admin/dashboard/,https://radziowi.pl/,C3.54a,A
NAVIGATOR M.Pilaciński S.K.,Marcin Pilaciński (Prezes) | Robert Pilaciński (Wiceprezes) | Janusz Wrona (Manager),marcin@navigator-polska.com,3263-1024,https://www.linkedin.com/company/navigator-polska/,https://navigator-polska.com/,,A
LNS Trade,Eric Uzan (Founder) | In Cyril Motz (Managing Director) | Jonathan Bertrand Operational (Director),info@lnstrade.fr,88 84 03 80,https://fr.linkedin.com/company/ultrapopbylnstrade,https://lnstrade.fr/,,A
Ekovoltis,Hotel Bartosz Binkowski (Dyrektor) | Gerard Maćko (Właściciel) | Juergen Mayerhofer (CEO),bok@ekovoltis.pl,2025-09-30,https://www.linkedin.com/company/ekovoltispl/,https://ekovoltis.pl/,C4.40,A
MGDF,Bartłomiej Muzykiewicz (Prezes),biuro@mgdf.pl,2023-11-05,https://www.linkedin.com/company/mgdf-consulting/,https://mgdf.pl,,A
CB POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Key Account (Manager) | Key Account (Manager),info@crazybubble.pl,+48505108820,https://pl.linkedin.com/company/crazy-bubble,https://crazybubble.pl/,,A
ZBUDUJPRZYCZEPE.PL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Adam Ujastowski (Właściciel) | Unijnych Katarzyna Chrowatkiewicz (Właściciel) | Jakub Dynar (Właściciel),zapytania@zbudujprzyczepe.pl,2025-05-16,https://www.linkedin.com/company/zbudujprzyczepe-pl,https://zbudujprzyczepe.pl/,C3.40,A
SMART WORK,Smart Work Nawigacja (Wiceprezes),biuro@smartwork.pl,+74 74 648 70 47,https://www.linkedin.com/company/agencjapracy-smartwork/,https://www.smartwork.pl/,C3.26,A
TWARDZIK,Biuro Handlowe (Dyrektor),artur@twardzik.com.pl,+48 32 2020892,https://www.linkedin.com/company/7139185/,https://twardzik.com.pl/,C1.44a,A
Klaster Creative Packaging Group CPG,Paweł Paździerz (Prezes) | Katarzyna Piątek (Wiceprezes),biuro@cpgpackaging.pl,99999999,https://www.linkedin.com/company/klaster-cpg/,https://cpgpackaging.pl/,C4.23,A
KACZMARSKI GROUP SPÓŁKA JAWNA,Kaczmarski Group (CEO),kontakt@kaczmarskigroup.pl,2026-05-15,https://www.linkedin.com/company/kaczmarskigroup/,https://kaczmarskigroup.pl/,C4.09,A
CB Poland Sp. z o.o.,Key Account (Manager) | Key Account (Manager),info@crazybubble.pl,+48505108820,https://pl.linkedin.com/company/crazy-bubble,https://crazybubble.pl/,C5.19,A
Akcenta cz,Department Hovo (Head of Sales),info@akcenta.eu,+420 498 777 777,https://cz.linkedin.com/company/akcenta-cz,https://www.akcenta.cz/,C1.68a,A
Qmatch Consulting,Bartosz Olszewski (Prezes) | Sebastian Barandziak (Prezes) | Maciej Łojewski (Prezes),hello@qmatch.pl,2025-10-28,https://www.linkedin.com/in/tomasz-pietrzak/,https://qmatch.pl/,C4.77b,A
