name,years,stand_2023,stand_2024,stand_2025,status_2023,status_2024,status_2025,website,description_pl,description_en,contact,nip,logo,real_website,email,phone,whatsapp,linkedin,facebook,instagram,youtube,tiktok,representative,segment
GEA Food Solutions Poland,2023,B2.08,,,Sprzedane,,,https://www.gea.com/en/index.jsp,.,,,9531670063,https://www4.pwe-expoplanner.com/sklep/img/logo/11629.jpg,https://www.gea.com/en//,,4320412412; 44179073241; 9037-57131,,https://www.linkedin.com/company/geagroup,https://www.facebook.com/geagroup,,http://www.youtube.com/user/TheGEAGroup,,Stefan Klebert (CEO),C
NOMA Sp. z o.o.,2023,B3.07,,,Sprzedane,,,https://nowickifm.com/,,,,8351148991,https://www4.pwe-expoplanner.com/sklep/img/logo/11636.jpg,,,,,,,,,,,C
Premac,2023,B2.19,,,Sprzedane,,,https://premac.pl/,,,,5213644971,https://www4.pwe-expoplanner.com/sklep/img/logo/10027.jpg,https://premac.pl/,,1342177279; 601 321 163; 537 721 960,,,,,,,,C
JEREMY,2023,B3.05,,,Sprzedane,,,https://jeremy.pl/content/1-firma,,,,1251127980,https://www4.pwe-expoplanner.com/sklep/img/logo/11625.jpg,https://jeremy.pl/content/1-firma,,16042285; 52.305460; 21.014503,,,,,,,,C
Urschel International-Polska,2023,B1.14,,,Sprzedane,,,https://www.urschel.com/index.php,,,,1230740327,https://www4.pwe-expoplanner.com/sklep/img/logo/4929.jpg,https://www.urschel.com/,,2023-11-27; 2026-05-19; 00000026,,https://www.linkedin.com/company/urschel,https://www.facebook.com/urschelUSA/,,https://www.youtube.com/channel/UCm1slk3jkE5kvJASoAPRXyw/videos,,,C
SCANVAEGT SYSTEMS,2023,B2.17,,,Sprzedane,,,https://www.scanvaegt.com/pl/,"Jesteśmy liderem w zakresie rozwiązań optymalizacyjnych dla procesów produkcyjnych w przemyśle spożywczym, opartych na ważeniu, etykietowaniu, porcjowaniu, kalibrowaniu i zarządzaniu produkcją. Z nami uzyskasz pełną kontrolę nad produkcją, zwiększysz wydajność i uzyski. Zapewniamy sprawdzone narzędzia do ochrony Twojej marki.","We are the leader in scope of optimization solutions for production processes in food industry based on weighing, labeling, portioning, grading and production management. With us, you will gain full control over production, increase efficiency and yields. We provide proven tools to protect your brand.",,5272681608,https://www4.pwe-expoplanner.com/sklep/img/logo/7807.jpg,https://www.scanvaegt.com:443/,,,,,,,,,,C
Radpak Fabryka Maszyn Pakującychwied,2023,B3.05,,,Sprzedane,,,https://www.radpak.pl/,,,,8880401289,https://www4.pwe-expoplanner.com/sklep/img/logo/17753.jpg,https://www.radpak.pl/,,,,,,,,,,C
Air Products,2023,B1.16,,,Sprzedane (Targi PWE),,,http://www.airproducts.com.pl/,.,,,5260213184,https://www4.pwe-expoplanner.com/sklep/img/logo/7940.jpg,https://www.airproducts.com.pl/,,1996-2026,,,,,,,,C
BACHA,2023,B2.27a,,,Sprzedane,,,http://www.bachabg.com.pl/,,,,5242425042,https://www4.pwe-expoplanner.com/sklep/img/logo/8827.jpg,,,,,,,,,,,C
Garos,2023,B2.14a,,,Sprzedane,,,https://garos.se/representatives/,,,,9671167335,https://www4.pwe-expoplanner.com/sklep/img/logo/15813.jpg,https://garos.se/representatives/,,2022-08-01; 2026-05-21; (5411) 5368-8228,,https://www.linkedin.com/company/food-technology-sa,,,https://www.youtube.com/@abgaros6164,,,C
SIMUL,2023,B1.17,,,Sprzedane,,,https://aplikacja.ceidg.gov.pl/CEIDG/CEIDG.Public.UI/Search.aspx,,,,8231641252,https://www4.pwe-expoplanner.com/sklep/img/logo/15576.jpg,,,,,,,,,,,C
kablonex,2023,B1.18,,,Sprzedane,,,https://kablonex.pl/,"Firma Kablonex powstała w 1971 roku i od tego czasu nieustannie się rozwija inwestując w najnowsze technologie do produkcji folii oraz poszerzając swoja ofertę o nowe innowacyjne produkty. Odbiorcami są zarówno producenci krajowi jak i zagraniczni, w tym duże korporacje oraz mniejsze zakłady produkcyjne. Kablonex jest producentem zaawansowanych technologicznie folii wielowarstwowych, gdzie połączenie najnowocześniejszych technologii z polityką zrównoważonego rozwoju stawia nas w czołówce liderów promujących zasadę ekologia-produkcja-ekonomia.",,,6070084790,https://www4.pwe-expoplanner.com/sklep/img/logo/17292.jpg,https://kablonex.pl/,,2015-12-12; 2026-05-14; 48) 67 281 11 51,,,,,,,Roman Łęga Key (Account Manager) | Monika Kułak Key (Account Manager) | Junior Business Development (Manager),C
Solution 4 Labs,2023,B3.21b,,,Sprzedane,,,https://solution4labs.com/pl/,,,,5272725493,https://www4.pwe-expoplanner.com/sklep/img/logo/17952.jpg,https://www.solution4labs.com/,,2545352419; 2197735472; 1180020854,,,,,,,,C
Oex Cursor,"2023,2024",B1.21a,C3.46,,Sprzedane,Sprzedane (Targi PWE),,https://oexcursor.pl/,.,,,5213141885,https://www4.pwe-expoplanner.com/sklep/img/logo/9217.jpg,,,,,,,,,,,C
ETERNO,"2024,2025",,C2.02,C3.15,,Sprzedane,Sprzedane (Targi PWE),https://eterno.pl/,"Jesteśmy rodzinną manufakturą z serca Mazowsza, nasze przetworyprzygotowujemy tradycyjnie wg przepisów przekazywanych od pokoleń.Łączymy tradycję z nowoczesnością. Tworzymy też własne, unikalnereceptury. Produkujemy naturalne przetwory, owoce w syropach,powidła śliwkowe, konfitury, sosy, syropy, chrzany. W ofercie posiadamyprodukty wegańskie, wegetariańskie, bezglutenowe i bez cukru.","We are a family manufactore from the heart of Mazovia, we prepare ourpreserves traditionally according to recipes handed down forgenerations. We combine tradition with modernity. We also create ourown, unique recipes. We produce natural preserves, fruit in syrups, plumjam, preserves, sauces, syrups and horseradish. We offer vegan,vegetarian, gluten-free and sugar-free products.","xxx, 00-000, xxx, Polska",,https://www4.pwe-expoplanner.com/sklep/img/logo/18500.png,,,,,,,,,,,C
MICHROWSKA PIWNICZKA,2024,,C2.02,,,Sprzedane,,https://www.facebook.com/MichrowskaPiwniczka/,"O ekologii mówiłam już w szkole średniej, opowiadając o ziemi, maszynach, zmianach i erozji. Staramy się być samowystarczalni, zawsze u nas było kolorowo, są zwierzęta, owoce, warzywa, łąki, staw. Planujemy barcie, może owce i emu dla bioróżnorodności. Gdy mam czas, pieczemy chleb, wędzimy, odnawiamy starocie, odtwarzamy tradycję. Rodzice nas uczą i pomagają, my uczymy nasze dzieci i dzieci gości. Od zawsze robiliśmy słoiczki, a wino było moją pasją. Od kilku lat dzielę się tym, co robię – stąd Michrowska Piwniczka. Nigdy nie chciałam komercji, stąd brak cukru lub jego minimalna ilość, bez wspomagaczy. Ma być prosto i zdrowo. Chcę, aby małe rolnictwo przetrwało, mimo opinii, że to nie ma sensu. Lubię moich klientów, moich gości, kocham tradycję i prostotę, ale wykorzystuję nowoczesność, która ułatwia życie. Zapraszam do stoiska po tradycyjne soki, syropy, octy, powidła, musy i kiszonki – produkty nagradzane na Mazowszu i w Polsce.","I talked about ecology in high school, discussing the earth, machinery, changes, and erosion.We strive to be self-sufficient$REDNIK it’s colorful here with animals, fruits, vegetables, meadows, and a pond. We plan to add beehives, maybe sheep, and emus for biodiversity. When I have time, we bake bread, smoke meat, restore antiques, and revive traditions. Our parents teach and help us, and we also teach our children and the children of our guests. We have always made jars, and wine has been my passion. For years, I have shared what I do – hence Michrowska Piwniczka. I avoid commercialism, hence no sugar or minimal sugar, and no additives. It has to be simple and healthy. I want small farming to survive. I love my customers, tradition, and simplicity but also use modernity that eases life. Visit our stall for traditional juices, syrups, vinegars, jams, purees, and pickles – products awarded in Mazovia and Poland.",,,https://www4.pwe-expoplanner.com/sklep/img/logo/54043.jpg,,,,,,,,,,,C
ELAVON,"2024,2025",,C1.02,C4.33,,Sprzedane,Sprzedane (Targi PWE),https://www.elavon.pl/index.html,,,,2090000825,https://www4.pwe-expoplanner.com/sklep/img/logo/30040.jpg,https://www.elavon.pl/,,0345-850-0195; 0533-4468; 22 306 42 22,,https://www.linkedin.com/company/elavon-europe/,https://www.facebook.com/ElavonEurope,https://www.instagram.com/elavon_europe/,https://www.youtube.com/@elavonpolska3406,,Wojciech Budzowski (Dyrektor),C
Województwo Lubelskie,2024,,C2.57,,,Sprzedane,,https://www.lubelskie.pl/,"Wojewódzka samorządowa jednostka organizacyjna działająca w formie jednostki budżetowej, przy pomocy której zarząd i marszałek województwa wykonują swoje zadania i kompetencje niezastrzeżone na rzecz sejmiku i wojewódzkich samorządowych jednostek organizacyjnych",,,7122904545,https://www4.pwe-expoplanner.com/sklep/img/logo/34721.png,,,,,,,,,,,C
