event_name,edition_2025,edition_2026,city,country,region,venue,visitors,exhibitors,exhibitor_countries,area_m2,frequency,organizer,website,notes
New Label Poland,"January 28-30, 2025","January 27-29, 2026",Warsaw,Poland,Eastern Europe,Ptak Warsaw Expo,"2,681","61",N/A,"10,000",Annual,Ptak Warsaw Expo,https://newlabelpoland.com/en/,"Private label / FMCG sourcing fair; part of Warsaw Marketing Week"
Marca Poland (by BolognaFiere),"April 21-22, 2026 (debut)","April 21-22, 2026",Warsaw,Poland,Eastern Europe,EXPO XXI / Ptak,"1,000","100",4,"5,000",Annual,BolognaFiere,https://www.marcabybolognafiere.com/,"Marca's CEE extension; PL/IT/AT/ES exhibitors; CEOs, directors, buyers"
Marca Bologna (Italy parent show),"January 14-15, 2026","January 13-14, 2027",Bologna,Italy,Western Europe,BolognaFiere,"25,000+","1,300",30,"35,000",Annual,BolognaFiere,https://www.marcabybolognafiere.com/,"Europe's #1 private label show; 22nd ed. 2026; +23% YoY exhibitors"
Warsaw Pack,"April 14-16, 2025","April 13-15, 2026",Warsaw,Poland,Eastern Europe,Ptak Warsaw Expo,"26,433","603",30,"50,000",Annual,Ptak Warsaw Expo,https://warsawpack.pl/en/,"Largest packaging trade fair in CEE serving FMCG"
BIOEXPO Warsaw,"November 18-20, 2025","November 17-19, 2026",Warsaw,Poland,Eastern Europe,Ptak Warsaw Expo,"10,679","239",N/A,"25,000",Annual,Ptak Warsaw Expo,https://warsawexpo.eu/en/fair-calendar/bioexpo-warsaw/,"Largest organic / eco-FMCG trade fair in CEE"
Retail Summit Prague,"February 4-5, 2025","February 3-4, 2026",Prague,Czech Republic,Eastern Europe,Hilton Prague,"800+","50+",10,N/A,Annual,Blue Events,https://www.retailsummit.cz/en/,"Largest retail/FMCG conference in Central Europe; C-suite focus"
Embax / Embaxprint,"March 2025","March 2026",Brno,Czech Republic,Eastern Europe,Brno Exhibition Centre,"15,000+","200+",20,"15,000",Biennial,Veletrhy Brno,https://www.bvv.cz/en/embax/,"Czech FMCG packaging & printing trade fair"
Privexpo Eurasia,"October 2025","October 2026",Istanbul,Turkey,Eastern Europe,IFM,"5,000+","150+",20,N/A,Annual,Privexpo,https://privexpo.com/en/,"3rd International private-label B2B Eurasia trade show"
Retail Experience Live (REL),"September 17-18, 2025","September 16-17, 2026",Stockholm,Sweden,Scandinavia,Kistamässan,"4,500+","150+",10,"8,000",Annual,Easyfairs,https://www.retailexperiencelive.se/,"Top Nordic FMCG retail innovation & private label event"
Easyfairs Packaging Innovations Stockholm,"October 2025","October 2026",Stockholm,Sweden,Scandinavia,Kistamässan,"3,500+","120+",10,"6,000",Annual,Easyfairs,https://www.easyfairs.com/sv/,"Nordic packaging & FMCG supply chain fair"
Nordic Retail & Wholesale Summit,"November 2025","November 2026",Copenhagen,Denmark,Scandinavia,Bella Center,"500+","30+",5,N/A,Annual,Insight Events,https://insightevents.dk/,"Nordic FMCG / retail buyer summit; senior decision-makers"
Norwegian Grocery Days (Dagligvaredagene),"January 2025","January 2026",Stavanger,Norway,Scandinavia,Clarion Hotel Energy,"800+","50+",5,N/A,Annual,DLF Norway,https://www.dlf.no/,"Top FMCG buyer event for Norwegian grocery retail"
Päivittäistavarakaupan Päivät,"April 2025","April 2026",Helsinki,Finland,Scandinavia,Messukeskus,"600+","40+",5,N/A,Annual,PTY Finland,https://www.pty.fi/,"Finland's leading FMCG & grocery retail event"
