event_name,edition_2025,edition_2026,city,country,region,venue,visitors,exhibitors,exhibitor_countries,area_m2,frequency,organizer,website,notes,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status,company_name_scraped,phone_scraped,linkedin_company_url,score
New Label Poland,"January 28-30, 2025","January 27-29, 2026",Warsaw,Poland,Eastern Europe,Ptak Warsaw Expo,"2,681",61,N/A,"10,000",Annual,Ptak Warsaw Expo,https://newlabelpoland.com/en/,Private label / FMCG sourcing fair; part of Warsaw Marketing Week,,,,,,False,False,False,0,0,skip,,"NEW LABEL POLAND is a comprehensive industry event dedicated to innovations, emerging brands, and trends in the FMCG sector. The expo serves as an all-in-one platform showcasing product launches, private label concepts, cutting-edge solutions in packaging, automation, technology, as well as sustainable development in product design and logistics.",,"Accomodation 
 
 
 
 
 Exhibition calendar 
 
 
 
 
 Contact 
 
 
 
 
 
 
 Exhibitors 
 
 
 
 
 
 
 
 Book a stan",,,partial,Private Label Trade Fair Expo - NEW LABEL POLAND 2027,,https://www.linkedin.com/company/new-label-poland,1
Marca Poland (by BolognaFiere),"April 21-22, 2026 (debut)","April 21-22, 2026",Warsaw,Poland,Eastern Europe,EXPO XXI / Ptak,"1,000",100,4,"5,000",Annual,BolognaFiere,https://www.marcabybolognafiere.com/,"Marca's CEE extension; PL/IT/AT/ES exhibitors; CEOs, directors, buyers",,,,,,False,False,False,0,0,skip,,"MARCA by BolognaFiere & ADM (13-14 gennaio 2027), l'unico salone in Italia per la MDD. Scopri le eccellenze Food, Non-Food, Marca Fresh e Marca Tech.",,"naFiere per conoscere tutte le novità
					 
 
 
 
 
 Email address 
 
 
 
							Iscriviti",,Marca by BolognaFiere & ADM: Il Salone Internazionale della Marca del Distributore,complete,Marca by BolognaFiere & ADM 2027 | Salone Internazionale Marca del Distributore,00312600372,http://www.linkedin.com/company/marca-by-bolognafiere,1
Marca Bologna (Italy parent show),"January 14-15, 2026","January 13-14, 2027",Bologna,Italy,Western Europe,BolognaFiere,"25,000+","1,300",30,"35,000",Annual,BolognaFiere,https://www.marcabybolognafiere.com/,Europe's #1 private label show; 22nd ed. 2026; +23% YoY exhibitors,,,,,,False,False,False,0,0,skip,,"MARCA by BolognaFiere & ADM (13-14 gennaio 2027), l'unico salone in Italia per la MDD. Scopri le eccellenze Food, Non-Food, Marca Fresh e Marca Tech.",,"naFiere per conoscere tutte le novità
					 
 
 
 
 
 Email address 
 
 
 
							Iscriviti",,Marca by BolognaFiere & ADM: Il Salone Internazionale della Marca del Distributore,complete,Marca by BolognaFiere & ADM 2027 | Salone Internazionale Marca del Distributore,00312600372,http://www.linkedin.com/company/marca-by-bolognafiere,1
Warsaw Pack,"April 14-16, 2025","April 13-15, 2026",Warsaw,Poland,Eastern Europe,Ptak Warsaw Expo,"26,433",603,30,"50,000",Annual,Ptak Warsaw Expo,https://warsawpack.pl/en/,Largest packaging trade fair in CEE serving FMCG,,,,,,False,False,False,0,0,skip,,"Warsaw Pack is a key industry event showcasing packaging technologies, machines, materials, and coding systems. The exhibition will feature innovative solutions, process automation, packaging testing, and logistics services. Discover trends and solutions revolutionizing the future of the packaging and logistics industry.",,"evious editions 
 
 
 
 
 
 
 Exhibition calendar 
 
 
 
 
 Contact 
 
 
 
 
 
 
 Exhibitors 
 
 
 
 
 
 
 
 Book a stan",,,partial,International Trade Fair for Packaging Technology and Packaging Equipment - Warsaw Pack 2027,,https://www.linkedin.com/company/warsaw-pack-targi-opakowan/,1
BIOEXPO Warsaw,"November 18-20, 2025","November 17-19, 2026",Warsaw,Poland,Eastern Europe,Ptak Warsaw Expo,"10,679",239,N/A,"25,000",Annual,Ptak Warsaw Expo,https://warsawexpo.eu/en/fair-calendar/bioexpo-warsaw/,Largest organic / eco-FMCG trade fair in CEE,,,,,,False,False,False,0,0,skip,,"Bio Expo Warsaw is a key industry event presenting organic food, BIO production technologies, eco-friendly products, bio-cosmetics, and natural medicines. Here, you will find high-quality food, artisanal delicacies, natural solutions, and cutting-edge innovations supporting the growth of the ecological market.",,"Exhibition stands 
 Press room 
 Career 
 Accomodation 
 Contact 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Calendar",,,partial,BIOEXPO Warsaw - Ptak Warsaw Expo,48 518 739,https://www.linkedin.com/company/warsaw-expo/,1
Retail Summit Prague,"February 4-5, 2025","February 3-4, 2026",Prague,Czech Republic,Eastern Europe,Hilton Prague,800+,50+,10,N/A,Annual,Blue Events,https://www.retailsummit.cz/en/,Largest retail/FMCG conference in Central Europe; C-suite focus,,,,,,False,False,False,0,0,skip,,The largest meeting of traders and their suppliers in Central Europe.,,"About Summit 
 
 
 Program 
 
 
 Partners 
 
 
 Contact 
 
 
 Registration 
 
 
 
 
 CS 
 
 
 EN",,,partial,Retail Summit,,,1
Embax / Embaxprint,March 2025,March 2026,Brno,Czech Republic,Eastern Europe,Brno Exhibition Centre,"15,000+",200+,20,"15,000",Biennial,Veletrhy Brno,https://www.bvv.cz/en/embax/,Czech FMCG packaging & printing trade fair,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Privexpo Eurasia,October 2025,October 2026,Istanbul,Turkey,Eastern Europe,IFM,"5,000+",150+,20,N/A,Annual,Privexpo,https://privexpo.com/en/,3rd International private-label B2B Eurasia trade show,,,,,,False,False,False,0,0,skip,,,,"PRIV Industry News 
 
 Send your PRIV News 
 
 
 Media 
 Contact 
   
 
   Menu 
 
 
 Home 
 Exhibitor 
 
 Exhibitor Ap",,,partial,"Home - PRIVEXPO 2026 B2B EURASIA, 3rd International Private Label & Contract Manufacturing Industry B2B Meeting, Seminar, Trade and Networking Event",90 216 606,,1
Retail Experience Live (REL),"September 17-18, 2025","September 16-17, 2026",Stockholm,Sweden,Scandinavia,Kistamässan,"4,500+",150+,10,"8,000",Annual,Easyfairs,https://www.retailexperiencelive.se/,Top Nordic FMCG retail innovation & private label event,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Easyfairs Packaging Innovations Stockholm,October 2025,October 2026,Stockholm,Sweden,Scandinavia,Kistamässan,"3,500+",120+,10,"6,000",Annual,Easyfairs,https://www.easyfairs.com/sv/,Nordic packaging & FMCG supply chain fair,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
