event_name,edition_2025,edition_2026,city,country,region,venue,visitors,exhibitors,exhibitor_countries,area_m2,frequency,organizer,website,notes,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
WorldFood Poland,"April 8-10, 2025","April 14-16, 2026",Warsaw,Poland,Eastern Europe,EXPO XXI Warsaw,"7,535",370,30,"15,000",Annual,Lentewenc / MMI,https://www.worldfood.pl/en/,"Largest food & drink trade show in Poland & CEE; 11th ed. 2025, 12th ed. 2026; 18% intl visitors",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Polagra,"September 30 - October 2, 2025","September 23-25, 2026",Poznań,Poland,Eastern Europe,Poznań International Fair (MTP),"10,000+",350+,25,"20,000",Annual,Grupa MTP,https://polagra.pl/en/,Long-running CEE food & HoReCa fair; jubilee edition in 2025,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Global Food Expo,"November 18-20, 2025","November 17-19, 2026",Warsaw,Poland,Eastern Europe,Ptak Warsaw Expo,"10,679",239,N/A,"25,000",Annual,Ptak Warsaw Expo,https://globalfoodexpo.pl/en/,"Co-located with Food Tech Expo, BIOEXPO Warsaw, Warsaw Food Industry Week",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Smakki Gastrotargi,"April 8-10, 2025",April 2026,Warsaw,Poland,Eastern Europe,EXPO XXI,"3,000+",100+,N/A,"5,000",Annual,MMI,https://smakki.pl/en/,Gastronomy and HoReCa trade fair; co-located with WorldFood Poland,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
SIRHA Budapest,"March 4-6, 2025","March 3-5, 2026",Budapest,Hungary,Eastern Europe,HUNGEXPO Budapest Fair Center,"27,000",420,26,"25,000",Biennial,Hungexpo / GL events,https://sirha-budapest.com/en/,"Central Europe's leading food, bakery, gastronomy & hospitality fair; 7th ed. 2026",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Salima International Food Fair,"February 25-27, 2025",February 2026,Brno,Czech Republic,Eastern Europe,Brno Exhibition Centre,"30,000+",550+,30,"40,000",Biennial,Veletrhy Brno,https://www.bvv.cz/en/salima/,Largest food industry trade fair in Czech Republic; trade-only B2B,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
For Gastro & Hotel,"September 25-27, 2025",September 2026,Prague,Czech Republic,Eastern Europe,PVA EXPO PRAHA,"29,742",250+,N/A,"31,200",Annual,ABF a.s.,https://forgastro.cz/en/,Leading Czech HoReCa & gastronomy fair; +5% YoY visitors,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Danubius Gastro,"January 30 - February 1, 2025","January 22-25, 2026",Bratislava,Slovakia,Eastern Europe,Incheba Expo Bratislava,"25,000+",300+,15,"15,000",Annual,Incheba,https://www.incheba.sk/danubius-gastro,Slovakia's leading international gastronomy trade fair,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Agrokomplex Nitra,"September 3-7, 2025","September 2-6, 2026",Nitra,Slovakia,Eastern Europe,Agrokomplex Nitra,"92,000+",500+,20,"60,000",Annual,Agrokomplex Národné výstavisko,https://agrokomplex.sk/en/,51st intl agricultural & food exhibition; SK's biggest agri-food event,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Indagra Food / Carnexpo,"October 29 - November 2, 2025","October 28 - November 1, 2026",Bucharest,Romania,Eastern Europe,Romexpo,"35,000+",550+,30,"45,000",Annual,Romexpo,https://www.indagra.ro/en/,Romania's largest agri-food and meat industry fair,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
