Company,Category,Country,Stand,IFE Profile,Relevant,Sales Navigator Search,LinkedIn People Search,Apollo Search,Apollo People Search,Contact Name,Contact Title,Contact Email,Website,Description,AI Message,Status,Interest Level,Notes,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score,Email,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,phone,linkedin_url
Acme Organics LLC,Stand: N1410f,,Stand: N1410f,https://www.ife.co.ukexhibitors/acme-organics-llc,YES,https://www.linkedin.com/sales/search/people?keywords=Acme%20Organics%20LLC&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=Acme%20Organics%20LLC&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=Acme%20Organics%20LLC,https://app.apollo.io/#/people?q_organization_name=Acme%20Organics%20LLC&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
Action Foods,Stand: N4180,,Stand: N4180,https://www.ife.co.ukexhibitors/action-foods-1,YES,https://www.linkedin.com/sales/search/people?keywords=Action%20Foods&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=Action%20Foods&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=Action%20Foods,https://app.apollo.io/#/people?q_organization_name=Action%20Foods&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
ADF FOODS UK LTD,Stand: N2330,,Stand: N2330,https://www.ife.co.ukexhibitors/adf-foods-uk,YES,https://www.linkedin.com/sales/search/people?keywords=ADF%20FOODS%20UK%20LTD&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=ADF%20FOODS%20UK%20LTD&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=ADF%20FOODS%20UK%20LTD,https://app.apollo.io/#/people?q_organization_name=ADF%20FOODS%20UK%20LTD&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
ADM Foods International,Stand: N3801,,Stand: N3801,https://www.ife.co.ukexhibitors/adm-foods-international,YES,https://www.linkedin.com/sales/search/people?keywords=ADM%20Foods%20International&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=ADM%20Foods%20International&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=ADM%20Foods%20International,https://app.apollo.io/#/people?q_organization_name=ADM%20Foods%20International&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
Aghati Sweets,Stand: N4410j,,Stand: N4410j,https://www.ife.co.ukexhibitors/aghati-sweets,YES,https://www.linkedin.com/sales/search/people?keywords=Aghati%20Sweets&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=Aghati%20Sweets&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=Aghati%20Sweets,https://app.apollo.io/#/people?q_organization_name=Aghati%20Sweets&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
Agricultural and Processed Food Products Export Development Authority (APEDA),"Stand: N1310, N1370, N1350, N1330",,"Stand: N1310, N1370, N1350, N1330",https://www.ife.co.ukexhibitors/agricultural-processed-food-products-export-development-authority-apeda-2,YES,https://www.linkedin.com/sales/search/people?keywords=Agricultural%20and%20Processed%20Food%20Products%20Export%20Development%20Authority%20(APEDA)&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=Agricultural%20and%20Processed%20Food%20Products%20Export%20Development%20Authority%20(APEDA)&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=Agricultural%20and%20Processed%20Food%20Products%20Export%20Development%20Authority%20(APEDA),https://app.apollo.io/#/people?q_organization_name=Agricultural%20and%20Processed%20Food%20Products%20Export%20Development%20Authority%20(APEDA)&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
AHA GLOBAL ( v7 DRINK ),Stand: N2739,,Stand: N2739,https://www.ife.co.ukexhibitors/aha-global-v7-drink--1,YES,https://www.linkedin.com/sales/search/people?keywords=AHA%20GLOBAL%20(%20v7%20DRINK%20)&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=AHA%20GLOBAL%20(%20v7%20DRINK%20)&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=AHA%20GLOBAL%20(%20v7%20DRINK%20),https://app.apollo.io/#/people?q_organization_name=AHA%20GLOBAL%20(%20v7%20DRINK%20)&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
AIB Foods Ltd,Stand: N2510,,Stand: N2510,https://www.ife.co.ukexhibitors/aib-foods-1,YES,https://www.linkedin.com/sales/search/people?keywords=AIB%20Foods%20Ltd&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=AIB%20Foods%20Ltd&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=AIB%20Foods%20Ltd,https://app.apollo.io/#/people?q_organization_name=AIB%20Foods%20Ltd&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
AIDA FOODS,Stand: N4055,,Stand: N4055,https://www.ife.co.ukexhibitors/aida-foods-1,YES,https://www.linkedin.com/sales/search/people?keywords=AIDA%20FOODS&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=AIDA%20FOODS&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=AIDA%20FOODS,https://app.apollo.io/#/people?q_organization_name=AIDA%20FOODS&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
AKANLAR FOOD CO.,Stand: N3661,,Stand: N3661,https://www.ife.co.ukexhibitors/akanlar-food-co-1,YES,https://www.linkedin.com/sales/search/people?keywords=AKANLAR%20FOOD%20CO.&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=AKANLAR%20FOOD%20CO.&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=AKANLAR%20FOOD%20CO.,https://app.apollo.io/#/people?q_organization_name=AKANLAR%20FOOD%20CO.&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
