Company,Category,Country,Relevant,LinkedIn Search,Apollo Search,Status,Interest Level,Notes,enrichment_status,score
100 Coconuts,Stand: N4912,,Check,https://www.linkedin.com/search/results/companies/?keywords=100%20Coconuts,https://app.apollo.io/#/companies?q_organization_name=100%20Coconuts,New,,,partial,0
167 Regiment RLC,Stand: S574,,Check,https://www.linkedin.com/search/results/companies/?keywords=167%20Regiment%20RLC,https://app.apollo.io/#/companies?q_organization_name=167%20Regiment%20RLC,New,,,partial,0
24 Social,Stand: S3054,,Check,https://www.linkedin.com/search/results/companies/?keywords=24%20Social,https://app.apollo.io/#/companies?q_organization_name=24%20Social,New,,,partial,0
3 Aces London Ltd,Stand: N3650,,Check,https://www.linkedin.com/search/results/companies/?keywords=3%20Aces%20London%20Ltd,https://app.apollo.io/#/companies?q_organization_name=3%20Aces%20London%20Ltd,New,,,partial,0
3Bumi Sdn Bhd,Stand: N1210,,Check,https://www.linkedin.com/search/results/companies/?keywords=3Bumi%20Sdn%20Bhd,https://app.apollo.io/#/companies?q_organization_name=3Bumi%20Sdn%20Bhd,New,,,partial,0
A.Vogel UK & Ireland Ltd,Stand: N940,,Check,https://www.linkedin.com/search/results/companies/?keywords=A.Vogel%20UK%20&%20Ireland%20Ltd,https://app.apollo.io/#/companies?q_organization_name=A.Vogel%20UK%20&%20Ireland%20Ltd,New,,,partial,0
ABC Global Resources,Stand: N1410a,,Check,https://www.linkedin.com/search/results/companies/?keywords=ABC%20Global%20Resources,https://app.apollo.io/#/companies?q_organization_name=ABC%20Global%20Resources,New,,,partial,0
Acai Berry,Stand: N1349,,Check,https://www.linkedin.com/search/results/companies/?keywords=Acai%20Berry,https://app.apollo.io/#/companies?q_organization_name=Acai%20Berry,New,,,partial,0
Acetaia Castelli,Stand: N2010k,,Check,https://www.linkedin.com/search/results/companies/?keywords=Acetaia%20Castelli,https://app.apollo.io/#/companies?q_organization_name=Acetaia%20Castelli,New,,,partial,0
ACFRI,Stand: S500,,Check,https://www.linkedin.com/search/results/companies/?keywords=ACFRI,https://app.apollo.io/#/companies?q_organization_name=ACFRI,New,,,partial,0
Acier Limited,Stand: N512,,Check,https://www.linkedin.com/search/results/companies/?keywords=Acier%20Limited,https://app.apollo.io/#/companies?q_organization_name=Acier%20Limited,New,,,partial,0
Acme Organics LLC,Stand: N1410f,,YES,https://www.linkedin.com/search/results/companies/?keywords=Acme%20Organics%20LLC,https://app.apollo.io/#/companies?q_organization_name=Acme%20Organics%20LLC,New,,,partial,0
ACP Freight Services Ltd,Stand: N878,Exporters Hub,Check,https://www.linkedin.com/search/results/companies/?keywords=ACP%20Freight%20Services%20Ltd,https://app.apollo.io/#/companies?q_organization_name=ACP%20Freight%20Services%20Ltd,New,,,partial,0
Acres,Stand: S371,,Check,https://www.linkedin.com/search/results/companies/?keywords=Acres,https://app.apollo.io/#/companies?q_organization_name=Acres,New,,,partial,0
