expo,company_name,stand,enrichment_status,score
Seafood Expo Global,3M SEAFOOD SA,5M603,partial,0
Seafood Expo Global,4ESSE S.R.L.,5I401,partial,0
Seafood Expo Global,5DO - Cinq Degres Ouest,3E801,partial,0
Seafood Expo Global,A PULPEIRA,4E401,partial,0
Seafood Expo Global,A. Espersen A/S,2H301,partial,0
Seafood Expo Global,A.O. Kingdom International Co. Ltd.,2K100,partial,0
Seafood Expo Global,A/S Sæby Fiske-Industri,2F700,partial,0
Seafood Expo Global,AA Lobster Canada,3A601,partial,0
Seafood Expo Global,Abalioglu Balik ve Gida Ürünleri A.Ş.,2B701,partial,0
Seafood Expo Global,Abo El Seed,1F503,partial,0
Seafood Expo Global,ABRAMCZYK LTD,5D502,partial,0
Seafood Expo Global,Abramczyk Sp. z o.o.,4G501,partial,0
Seafood Expo Global,Abrolhos Octopus,GB305,partial,0
Seafood Expo Global,Accelerated Freeze Drying Co Ltd,1F511,partial,0
Seafood Expo Global,Achernar S.A.S,2G701,partial,0
Seafood Expo Global,Acme Smoked Fish Corp,2G301,partial,0
Seafood Expo Global,Acquamarina Srl,5I401,partial,0
Seafood Expo Global,Acuacultura y Pesca S.A.C.,5D501,partial,0
Seafood Expo Global,ACUIDELTA,2G501,partial,0
Seafood Expo Global,ADACHI ORGANIC SHOYU BREWERY,4F600,partial,0
Seafood Expo Global,Adamas Caviar,5I401,partial,0
Seafood Expo Global,ADEN GULF FISHERIES CO.,2A600,partial,0
Seafood Expo Global,Affish BV,2J700,partial,0
Seafood Expo Global,Affish Fresh bv,2J700,partial,0
Seafood Expo Global,AFOODS,4B501,partial,0
Seafood Expo Global,Aframar SL,4G300,partial,0
Seafood Expo Global,Afro Pesca Maroc (HBZ Group),2C501,partial,0
Seafood Expo Global,Agencia de Gestion Agraria y Pesquera de Andalucia,"4G300, 4G301",partial,0
Seafood Expo Global,Agraya GmbH,2K701,partial,0
Seafood Expo Global,"Agri-Aquatic Care Enterprise, Inc",4F501,partial,0
Seafood Expo Global,"Agricultural Trade Promotion Center, Ministry of Agriculture and Rural Affairs, PRC",3K401,partial,0
Seafood Expo Global,Agriculture & Agri-Food Canada,"3A601, 3A801",partial,0
Seafood Expo Global,AGROITTICA VAL SELE DI DI RISO SABATO PASQUALE- GRUPPO DI RISO PESCA,5I401,partial,0
Seafood Expo Global,Agromey Gida Ve Yem San. Tic. A.S.,2B601,partial,0
Seafood Expo Global,Agustson A/S,2G301,partial,0
Seafood Expo Global,"AHCOF Industrial Development Co., Ltd.",4B201,partial,0
Seafood Expo Global,Ahumados Domínguez,2G701,partial,0
Seafood Expo Global,Ahumados Gimar,3K601,partial,0
Seafood Expo Global,AILLA PASTEURIZADOS,4F401,partial,0
Seafood Expo Global,"AJC International, Inc",5C701,partial,0
Seafood Expo Global,AJD Tuna Limited - Malta,4A601,partial,0
Seafood Expo Global,Akerko Seafood Turkish Salmon,1E503,partial,0
Seafood Expo Global,Akgol Balikcilik,2B701,partial,0
Seafood Expo Global,Alaska Seafood Marketing Institute,"5A201, 5B201, 5B301, 5C401",partial,0
Seafood Expo Global,Alaskan Leader Seafoods,5A201,partial,0
Seafood Expo Global,"Alfocan, S.A.",2K401,partial,0
Seafood Expo Global,ALFRIO,4B400,partial,0
Seafood Expo Global,ALFRISA,2G501,partial,0
Seafood Expo Global,Algaé - Perles de Saveurs,3E801,partial,0
Seafood Expo Global,ALIF-Associacao da Industria Alimentar pelo Frio,"4C501, 4C601",partial,0
Seafood Expo Global,Alimentos Congelados Alimare S.A.,4G206,partial,0
Seafood Expo Global,Alimex Seafoods A/S,2G301,partial,0
Seafood Expo Global,All Freez nv,4B401,partial,0
Seafood Expo Global,All-Fish Handelsgesellschaft mbH,5I502,partial,0
Seafood Expo Global,Allmare,4G600,partial,0
Seafood Expo Global,Aloia S.r.l,5L203,partial,0
Seafood Expo Global,Alonafish,2J401,partial,0
Seafood Expo Global,ALPENORTH DENİZ ÜRÜNLERİ ÜRETİM İHRACAT İTHALAT VE TİC A.Ş.,2B601,partial,0
Seafood Expo Global,Alpha Bay SA,2D503,partial,0
Seafood Expo Global,Alphapeche Trade,3N500,partial,0
Seafood Expo Global,Altonaer Kaviar Import Haus GmbH & Co. KG,3G901,partial,0
Seafood Expo Global,Amacore B.V.,5I501,partial,0
Seafood Expo Global,Amacore International B.V.,5I501,partial,0
Seafood Expo Global,AMATI SRL,5I401,partial,0
Seafood Expo Global,AMDIE,2C501,partial,0
Seafood Expo Global,Amegrove,4E401,partial,0
Seafood Expo Global,American Albacore Fishing Association - AAFA,5D201,partial,0
Seafood Expo Global,American Seafoods Group,5B301,partial,0
Seafood Expo Global,AMfish BV,3F401,partial,0
Seafood Expo Global,AMMARUNI,5I401,partial,0
Seafood Expo Global,Ammon International Inc.,2J201,partial,0
Seafood Expo Global,AMR Exports (I) Pvt Ltd,3J801,partial,0
Seafood Expo Global,Amrut Cold Storage Pvt Ltd,3I801,partial,0
Seafood Expo Global,Amyco Foods Group Limited,2C102,partial,0
Seafood Expo Global,AN HAI FISHERY LIMITED COMPANY,4B501,partial,0
Seafood Expo Global,AN MY FISH JOINT STOCK COMPANY (ANMYFISHCO),4B601,partial,0
Seafood Expo Global,ANDA - Agence nationale pour le développement de l'aquaculture,2B401,partial,0
Seafood Expo Global,Andfjord Salmon,5G501,partial,0
Seafood Expo Global,Andreas Bjorge Seafood AS,2F401,partial,0
Seafood Expo Global,Anduronda Import GmbH,3I700,partial,0
Seafood Expo Global,Anfabasa,2G401,partial,0
Seafood Expo Global,ANFACO-CECOPESCA,4E401,partial,0
Seafood Expo Global,"Angulas Aguinaga, S.A.U.",3N700,partial,0
Seafood Expo Global,ANICOM,2C501,partial,0
Seafood Expo Global,Anna DUTCH CAVIAR,4C703,partial,0
Seafood Expo Global,Anova Seafood BV,2J700,partial,0
Seafood Expo Global,Anraj Fish Products Ind. Ltd,1B901,partial,0
Seafood Expo Global,AnT Seafood BV,3G201,partial,0
Seafood Expo Global,ANTONIUS CAVIAR / GOSPODARSTWO RYBACKIE GOSŁAWICE,4G501,partial,0
Seafood Expo Global,APIA Tunisia,2J501,partial,0
Seafood Expo Global,Aprimar SRL - Maricoltura Bio - Prodotti Dello Jonio Nord e Servizi,5I401,partial,0
Seafood Expo Global,AquaChile,3G801,partial,0
Seafood Expo Global,Aquacria Lafigal SL,4E300,partial,0
Seafood Expo Global,Aquaculture Stewardship Council (ASC),4A401,partial,0
Seafood Expo Global,AQUAGOLD S.A.,5C601,partial,0
Seafood Expo Global,Aqualine Seafoods Ltd,3A601,partial,0
Seafood Expo Global,Aquanaria S.L.,1E909,partial,0
Seafood Expo Global,Aquapri A/S,2F700,partial,0
Seafood Expo Global,Aquatir,1F809,partial,0
Seafood Expo Global,Aquimer,3D601,partial,0
Seafood Expo Global,Aquna Sustainable Murray Cod,GB305,partial,0
Seafood Expo Global,Arbacommerce d.o.o.,2E701,partial,0
Seafood Expo Global,Arbi Dario S.p.a,5I401,partial,0
Seafood Expo Global,Arctic Storm Management Group,5C401,partial,0
Seafood Expo Global,Arde-Som A.S.,2B701,partial,0
Seafood Expo Global,Ardora Foods,4E401,partial,0
Seafood Expo Global,Arena Nordland,"5F600, 5G501",partial,0
Seafood Expo Global,"Argafish, S.L.",4E401,partial,0
Seafood Expo Global,Argenova S.A.,5E701,partial,0
Seafood Expo Global,Argentina - Export.Ar,"5E601, 5E701, 5F601, 5F701",partial,0
Seafood Expo Global,Argisfood,3D601,partial,0
Seafood Expo Global,Armadora Pereira S. A,5K501,partial,0
Seafood Expo Global,Arnarlax,1B701,partial,0
Seafood Expo Global,Arofish SL,5K201,partial,0
Seafood Expo Global,ARROM BARCELONA,5L301,partial,0
Seafood Expo Global,Artania LTD,2A302,partial,0
Seafood Expo Global,Articfish Import S.L,2G401,partial,0
Seafood Expo Global,ASAT,2C501,partial,0
Seafood Expo Global,Asian Marine Foods,3J801,partial,0
Seafood Expo Global,Asmak Muscat Int'l LLC,4H601,partial,0
Seafood Expo Global,Asociación de Organizaciones de Productores PESCA ESPAÑA,2G401,partial,0
Seafood Expo Global,ASR ITALICA CAVIAR,5I401,partial,0
Seafood Expo Global,Associated Seafoods Ltd,2F601,partial,0
Seafood Expo Global,Association de Défense et de Promotion de l'Huître de Normandie,3B601,partial,0
