expo,company_name,stand,enrichment_status,score,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,description,phone,address,linkedin_url,industry
Seafood Expo Global,,5M603,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3E801,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4E401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2H301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2K100,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2F700,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3A601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2B701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,1F503,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5D502,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4G501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,GB305,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,1F511,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5D501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4F600,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2A600,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2J700,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2J700,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4B501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4G300,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2C501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,"4G300, 4G301",partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2K701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4F501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3K401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,"3A601, 3A801",partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2B601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4B201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3K601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4F401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5C701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4A601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,1E503,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2B701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,"5A201, 5B201, 5B301, 5C401",partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5A201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2K401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4B400,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3E801,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,"4C501, 4C601",partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4G206,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4B401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I502,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4G600,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5L203,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2J401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2B601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2D503,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3N500,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3G901,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2C501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4E401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5D201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5B301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3F401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2J201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3J801,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3I801,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2C102,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4B501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4B601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2B401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5G501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2F401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3I700,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4E401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3N700,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2C501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4C703,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2J700,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,1B901,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3G201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4G501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2J501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3G801,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4E300,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4A401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5C601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3A601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,1E909,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2F700,partial,0,,,,,,False,False,False,0,0,skip,,,,,
