Company,City,Phone,Website,Category,Sector,Target Title (LinkedIn),LinkedIn Search String,Pitch Message,Status,Email,WhatsApp,LinkedIn,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score,Title,Fair,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,phone,linkedin_url
GÜVEN-AL Lebensmittel Großhandel,Frankfurt am Main,+49 69 4365454,https://guvenal.de/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""GÜVEN-AL Lebensmittel Großhandel"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@guvenal.de,,,haubtseite,,,,,,partial,2,,,True,True,False,2,0,email only,haubtseite,,
Okle GmbH Wholesale Central,Singen,+49 7731 8290,http://www.okle.de/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Okle GmbH Wholesale Central"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@okle.de,,,Okle GmbH Singen | Großhandel | Nahversorger,"Die Okle GmbH ist eine Lebensmittelgroßhandlung, mit Fokus auf dem regionalen Einzelhandel. Wir bieten alle Services rund um Ihren Markt.",7731 829,,,,partial,2,,,True,True,False,2,0,email only,Okle GmbH Singen | Großhandel | Nahversorger,7731 829,
ALTUN Lebensmittel e.K.,Berlin,+49 30 3951984,https://altun-lebensmittel.de/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15063414987751134022,Wholesale food store,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""ALTUN Lebensmittel e.K."" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,post@altun-berlin.de,,,"Altun Lebensmittelgroßmarkt | Großhandel | Gaußstraße 7, 10589 Berlin, Germany","Altun Lebensmittel e.K. ist ein Lebensmittelgroßhandel in Berlin. Wir führen in unserem Großmarkt qualitativ hochwertige Lebensmittel zu günstigen Preisen, die den Berliner Gastronomen eine hervorragende Gewinnspanne ermöglichen. Der Großmarkt befindet sich in der Gaußstr. 7 10589 Berlin.",030 395,,,,partial,2,,,True,True,False,2,0,email only,"Altun Lebensmittelgroßmarkt | Großhandel | Gaußstraße 7, 10589 Berlin, Germany",030 395,
Transfood Großhandel (Wholesale),Ratingen,+49 211 4371890,http://www.transfoodgrosshandel.com/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Transfood Großhandel (Wholesale)"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@transfood-grosshandel.de,,,,,,,,,partial,1,,,True,False,False,1,0,skip,,,
Bodan Großhandel für Naturkost GmbH,Überlingen,+49 7551 94790,http://www.bodan.de/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Bodan Großhandel für Naturkost GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@bodan.de,,https://www.linkedin.com/company/bodan-gro%C3%9Fhandel-f%C3%BCr-naturkost-gmbh/,Bodan GmbH,,,,https://www.linkedin.com/company/bodan-gro%C3%9Fhandel-f%C3%BCr-naturkost-gmbh/,,partial,2,,,True,True,False,2,0,email only,Bodan GmbH,,https://www.linkedin.com/company/bodan-gro%C3%9Fhandel-f%C3%BCr-naturkost-gmbh/
Grossmarkt Stuttgart,Stuttgart,+49 711 480410,http://www.grossmarkt-stuttgart.de/,Warehouse store,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Grossmarkt Stuttgart"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@maerkte-stuttgart.de,,,Home – Grossmarkt Stuttgart,Grossmarkt Stuttgart,400000,,,Grossmarkt Stuttgart,partial,2,,,True,True,False,2,0,email only,Home – Grossmarkt Stuttgart,400000,
MEGA,Stuttgart,+49 711 16840,http://www.mega-stuttgart.de/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""MEGA"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@mega-stuttgart.de,,https://www.linkedin.com/company/mega-das-fach-zentrum-f%C3%BCr-die-metzgerei-und-gastronomie-eg/,MEGA - Großhandel für die Metzgerei & Gastronomie,Die MEGA blickt auf eine lange Tradition zurück. Angefangen hat alles als Einkaufs- und Lieferungsgenossenschaft für das Metzgerhandwerk vor 80 Jahren.,,,https://www.linkedin.com/company/mega-das-fach-zentrum-f%C3%BCr-die-metzgerei-und-gastronomie-eg/,,partial,2,,,True,True,False,2,0,email only,MEGA - Großhandel für die Metzgerei & Gastronomie,,https://www.linkedin.com/company/mega-das-fach-zentrum-f%C3%BCr-die-metzgerei-und-gastronomie-eg/
Foodservice Werner Ebert GmbH & Co. KG,Stuttgart,+49 711 4804510,https://www.werner-ebert.de/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Foodservice Werner Ebert GmbH & Co. KG"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,werner-ebert@werner-ebert.de,+497114804510,,Großhandel Obst und Gemüse Stuttgart - Foodservice Werner Ebert Stuttgart,"Großhandel für Obst und Gemüse Werner Ebert: von Stuttgart bis an den Bodensee liefern wir täglich hochwertige Frische, Feinkost und Convenience. Jetzt bestellen!",49 711 4804,,,,partial,2,,,True,True,False,2,0,email only,Großhandel Obst und Gemüse Stuttgart - Foodservice Werner Ebert Stuttgart,+49 711 480451,
Ikram Lebensmittel Großhandel GmbH,Berlin,+49 30 39885216,http://www.ikram-food.de/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Ikram Lebensmittel Großhandel GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@ikram-food.de,,https://www.linkedin.com/company/ikram-lebensmittel-gro%C3%9Fhandel-gmbh,Ikram Lebensmittel Grosshandel GmbH – Ikram Lebensmittel Grosshandel GmbH Berlin,,030 398,,https://www.linkedin.com/company/ikram-lebensmittel-gro%C3%9Fhandel-gmbh,,partial,2,,,True,True,False,2,0,email only,Ikram Lebensmittel Grosshandel GmbH – Ikram Lebensmittel Grosshandel GmbH Berlin,030 398,https://www.linkedin.com/company/ikram-lebensmittel-gro%C3%9Fhandel-gmbh
Utz GmbH & Co.KG Lebensmittel-Großhandel,Ochsenhausen,+49 7352 92020,http://www.utz-lebensmittel.de/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Utz GmbH & Co.KG Lebensmittel-Großhandel"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@utz-lebensmittel.de,,,Utz Lebensmittel Großhandel,,07352 9202,,,,partial,2,,,True,True,False,2,0,email only,Utz Lebensmittel Großhandel,07352 9202,
