Category,Name,Company,Email,Title,Country
textile,,,info@04651.com,,GERMANY
textile,,,info@zerosettantastudio.com,,ITALY
textile,,,giovanni@24bottles.com,,ITALY
textile,,,info@40weft.com,,ITALY
textile,,,info@aleyva.com,,SPAIN
textile,,,info@abarcashoes.com,,SPAIN
textile,,,info@cristianodithiene.com,,ITALY
textile,,,info@aesseeqp.it,,ITALY
textile,,,commerciale@modamarostica.eu,,ITALY
textile,,,info@weareaikon.com,,ITALY
textile,,,info@ajo-studio.com,,KOREA (SOUTH)
textile,,,hello@alberto-pants.com,,GERMANY
textile,,,Customercare@albertofasciani.it,,ITALY
textile,,,info@albertoluti.it,,ITALY
textile,,,online@aldenshoe.com,,U.S.A.
textile,,,info@alessandrogherardi.com,,ITALY
textile,,,info@alessandrogilles.it,,ITALY
textile,,,info@alessandrogilles.it,,ITALY
textile,,,admin@alexanderhotto.com,,ITALY
textile,,,info@alfonsodeste.it,,ITALY
textile,,,info@alfronce.com,,CHINA
textile,,,hi@algoribrand.com,,PORTUGAL
textile,,,service@allbirds.eu,,U.S.A.
textile,,,info@alleydocks.com,,ITALY
textile,,,info@alpenhaus.com,,CANADA
textile,,,cs.alphastudio@the-ffw.com,,ITALY
textile,,,info@ama-brand.com,,ITALY
textile,,,economy@houseofamandachristensen.com,,SWEDEN
textile,,,customer.service@ambitious-brand.com,,PORTUGAL
textile,,,info@americanvintage-store.com,,FRANCE
textile,,,av@accentprojects.co,,GREECE
textile,,,info@sebastianandreu.com,,SPAIN
textile,,,shop@anerkjendt.com,,DENMARK
textile,,,hello@angelojakob.com,,SWITZERLAND
textile,,,info@ant45.com,,ITALY
textile,,,SUPPORT@ANTICACUOIERIA.IT,,ITALY
textile,,,info@antoniobarbuto.it,,ITALY
textile,,,online@aqua-alta.com,,ITALY
textile,,,cottoncompanysrl@gmail.com,,ITALY
textile,,,info@arcuricravatte.it,,ITALY
textile,,,service@aroshoes.com,,SPAIN
textile,,,info@articofashion.com,,ITALY
textile,,,info@walking.asics.com,,JAPAN
textile,,,info@astorflex.it,,ITALY
textile,,,info@atalasport.it,,ITALY
textile,,,info@atelierdifalco.com,,TURKEY
textile,,,athison@manifatturadomodossola.it,,ITALY
textile,,,shop@atlanticstars.it,,ITALY
textile,,,customercare@aurelien-online.com,,NETHERLANDS
textile,,,showroom.milano@liapull.it,,ITALY
textile,,,customerservice@bdbaggies.com,,U.S.A.
textile,,,info@babette-wasserman.com,,UNITED KINGDOM
textile,,,shopping@baldinini.it,,ITALY
textile,,,info@baracuta.com,,UNITED KINGDOM
textile,,,info@gemellidapolso.it,,ITALY
textile,,,customer.care@barbour.com,,UNITED KINGDOM
textile,,,info@barmas.net,,ITALY
textile,,,info@barracudashoes.it,,ITALY
textile,,,customercare@barrett.it,,ITALY
textile,,,info@beableconcept.it,,ITALY
textile,,,customerservice@bellwood.it,,ITALY
textile,,,info@belowten.se,,SWEDEN
textile,,,info@belts-parma.it,,ITALY
textile,,,belvestspa@legalmail.it,,ITALY
textile,,,customercare@bencibrothers.com,,SWITZERLAND
textile,,,enquiries@beormaleathercompany.co.uk,,UNITED KINGDOM
textile,,,shop@bepositive.it,,ITALY
textile,,,customercare@bernaitalia.it,,ITALY
textile,,,backoffice@berwich.com,,ITALY
textile,,,info@bhpoloclub.com,,U.S.A.
textile,,,info@bharnaba.it,,ITALY
textile,,,info@stagheaddesigns.com,,ITALY
textile,,,info@bianco.com,,DENMARK
textile,,,info@bigicravatte.it,,ITALY
textile,,,info@blkervintage.com,,ITALY
textile,,,u003einfo@blackislandfashion.com,,TURKEY
textile,,,info@blick.it,,GERMANY
textile,,,info@blue-industry.com,,NETHERLANDS
textile,,,customerservice@bluemint.com,,UNITED KINGDOM
textile,,,info@blundstone.it,,AUSTRALIA
textile,,,customercare@bobcompany.it,,ITALY
textile,,,boemos@boemos.it,,ITALY
textile,,,shop@boldriniselleria.it,,ITALY
textile,,,sav@bombers-original.com,,FRANCE
