Harvics Global Ventures — 30-Day Outbound Operating Plan,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
"Channels: LinkedIn Personal, Sales Navigator, Apollo | Verticals: Textile, FMCG, HR | Motions: Buyer + Supplier",,,,,,,,,,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
,,,,,,,,,,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Metric,Formula / Basis,Value,,Week,Country Focus,Vertical Focus,Buyer %,Supplier %,Daily Msgs,Daily Apollo,Primary Objective,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Campaign days,30 calendar days,,,Week 1,"Poland, UAE, Sweden, Saudi",FMCG + Textile,65%,35%,20,8–12,Build lists and launch first wave,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Outbound target per day,Fixed plan,20,,Week 2,"Romania, Oman, Qatar, Pakistan, Germany",Textile + FMCG + light HR,55%,45%,20,10–15,Expand geography and add supplier lane,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Total outbound target,600,600,,Week 3,Top responders + selective Africa,All 3 verticals,60%,40%,20,12–18,Qualification and conversion,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Buyer/Supplier base mix,60% / 40% overall,,,Week 4–5,Best 4 countries only,Top 2 verticals only,70%,30%,20,10–12,Meeting push and consolidation,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Week 1 buyer messages,14 per day × 7,98,,,,,,,,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Week 2 buyer messages,11 per day × 7,77,,Source Type,Source / Link,Why Used,,,,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Week 3 buyer messages,12 per day × 7,84,,LinkedIn Sales Navigator Pricing,https://business.linkedin.com/sell/sales-navigator/compare-plans,Current official plan/pricing assumptions and plan distinctions,,,,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Week 4 fresh+follow-up mix,10 fresh + 10 follow-up,,,Apollo Pricing,https://www.apollo.io/pricing,Current official Apollo credits/pricing and credit policy reference,,,,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Suggested Apollo enrich/day,8 to 15 depending on fit,,,LinkedIn Professional Community Policies,https://www.linkedin.com/legal/professional-community-policies,Used to keep plan compliant and non-spammy,,,,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Core countries,"Poland, Sweden, Romania, UAE, Saudi, Oman, Qatar, Germany, Pakistan",,,,,,,,,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
