Institution/Entity,Key Contact/Role,Region,Status,Next Action,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
Geneva School of Diplomacy (GSD),Dr. Athar Sultan-Khan (Dean),Switzerland,ACTIVE BREAKTHROUGH - Personal Reply,Send Brief to Direct Email,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Hertie School,Cornelia Woll (President),Germany,Invite Sent - May 4,Monitor for Acceptance,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
World Economic Forum (WEF),Sean Doherty (Head of Int. Trade),Switzerland,Target - Send Invite Now,Send specific GSD-linked Invite,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Khatib & Alami,Sean Doherty (Exec. Leadership),UAE/Dubai,Viewed Profile - UAE Node,Connect regarding Dubai/Gawadar,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
ACOLIV.COM / Czech Node,Pavel Fohler (MD),Czechia,Viewed Profile - Infrastructure Node,Connect regarding North-South Corridor,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
UN (Administrative Employee),Anonymous Viewer,Switzerland,Viewed Profile (47m ago),Maintain Professional Profile,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Grupo IFA / Condis,Procurement/Board,Spain,Pending Follow-up,Send 'Geneva Status' Update,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Port of Barcelona,Lluís Salvadó (President),Spain,Initial Contact,Sync with Geneva Node,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Chatham House,Policy Fellows,UK,Initial Outreach,Re-engage with Practitioner Brief,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Port of Gdańsk Authority,Management Board,Poland,Cold - Needs Pivot,Update with North-South logic,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Logistik-Initiative Hamburg,Management Board,Germany,Cold - Needs Pivot,Update with North-South logic,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
VSE Prague,Faculty of Int. Relations,Czechia,Warm - Needs Synchronization,Send Masterclass proposal,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
European University Institute,Academic Office,Italy,Initial Email Sent,Follow up with Geneva context,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
IE University (Executive Education),Executive Director,Spain,Email Sent,Follow up with Practitioner Residency,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Copenhagen Business School,Logistics Faculty,Denmark,Email Sent,Follow up,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Iese Business School,Supply Chain Faculty,Spain,Email Sent,Follow up,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
