Buisness name,Email,Facebook,Address,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status,company_name_scraped,phone_scraped,linkedin_company_url,score
Atlantic Paint & Flooring,paint@atlanticpf.ca,https://www.facebook.com/atlanticpaintltd,"Abbotsford, BC, Canada · Langley, BC, Canada · Port Moody, BC, Canada + 7",,,,,True,False,False,1,0,skip,,,,,,,partial,,,,1
Atlantis Paint,Dannyhoubenwork@gmail.com,https://www.facebook.com/olympuspaint,"Langley Byp, Langley, BC V3A, Canada, Langley, BC, Canada, V3A",,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Jody Paints It Up,jodystevens2@gmail.com,https://www.facebook.com/jodypaintsitup,"South Surrey, BC, Canada · Fort Langley, BC, Canada · Oregon + 7",,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Collins Brothers Painting Ltd.,collinsbrothers@shaw.ca,https://www.facebook.com/collinsbrotherspainting,"19294 78 Ave, Langley, BC, Canada, V4N 6C7",,,,,True,False,False,1,0,skip,,,,,,,partial,,,,1
Country Folk Art-Folk Art Paintings,folkartist@shaw.ca,https://www.facebook.com/profile.php?id=100057787984600,"12345 , Langley, BC, Canada, British Columbia",,,,,True,False,False,1,0,skip,,,,,,,partial,,,,1
Stylo Painting and Services LTD,stylopaintingltd@gmail.com,https://www.facebook.com/profile.php?id=100063850151917,"204 St., Langley, BC, Canada, V2Z 2B6",,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
Sam Painting & Renovations,senudinpainting@hotmail.com,https://www.facebook.com/profile.php?id=61550798176579,"122-5381 207 Street, Langley, BC, Canada, V3A2E7",,,,,False,False,False,0,0,skip,,,,,,,partial,,,,1
Master line painting,Acs_rob@hotmail.com,https://www.facebook.com/profile.php?id=100063441504983,"Langley, BC, Canada, British Columbia",,,,,False,False,False,0,0,skip,,,,,,,partial,,,,1
No Cap Painting,nocappainting6@gmail.com,https://www.facebook.com/profile.php?id=61582399705563,"223-8915 202 St, Langley, BC, Canada, British Columbia",,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
F And D Painting And Restoration,info@fanddpainting.com,https://www.facebook.com/fanddpainting,"9285 211 Street, Langley, BC, Canada, British Columbia",,,,,True,False,False,1,0,skip,,,,,,,partial,,,,1
