Europe,Unnamed: 1,Middle East,Unnamed: 3,North Africa,Unnamed: 5,West Africa,Unnamed: 7,East Africa,Unnamed: 9,Central Africa,Unnamed: 11,North America,Unnamed: 13,South America,Unnamed: 15,South-East Asia,Unnamed: 17,Central Asia,Unnamed: 19,South Asia,Unnamed: 21,East Asia,Unnamed: 23,enrichment_status,score
Positive,Negative,Positive,Negative,Positive,Negative,Positive,Negative,Positive,Negative,Positive,Negative,Positive,Negative,Positive,Negative,Positive,Negative,Positive,Negative,Positive,Negative,Positive,Negative,partial,0
Germany,Poland,UAE,Qatar,,Egypt,,Nigeria,,Kenya,,Cameroon,United States,Mexico,,Brazil,,Singapore,,Kazakhstan,,Sri Lanka,,China,partial,0
United Kingdom,Sweden,KSA,Kuwait,,Morocco,,Ghana,,Tanzania,,Democratic Republic of Congo,Canada,,,Argentina,,Malaysia,,Uzbekistan,,Nepal,,Japan,partial,0
Italy,Switzerland,,Oman,,Algeria,,Côte d’Ivoire,,Uganda,,Gabon,,,,Chile,,Thailand,,Turkmeensitan,,,,South Korea,partial,0
Spain,Farance,,Bahrain,,Tunissia,,Senegal,,Rwanda,,Republic of Cong,,,,Colombia,,Indonesia,,Kyrgyzstan,,,,Taiwan,partial,0
Netherlands,,,Jordan,,Libya,,Benin,,Ethiopia,,Equatorial Guinea,,,,Peru,,Vietnam,,Tajikistan,,,,Hong Kong,partial,0
Belgium,,,Turkey,,,,Togo,,South Sudan,,,,,,Ecuador,,Philippines,,,,,,,partial,0
,,,Iraq,,,,Guinea,,,,,,,,,,Cambodia,,,,,,,partial,0
,,,Lebanon,,,,,,,,,,,,,,Myanmar,,,,,,,partial,0
,,,Syria,,,,,,,,,,,,,,,,,,,,,partial,0
