Company,Category,Country,Stand,NEC Profile,Relevant,LinkedIn Search,Apollo Search,Contact Name,Contact Title,Contact Email,Contact LinkedIn,AI Message,Status,Notes,enrichment_status,score,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,description,phone,address,linkedin_url,industry
'grette,,,,,,https://www.linkedin.com/search/results/companies/?keywords='grette,https://app.apollo.io/#/companies?q_organization_name='grette,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
*Shopt,,,,,,https://www.linkedin.com/search/results/companies/?keywords=*Shopt,https://app.apollo.io/#/companies?q_organization_name=*Shopt,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
10 Squared & Pixel Inspiration,,,,,,https://www.linkedin.com/search/results/companies/?keywords=10%20Squared%20&%20Pixel%20Inspiration,https://app.apollo.io/#/companies?q_organization_name=10%20Squared%20&%20Pixel%20Inspiration,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
1180 Drinks,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=1180%20Drinks,https://app.apollo.io/#/companies?q_organization_name=1180%20Drinks,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
3DTRADING,,,,,,https://www.linkedin.com/search/results/companies/?keywords=3DTRADING,https://app.apollo.io/#/companies?q_organization_name=3DTRADING,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
3G PACKAGING,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=3G%20PACKAGING,https://app.apollo.io/#/companies?q_organization_name=3G%20PACKAGING,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
7ATE9,,,,,,https://www.linkedin.com/search/results/companies/?keywords=7ATE9,https://app.apollo.io/#/companies?q_organization_name=7ATE9,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
7UP,,,,,,https://www.linkedin.com/search/results/companies/?keywords=7UP,https://app.apollo.io/#/companies?q_organization_name=7UP,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
A&A Distribution Ltd,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=A&A%20Distribution%20Ltd,https://app.apollo.io/#/companies?q_organization_name=A&A%20Distribution%20Ltd,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
A.VOGEL UK & IRELAND LTD,,,,,,https://www.linkedin.com/search/results/companies/?keywords=A.VOGEL%20UK%20&%20IRELAND%20LTD,https://app.apollo.io/#/companies?q_organization_name=A.VOGEL%20UK%20&%20IRELAND%20LTD,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Aagrah Foods,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Aagrah%20Foods,https://app.apollo.io/#/companies?q_organization_name=Aagrah%20Foods,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AB World Foods,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=AB%20World%20Foods,https://app.apollo.io/#/companies?q_organization_name=AB%20World%20Foods,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Abbey Labels Ltd,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Abbey%20Labels%20Ltd,https://app.apollo.io/#/companies?q_organization_name=Abbey%20Labels%20Ltd,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Access Unleashed,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Access%20Unleashed,https://app.apollo.io/#/companies?q_organization_name=Access%20Unleashed,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ADI TV,,,,,,https://www.linkedin.com/search/results/companies/?keywords=ADI%20TV,https://app.apollo.io/#/companies?q_organization_name=ADI%20TV,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ADM Milling,,,,,,https://www.linkedin.com/search/results/companies/?keywords=ADM%20Milling,https://app.apollo.io/#/companies?q_organization_name=ADM%20Milling,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ADN Brand Partnership,,,,,,https://www.linkedin.com/search/results/companies/?keywords=ADN%20Brand%20Partnership,https://app.apollo.io/#/companies?q_organization_name=ADN%20Brand%20Partnership,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AgileChilli,,,,,,https://www.linkedin.com/search/results/companies/?keywords=AgileChilli,https://app.apollo.io/#/companies?q_organization_name=AgileChilli,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AHT UK,,,,,,https://www.linkedin.com/search/results/companies/?keywords=AHT%20UK,https://app.apollo.io/#/companies?q_organization_name=AHT%20UK,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Aklife Foods,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Aklife%20Foods,https://app.apollo.io/#/companies?q_organization_name=Aklife%20Foods,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
All Dressed Up,,,,,,https://www.linkedin.com/search/results/companies/?keywords=All%20Dressed%20Up,https://app.apollo.io/#/companies?q_organization_name=All%20Dressed%20Up,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Allied Drinks Systems,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Allied%20Drinks%20Systems,https://app.apollo.io/#/companies?q_organization_name=Allied%20Drinks%20Systems,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Alsop & Walker (Cheesemakers),,,,,,https://www.linkedin.com/search/results/companies/?keywords=Alsop%20&%20Walker%20(Cheesemakers),https://app.apollo.io/#/companies?q_organization_name=Alsop%20&%20Walker%20(Cheesemakers),,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Alzheimer's Society,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Alzheimer's%20Society,https://app.apollo.io/#/companies?q_organization_name=Alzheimer's%20Society,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
American Fizz,,,,,,https://www.linkedin.com/search/results/companies/?keywords=American%20Fizz,https://app.apollo.io/#/companies?q_organization_name=American%20Fizz,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Anglesey Foods,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Anglesey%20Foods,https://app.apollo.io/#/companies?q_organization_name=Anglesey%20Foods,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
