Route,Size_Bytes,Severity,Is_Redirect,Has_TODO,Has_Placeholder,Has_Heading,Status_Summary
[locale]/[vertical]/[category]/[item],2251,LOW,No,No,No,No,OK  
[locale]/[vertical]/[category],1887,LOW,No,No,No,No,OK  
[locale]/[vertical],645,LOW,No,No,No,No,OK  
[locale]/about/brand-story,8719,LOW,No,No,No,Yes,OK  
[locale]/about,1398,LOW,No,No,No,No,OK  
[locale]/admin/company-dashboard,774,LOW,Yes,No,No,No,OK  
[locale]/admin,447,CRITICAL,Yes,No,No,No,Empty  
[locale]/admin/portal/[persona]/crm,1674,LOW,No,No,No,No,OK  
[locale]/admin/portal/[persona],1663,LOW,No,No,No,No,OK  
[locale]/admin/portal,8116,LOW,No,No,No,Yes,OK  
[locale]/apps,513,CRITICAL,No,No,No,No,Empty  
[locale]/careers,5717,LOW,No,No,No,Yes,OK  
[locale]/checkout,5168,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/competitor/dashboard,5461,LOW,No,No,No,Yes,OK  
[locale]/competitor,449,CRITICAL,Yes,No,No,No,Empty  
[locale]/competitor/products,10123,LOW,No,No,No,Yes,OK  
[locale]/compliance,6301,LOW,No,No,No,Yes,OK  
[locale]/contact,1805,MEDIUM,No,No,Yes,No,OK   | Placeholder
[locale]/csr,12530,LOW,No,No,No,Yes,OK  
[locale]/dashboard/company,673,LOW,No,No,No,No,OK  
[locale]/dashboard/distributor/analytics,15588,LOW,No,No,No,Yes,OK  
[locale]/dashboard/distributor/checkout,19481,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/dashboard/distributor,235,CRITICAL,Yes,No,No,No,Empty  
[locale]/dashboard,445,CRITICAL,Yes,No,No,No,Empty  
[locale]/dashboard/supplier/analytics,10504,LOW,No,No,No,Yes,OK  
[locale]/dashboard/supplier/checkout,16902,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/dashboard/supplier,230,CRITICAL,Yes,No,No,No,Empty  
[locale]/distributor/dashboard,3904,LOW,No,No,No,Yes,OK  
[locale]/distributor/invoices,10097,LOW,No,No,No,Yes,OK  
[locale]/distributor/orders/[id],10899,LOW,No,No,No,Yes,OK  
[locale]/distributor/orders/new,13413,LOW,No,No,No,Yes,OK  
[locale]/distributor/orders,11932,LOW,No,No,No,Yes,OK  
[locale]/distributor/profile,11766,LOW,No,No,No,Yes,OK  
[locale]/distributor-portal/account/documents,6036,LOW,No,No,No,Yes,OK  
[locale]/distributor-portal/account,473,CRITICAL,Yes,No,No,No,Empty  
[locale]/distributor-portal/account/profile,8582,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/distributor-portal/account/users,6694,LOW,No,No,No,Yes,OK  
[locale]/distributor-portal/coverage/heatmap,3821,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/distributor-portal/coverage,479,CRITICAL,Yes,No,No,No,Empty  
[locale]/distributor-portal/coverage/request,7021,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/distributor-portal/coverage/territories,3425,LOW,No,No,No,Yes,OK  
[locale]/distributor-portal/market/competitors,6068,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/distributor-portal/market,471,CRITICAL,Yes,No,No,No,Empty  
[locale]/distributor-portal/market/sellout,3357,LOW,No,No,No,Yes,OK  
[locale]/distributor-portal/orders/history,6639,LOW,No,No,No,Yes,OK  
[locale]/distributor-portal/orders/invoices,6442,LOW,No,No,No,Yes,OK  
[locale]/distributor-portal/orders/new,9941,LOW,No,No,No,Yes,OK  
[locale]/distributor-portal/orders/new/review,6136,LOW,No,No,No,Yes,OK  
[locale]/distributor-portal/orders,471,CRITICAL,Yes,No,No,No,Empty  
[locale]/distributor-portal,1220,LOW,No,No,No,Yes,OK  
[locale]/distributor-portal/products/catalogue,5404,LOW,No,No,No,Yes,OK  
[locale]/distributor-portal/products,477,CRITICAL,Yes,No,No,No,Empty  
[locale]/distributor-portal/products/pricing,4856,LOW,No,No,No,Yes,OK  
[locale]/distributor-portal/products/promotions,3438,LOW,No,No,No,Yes,OK  
[locale]/distributor-portal/support/knowledge,5905,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/distributor-portal/support,473,CRITICAL,Yes,No,No,No,Empty  
[locale]/distributor-portal/support/tickets,7854,LOW,No,No,No,Yes,OK  
[locale]/faq,4727,LOW,No,No,No,Yes,OK  
[locale]/find-store,7993,LOW,No,No,No,Yes,OK  
[locale]/global-map,205,CRITICAL,No,No,No,No,Empty  
[locale]/harvics-house,2501,LOW,No,No,No,Yes,OK  
[locale]/harvictrade/category/[slug],16271,LOW,No,No,No,Yes,OK  
[locale]/harvictrade,16049,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/harvictrade/rfq,10691,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/harvictrade/sell,7692,LOW,No,No,No,Yes,OK  
[locale]/health,2034,LOW,No,No,No,Yes,OK  
[locale]/help/account,2226,LOW,No,No,No,Yes,OK  
[locale]/help/guides,3462,LOW,No,No,No,Yes,OK  
[locale]/help/orders,2215,LOW,No,No,No,Yes,OK  
[locale]/help,4658,LOW,No,No,No,Yes,OK  
[locale]/help/troubleshooting,3147,LOW,No,No,No,Yes,OK  
[locale]/history,6408,LOW,No,No,No,Yes,OK  
[locale]/investor-relations,24227,LOW,No,No,No,Yes,OK  
[locale]/investors/governance,6696,LOW,No,No,No,Yes,OK  
[locale]/investors,225,CRITICAL,Yes,No,No,No,Empty  
[locale]/investors/publications,5384,LOW,No,No,No,Yes,OK  
[locale]/investors/shares,5892,LOW,No,No,No,Yes,OK  
[locale]/kids,20185,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/leadership,4476,LOW,No,No,No,Yes,OK  
[locale]/locations,8239,LOW,No,No,No,Yes,OK  
[locale]/login/company,474,CRITICAL,Yes,No,No,No,Empty  
[locale]/login/distributor,478,CRITICAL,Yes,No,No,No,Empty  
