Name,enrichment_status,score
Public Policy,partial,0
Corporate Advisory,partial,0
AI-Enabled Commercial Strategy,partial,0
Complex Adaptive Systems Thinking,partial,0
Intelligent Systems Architecture,partial,0
First-Principles Strategy Design,partial,0
Abstract Systems Modeling,partial,0
Decision Science Under Uncertainty,partial,0
Incentive & Governance Engineering,partial,0
Long-Horizon Value Creation,partial,0
Global Business Development & Market Entry,partial,0
Strategic Leadership & Commercial Plannin,partial,0
International Supply Chain Strategy & Management,partial,0
Private Label & OEM Program Development,partial,0
"Textile Manufacturing, Sourcing & Compliance",partial,0
Multi-Country Sourcing,partial,0
International Trade Operations,partial,0
Textile Supply Chain Management,partial,0
Vendor Development & Onboarding,partial,0
Production Planning & Coordination,partial,0
Buyer Compliance Management,partial,0
Order Management (Exports),partial,0
Retail Specification Alignment,partial,0
Delivery & Lead-Time Management,partial,0
Supply Chain Coordination (Textiles),partial,0
Quality Assurance & Compliance (Textiles),partial,0
Textile Manufacturing & Sourcing,partial,0
Private Label & OEM Programs,partial,0
International Buyer Management,partial,0
Costing & Margin Management,partial,0
Import/Export Operations,partial,0
Private label development ,partial,0
International Supply Chain Management,partial,0
Category Management (Retail),partial,0
Food & Textile Manufacturing,partial,0
International Market Entry,partial,0
Early Stage Ventures,partial,0
Business Ownership,partial,0
Start-up Leadership,partial,0
Start-up Ventures,partial,0
Start-ups Management,partial,0
Food & Textile Manufacturing Operations,partial,0
International Business,partial,0
Product Development,partial,0
Business Strategy,partial,0
Negotiation,partial,0
Marketing Strategy,partial,0
International Sales,partial,0
Marketing Management,partial,0
Joint Ventures,partial,0
New Business Development,partial,0
Retail,partial,0
Business Planning,partial,0
Merchandising,partial,0
Sales Management,partial,0
Fashion,partial,0
Market Planning,partial,0
Apparel,partial,0
Sales,partial,0
International Trade,partial,0
politics,partial,0
Public Relations,partial,0
Foreign Policy,partial,0
Investment Strategies,partial,0
marke,partial,0
Public Safety,partial,0
Corporate Finance,partial,0
Peacemaking,partial,0
Multi-channel Retail,partial,0
Distribution Strategies,partial,0
Wholesale,partial,0
Strategic Planning,partial,0
Trend Analysis,partial,0
Business Development,partial,0
Management,partial,0
Strategy,partial,0
Textiles,partial,0
Brand Development,partial,0
Sourcing,partial,0
