Day,Category / Sub-Category,Images Required,Status,Remarks,enrichment_status,score
Monday,Sauces & Condiments,4,,,partial,0
Monday,Spices & Marinades,4,,,partial,0
Monday,Cooking Oils & Dressings,4,,,partial,0
Monday,Ready to Cook Items,4,,,partial,0
Monday,Pickles & Chutneys,4,,,partial,0
Tuesday,Biscuits & Cookies,4,,,partial,0
Tuesday,Cakes & Pastries,4,,,partial,0
Tuesday,Wafers & Wafer Bars,4,,,partial,0
Tuesday,Dry Cakes & Bakery Snacks,4,,,partial,0
Wednesday,Jellies,4,,,partial,0
Wednesday,Bubble Gum,4,,,partial,0
Wednesday,Sugar Candy,4,,,partial,0
Wednesday,Toffees,4,,,partial,0
Thursday,Non-Carbonated Drinks,4,,,partial,0
Thursday,Carbonated Drinks,4,,,partial,0
Thursday,Functional Drinks,4,,,partial,0
Thursday,Hot & Ready Drinks,4,,,partial,0
Thursday,Health Drinks,4,,,partial,0
Friday,Farfalle,4,,,partial,0
Friday,Fettuccine,4,,,partial,0
Friday,Bucatini,4,,,partial,0
Friday,Linguine,4,,,partial,0
Friday,Fusilli,4,,,partial,0
Friday,Savory Snacks,4,,,partial,0
Friday,Chips & Crisps,4,,,partial,0
Friday,Baked & Roasted Snacks,4,,,partial,0
Friday,Ready to Eat Bites,4,,,partial,0
Friday,Fusion Snacks,4,,,partial,0
Saturday,Frozen Vegetables,4,,,partial,0
Saturday,Frozen Meat,4,,,partial,0
Saturday,Chicken Nuggets,4,,,partial,0
Saturday,Fish Fillets,4,,,partial,0
Sunday,Review / Fixes,4,,,partial,0
