chamber_name,region,country,member_companies,sample_events_2025_2026,website,notes,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
Scandinavian-Polish Chamber of Commerce (SPCC),Scandinavia + Poland,Poland,400+,"Economic Outlook for Poland (Jun 10, 2026); Finnish Summer Picnic (Jun 13, 2026); Danish Constitution Day (Jun 13, 2026); Speed Business Mixer Wrocław (Jun 16, 2026); Bosman Brewery Visit Szczecin (Jun 16, 2026)",https://spcc.pl/en/events/calendar/,"Largest Nordic↔Poland chamber; events in Warsaw, Wrocław, Poznań, Łódź, Szczecin",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Swedish-Polish Chamber of Commerce (Svensk-Polska),Sweden + Poland,Sweden,150+,AGM (Apr 2026); Sweden-Poland trade missions; quarterly business breakfasts in Stockholm,https://svenskpolska.se/en/events-en/,Stockholm-based; promotes Swedish exports to Poland & CEE,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Norwegian-Polish Chamber of Commerce (NPCC),Scandinavia + Poland,Poland,100+,Quarterly Norway-Poland business forums; energy & FMCG sector roundtables,https://npcc.pl/,"Connects Norwegian companies with Polish/CEE FMCG, food & textile suppliers",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Danish-Polish Chamber of Commerce (DPCC),Scandinavia + Poland,Poland,120+,Annual gala; Danish-Polish business breakfasts; trade missions to Copenhagen,https://dpcc.pl/en/,"Active Denmark↔Poland chamber; food, packaging, FMCG focus",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Finnish-Polish Chamber of Commerce (FINPOL),Scandinavia + Poland,Poland,80+,Finnish business mixers; sector seminars; trade missions to Helsinki,https://finpol.pl/en/,Finland↔Poland trade promotion,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Polish-Hungarian Chamber of Commerce (PLHUCC),Eastern Europe (V4),Hungary / Poland,200+,Monthly business mixers; SIRHA Budapest 2026 briefings; expo briefings,https://www.plhucc.com/,Bridges PL↔HU markets; covers expos in both countries,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Polish-Czech Chamber of Commerce,Eastern Europe (V4),Czech Republic / Poland,150+,Annual PL-CZ business forum; trade missions to Prague & Warsaw,https://www.opolska.pl/,V4 cross-border trade focus,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Slovak-Polish Chamber of Commerce,Eastern Europe (V4),Slovakia / Poland,100+,"Sector days for food, FMCG & automotive",https://spioh.sk/,Slovakia↔Poland trade forum,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Romanian-Polish Bilateral Chamber,Eastern Europe,Romania / Poland,80+,Annual business forum; Indagra trade missions,https://ccir.ro/en/,Promotes RO↔PL trade in agri-food & FMCG,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Swedish Chamber of Commerce in Hungary,Scandinavia + Eastern Europe,Hungary,90+,Europe Day 2026 (Apr 29); monthly Stammtisch; Lucia gala (Dec),https://swedishchamber.hu/all-events/,Active in Budapest; coordinates with Nordic + EU chambers,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Nordic Chamber of Commerce in Czech Republic (NorCham),Scandinavia + Eastern Europe,Czech Republic,150+,Nordic-Czech business breakfasts; Lucia / Midsummer; trade missions,https://www.norcham.cz/,Joint Nordic chamber serving SE/DK/NO/FI in Czech market,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Nordic Chamber of Commerce in Romania (NCC Romania),Scandinavia + Eastern Europe,Romania,80+,"Annual Nordic Business Forum; sector seminars on FMCG, food & textile",https://nccromania.ro/,Joint Nordic chamber for Romanian market,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Latvian Chamber of Commerce & Industry (LCCI),Eastern Europe / Baltic,Latvia,"6,000+",Riga Food trade missions; Baltic Fashion Week briefings,https://www.chamber.lv/en/,Largest Baltic chamber; events around Riga Food and textile fairs,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Estonian Chamber of Commerce & Industry,Eastern Europe / Baltic,Estonia,"3,500+",Annual Estonian Industry Day; Tallinn Fashion Week briefings,https://www.koda.ee/en,Estonian B2B chamber serving Baltic region,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Lithuania Chamber of Commerce (Vilnius),Eastern Europe / Baltic,Lithuania,"2,000+",Litexpo trade-fair delegations; sector forums for food & textile,https://chambers.lt/en/,Hub for Lithuanian fairs at Litexpo Vilnius,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
