title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score
GÜVEN-AL Lebensmittel Großhandel,4.3,39.0,Josef-Eicher-Straße 10,Frankfurt am Main,,DE,https://guvenal.de/,+49 69 4365454,Wholesale grocer,Food manufacturer,Food products supplier,Grocery store,,,,,,,https://www.google.com/maps/search/?api=1&query=G%C3%9CVEN-AL%20Lebensmittel%20Gro%C3%9Fhandel&query_place_id=ChIJEfMkiysGvUcRkVU3Q1s6RUs,Wholesale grocer,haubtseite,,,,,,partial,1
Okle GmbH Wholesale Central,3.9,50.0,Hochwaldstraße 1-7,Singen,,DE,http://www.okle.de/,+49 7731 8290,Wholesale grocer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Okle%20GmbH%20Wholesale%20Central&query_place_id=ChIJTWi68rZimkcRG4pcdc1vcEk,Wholesale grocer,Okle GmbH Singen | Großhandel | Nahversorger,"Die Okle GmbH ist eine Lebensmittelgroßhandlung, mit Fokus auf dem regionalen Einzelhandel. Wir bieten alle Services rund um Ihren Markt.",7731 829,,,,partial,1
ALTUN Lebensmittel e.K.,4.7,84.0,Gaußstraße 7,Berlin,,DE,https://altun-lebensmittel.de/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15063414987751134022,+49 30 3951984,Wholesale food store,Import export company,,,,,,,,,https://www.google.com/maps/search/?api=1&query=ALTUN%20Lebensmittel%20e.K.&query_place_id=ChIJHX4MBFtRqEcRBcXjGGEUXHQ,Wholesale food store,"Altun Lebensmittelgroßmarkt | Großhandel | Gaußstraße 7, 10589 Berlin, Germany","Altun Lebensmittel e.K. ist ein Lebensmittelgroßhandel in Berlin. Wir führen in unserem Großmarkt qualitativ hochwertige Lebensmittel zu günstigen Preisen, die den Berliner Gastronomen eine hervorragende Gewinnspanne ermöglichen. Der Großmarkt befindet sich in der Gaußstr. 7 10589 Berlin.",030 395,,,,partial,1
Transfood Großhandel (Wholesale),4.4,46.0,Gothaer Str. 6,Ratingen,,DE,http://www.transfoodgrosshandel.com/,+49 211 4371890,Wholesale grocer,Wholesaler,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Transfood%20Gro%C3%9Fhandel%20(Wholesale)&query_place_id=ChIJm2TgHkfIuEcRg41X2eDM3ps,Wholesale grocer,,,,,,,partial,0
Bodan Großhandel für Naturkost GmbH,4.4,35.0,Zum Degenhardt 26,Überlingen,,DE,http://www.bodan.de/,+49 7551 94790,Wholesale grocer,Wholesaler,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bodan%20Gro%C3%9Fhandel%20f%C3%BCr%20Naturkost%20GmbH&query_place_id=ChIJJ9Qn-nBZmkcRbkhRrnQEI58,Wholesale grocer,Bodan GmbH,,,,https://www.linkedin.com/company/bodan-gro%C3%9Fhandel-f%C3%BCr-naturkost-gmbh/,,partial,1
Grossmarkt Stuttgart,4.3,857.0,Langwiesenweg 30,Stuttgart,,DE,http://www.grossmarkt-stuttgart.de/,+49 711 480410,Warehouse store,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Grossmarkt%20Stuttgart&query_place_id=ChIJRUXakPfEmUcRojnVCJ8faU0,Warehouse store,Home – Grossmarkt Stuttgart,Grossmarkt Stuttgart,400000,,,Grossmarkt Stuttgart,partial,1
MEGA,4.1,225.0,Schlachthofstraße 6,Stuttgart,,DE,http://www.mega-stuttgart.de/,+49 711 16840,Wholesale grocer,Wholesaler,,,,,,,,,https://www.google.com/maps/search/?api=1&query=MEGA&query_place_id=ChIJvyWhWeTEmUcRUBbx94CZBbk,Wholesale grocer,MEGA - Großhandel für die Metzgerei & Gastronomie,Die MEGA blickt auf eine lange Tradition zurück. Angefangen hat alles als Einkaufs- und Lieferungsgenossenschaft für das Metzgerhandwerk vor 80 Jahren.,,,https://www.linkedin.com/company/mega-das-fach-zentrum-f%C3%BCr-die-metzgerei-und-gastronomie-eg/,,partial,1
Foodservice Werner Ebert GmbH & Co. KG,4.8,57.0,Langwiesenweg 30,Stuttgart,,DE,https://www.werner-ebert.de/,+49 711 4804510,Wholesale grocer,Deli,Manufacturer,Produce market,Wholesaler,,,,,,https://www.google.com/maps/search/?api=1&query=Foodservice%20Werner%20Ebert%20GmbH%20%26%20Co.%20KG&query_place_id=ChIJ2b8uAFnEmUcRrNf5_FC66WI,Wholesale grocer,Großhandel Obst und Gemüse Stuttgart - Foodservice Werner Ebert Stuttgart,"Großhandel für Obst und Gemüse Werner Ebert: von Stuttgart bis an den Bodensee liefern wir täglich hochwertige Frische, Feinkost und Convenience. Jetzt bestellen!",49 711 4804,,,,partial,1
Ikram Lebensmittel Großhandel GmbH,4.4,33.0,Flottenstraße 24 c,Berlin,,DE,http://www.ikram-food.de/,+49 30 39885216,Wholesale grocer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Ikram%20Lebensmittel%20Gro%C3%9Fhandel%20GmbH&query_place_id=ChIJh8N3T7pTqEcRM3MzpGMBBqE,Wholesale grocer,Ikram Lebensmittel Grosshandel GmbH – Ikram Lebensmittel Grosshandel GmbH Berlin,,030 398,,https://www.linkedin.com/company/ikram-lebensmittel-gro%C3%9Fhandel-gmbh,,partial,1
Utz GmbH & Co.KG Lebensmittel-Großhandel,4.5,43.0,Kolpingstraße 40,Ochsenhausen,,DE,http://www.utz-lebensmittel.de/,+49 7352 92020,Wholesale grocer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Utz%20GmbH%20%26%20Co.KG%20Lebensmittel-Gro%C3%9Fhandel&query_place_id=ChIJKxEZZMrDm0cR4RGvXOLB4m0,Wholesale grocer,Utz Lebensmittel Großhandel,,07352 9202,,,,partial,1
