Event Name,Category,Date,Location,Organizer,Venue,Event URL,Source,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
Allied Health Conference,Other,August 2026,"Sydney, AU",,"Sydney, AU",https://conferenceindex.org/event/allied-health-conference-allicare-2026-august-sydney-au,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Pioneering Medical Futures Summit,Technology,August 2026,"Sydney, AU",,"Sydney, AU",https://conferenceindex.org/event/pioneering-medical-futures-summit-innoheal-2026-august-sydney-au,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Global Medical Intelligence Conference,Healthcare,August 2026,"Sydney, AU",,"Sydney, AU",https://conferenceindex.org/event/global-medical-intelligence-conference-medintel-2026-august-sydney-au,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Clinical Sciences Exchange,Healthcare,August 2026,"Sydney, AU",,"Sydney, AU",https://conferenceindex.org/event/clinical-sciences-exchange-clinscix-2026-august-sydney-au,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Physical Therapy Conference,Other,August 2026,"Sydney, AU",,"Sydney, AU",https://conferenceindex.org/event/physical-therapy-conference-movewell-2026-august-sydney-au,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Allergy Conference,Other,August 2026,"Sydney, AU",,"Sydney, AU",https://conferenceindex.org/event/allergy-conference-air-freedom-2026-august-sydney-au,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Pathology Conference,Other,August 2026,"Sydney, AU",,"Sydney, AU",https://conferenceindex.org/event/pathology-conference-lablink-2026-august-sydney-au,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Cataract Conference,Other,August 2026,"Sydney, AU",,"Sydney, AU",https://conferenceindex.org/event/cataract-conference-eye-summit-2026-august-sydney-au,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Critical Care Medicine Conference,Automotive,August 2026,"Sydney, AU",,"Sydney, AU",https://conferenceindex.org/event/critical-care-medicine-conference-life-support-2026-august-sydney-au,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"Plastic, Reconstructive and Aesthetic Surgery Conference",Other,August 2026,"Sydney, AU",,"Sydney, AU",https://conferenceindex.org/event/plastic-reconstructive-and-aesthetic-surgery-conference-restore-art-2026-august-sydney-au,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Intellectual Property Management and Technology Transfer,Technology,December 2026,"Strasbourg, FR",,"Strasbourg, FR",https://conferenceindex.org/event/international-conference-on-intellectual-property-management-and-technology-transfer-icipmatt-2026-december-strasbourg-fr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Intellectual Property Management and Technology Transfer,Technology,November 2026,"Toronto, CA",,"Toronto, CA",https://conferenceindex.org/event/international-conference-on-intellectual-property-management-and-technology-transfer-icipmatt-2026-november-toronto-ca,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Intellectual Property Management and Technology Transfer,Technology,September 2026,"Seoul, KR",,"Seoul, KR",https://conferenceindex.org/event/international-conference-on-intellectual-property-management-and-technology-transfer-icipmatt-2026-september-seoul-kr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
IEEE International Conference on Electronic Technology and Information Science,Technology,June 2026,"Guiyang, CN",,"Guiyang, CN",https://conferenceindex.org/event/ieee-international-conference-on-electronic-technology-and-information-science-icetis-2026-june-guiyang-cn,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Primary Health Care,Healthcare,November 2026,"Barcelona, ES",,"Barcelona, ES",https://conferenceindex.org/event/international-conference-on-primary-health-care-phc-2026-november-barcelona-es,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Congress on Innovative Chemistry,Other,April 2026,"Dubai, AE",,"Dubai, AE",https://conferenceindex.org/event/congress-on-innovative-chemistry-2026-april-dubai-ae,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Forum on Innovations in Nanotechnology (FIN),Technology,April 2026,"Dubai, AE",,"Dubai, AE",https://conferenceindex.org/event/forum-on-innovations-in-nanotechnology-fin-2026-april-dubai-ae,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Chemical, Biological & Environmental Sciences (I2C2BES)",Other,April 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-chemical-biological-environmental-sciences-i2c2bes-2026-april-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Green Technologies & Sustainable Engineering (IGTSE),Technology,April 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-green-technologies-sustainable-engineering-igtse-2026-april-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Mining, Water and Waste Management (IMWWM)",Other,April 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-mining-water-and-waste-management-imwwm-2026-april-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Research in Humanities, Social Sciences & Education (RHSSE)",Education,April 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-research-in-humanities-social-sciences-education-rhsse-2026-april-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"World Congress on Advances in Science, Engineering & Technology (WASET)",Technology,April 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/world-congress-on-advances-in-science-engineering-technology-waset-2026-april-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Congress on Animal, Fisheries & Veterinary Sciences (IAFVS)",Other,April 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-congress-on-animal-fisheries-veterinary-sciences-iafvs-2026-april-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Advances in Civil & Architectural Engineering (IACAE),Manufacturing,April 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-advances-in-civil-architectural-engineering-iacae-2026-april-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Multidisciplinary Educational Research, Teaching and Learning (ICMERTL)",Education,April 2026,"Milan, IT",,"Milan, IT",https://conferenceindex.org/event/international-conference-on-multidisciplinary-educational-research-teaching-and-learning-icmertl-2026-april-milan-it,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Recent Innovations in Engineering and Technology (ICRIET),Technology,April 2026,"Milan, IT",,"Milan, IT",https://conferenceindex.org/event/international-conference-on-recent-innovations-in-engineering-and-technology-icriet-2026-april-milan-it,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Advances in Electronics, Control and Computing Systems (AEC2S)",Other,April 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-advances-in-electronics-control-and-computing-systems-aec2s-2026-april-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Advances in Mechanical & Manufacturing Engineering (IAMME),Manufacturing,April 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-advances-in-mechanical-manufacturing-engineering-iamme-2026-april-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"World Conference on Genetics, Cellular and Molecular Biology (WGCMB)",Other,April 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/world-conference-on-genetics-cellular-and-molecular-biology-wgcmb-2026-april-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"World Congress on Disaster Management, Globalization & Sustainable Development (DMGSD)",Other,April 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/world-congress-on-disaster-management-globalization-sustainable-development-dmgsd-2026-april-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Pharma Partnering US Summit,Technology,April 2026,"San Diego, US",,"San Diego, US",https://conferenceindex.org/event/pharma-partnering-us-summit-2026-april-san-diego-us,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
BioPharma Clinical Trials Nexus (25TH CTN),Healthcare,April 2026,"Zurich, CH",,"Zurich, CH",https://conferenceindex.org/event/biopharma-clinical-trials-nexus-25th-ctn-2026-april-zurich-ch,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Humanities, Social Science and Business Management (ICHSSBM)",Other,April 2026,"Kuala Lumpur, MY",,"Kuala Lumpur, MY",https://conferenceindex.org/event/international-conference-on-humanities-social-science-and-business-management-ichssbm-2026-april-kuala-lumpur-my,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Big Data, IoT, Cyber Security and Information Technology (ICBDICSIT)",Technology,April 2026,"Kuala Lumpur, MY",,"Kuala Lumpur, MY",https://conferenceindex.org/event/international-conference-on-big-data-iot-cyber-security-and-information-technology-icbdicsit-2026-april-kuala-lumpur-my,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
