Company,Category,Booth
AGROBANK,GLOBAL PARTNER,2E528
AZTI,GLOBAL PARTNER,2E521
BASQUE FOOD CLUSTER,GLOBAL PARTNER,2E536
CNTA,GLOBAL PARTNER,2E509
FUNDACIÓ EURECAT,GLOBAL PARTNER,2E544
GOe TECH CENTER,GLOBAL PARTNER,2E533
IFR,GLOBAL PARTNER,2E545
LEITAT,GLOBAL PARTNER,2F617
PEPSICO,GLOBAL PARTNER,2E512
SIEMENS DIGITAL INDUSTRIES,GLOBAL PARTNER,2E529
TECNALIA,GLOBAL PARTNER,2C317
ACCENTURE,EVENT PARTNER,2C321
BIOMERIEUX,EVENT PARTNER,2E513
CEIN,EVENT PARTNER,2B237
GENERAL SERVEI,EVENT PARTNER,2F625
HAUSMANN,EVENT PARTNER,2E537
LA VEGA INNOVA,EVENT PARTNER,2B205
PROVEG INTERNATIONAL,EVENT PARTNER,CONGRESS
TASTECH BY SIGMA,EVENT PARTNER,CONGRESS
TECH TRANSFER AGRIFOOD,EVENT PARTNER,CONGRESS
AFLABOX,EXHIBITOR,2B221
AGR INTEGRAL ENGINEERING SOLUTIONS,EXHIBITOR,2G740
AGREENET,EXHIBITOR,2B221
AGRIFOODTEF,EXHIBITOR,2B205
AINWATER,EXHIBITOR,2C301
Alascom srl,EXHIBITOR,2G725
Allbiotech,EXHIBITOR,2B237
ALMA SERUM,EXHIBITOR,2B221
APLTA - USC,EXHIBITOR,2D402
ASTEASIER,EXHIBITOR,2B221
ATFIELD TECHNOLOGIES,EXHIBITOR,2C325
AURAVANT,EXHIBITOR,2B205
AYUNTAMIENTO DE BILBAO,EXHIBITOR,2E504
BASQUE FOOD LABORATORY (ESCUELA SUPERIOR DE HOSTELERÍA BILBAO),EXHIBITOR,2E504
BEAZ,EXHIBITOR,2E505
BEESAGE,EXHIBITOR,2C325
BGOURMET COZY TASTE,EXHIBITOR,2B237
BIBLION IBERICA,EXHIBITOR,2G721
BILBAO PORT,EXHIBITOR,2D412
BIO2COAT,EXHIBITOR,2B229
BIOMIXING SL,EXHIBITOR,2B229
BIOPLASTICS 4 HEALTH,EXHIBITOR,2B245
BOPLAN,EXHIBITOR,2G732
BRAINR,EXHIBITOR,2D440
CDTI E.P.E,EXHIBITOR,2B212
CENTRIC SOFTWARE,EXHIBITOR,2H828
CERTECH SPAIN,EXHIBITOR,2G709
CLUSTER FOOD+i,EXHIBITOR,2D432
COLAB4FOOD,EXHIBITOR,2C337
COLINI,EXHIBITOR,2H800
CUONCROP,EXHIBITOR,2B213
DEATS FOOD PLANNING,EXHIBITOR,2B213
"dishwill.Co.,Ltd",EXHIBITOR,2B213
ENPLATER,EXHIBITOR,2G717
EPIVENDING,EXHIBITOR,2G701
ErgoPack Deutschland GmbH,EXHIBITOR,2G720
EVEBOT,EXHIBITOR,2C345
FIBTRAY®,EXHIBITOR,2B205
FOODIMENTAL,EXHIBITOR,2B245
FOSS,EXHIBITOR,2D436
FUNDACION RESIDUO CERO - REX CATERING,EXHIBITOR,2C313
GAMPACK,EXHIBITOR,2G744
GEA,EXHIBITOR,2C333
Genbioma,EXHIBITOR,2B237
GIMME SABOR,EXHIBITOR,2B229
GOBIERNO VASCO,EXHIBITOR,2E520
GREENDUR,EXHIBITOR,2B237
GURETALDE,EXHIBITOR,2H812
HAND CRAFTED ANALYTICS,EXHIBITOR,2B237
HYPESOUND,EXHIBITOR,2B221
Imperia SCM,EXHIBITOR,2G713
INFOEDITA,EXHIBITOR,2H841
INGREDALIA,EXHIBITOR,2B229
INKA PALET,EXHIBITOR,2G729
INSPECTRA Powered by Inndeo,EXHIBITOR,2F641
IOVI,EXHIBITOR,2B229
JAPAN BOOTH,EXHIBITOR,2B213
JOWAT - JWT,EXHIBITOR,2G737
KAIRA,EXHIBITOR,2H815
KIMATIC,EXHIBITOR,2G712
LABRE GANDO,EXHIBITOR,2B205
LABWARE,EXHIBITOR,2D404
