Company,Contact,Email,Phone,City,Country,Score,Stage,Source,Tags
"Mlekovita","Dariusz Sapiński","sekretariat@mlekovita.com.pl","+48 86 275 82 00","Wysokie Mazowieckie","Poland",80,"prospect","curated","FMCG; Eastern Europe; Poland; Curated Import"
"Colian Holding","Jan Kolański","","+48 62 590 33 00","Opatówek","Poland",80,"prospect","curated","FMCG; Eastern Europe; Poland; Curated Import"
"Grupa Maspex","Krzysztof Pawiński","_iod@maspex.com","+48 33 870 84 96","Wadowice","Poland",80,"prospect","curated","FMCG; Eastern Europe; Poland; Curated Import"
"Madeta","Milan Teplý","madeta@madeta.cz","+420 387 736 111","České Budějovice","Czech Republic",80,"prospect","curated","FMCG; Eastern Europe; Czech Republic; Curated Import"
"Bakalland","Marek Moczulski","john.doe@bakalland.pl","+48 22 355 22 00","Warsaw","Poland",80,"prospect","curated","FMCG; Eastern Europe; Poland; Curated Import"
"Hortex","Tomasz Kurpisz","iod@hortex.pl","+48 22 572 10 00","Warsaw","Poland",80,"prospect","curated","FMCG; Eastern Europe; Poland; Curated Import"
"Makro Cash & Carry Polska","Unknown","biuro.online@makro.pl","+48 22 576 15 00","Warsaw","Poland",70,"prospect","curated","FMCG; Eastern Europe; Poland; Curated Import"
"Zwack Unicum","Unknown","webshop@zwackunicum.hu","+36 1 476 2200","Budapest","Hungary",70,"prospect","curated","FMCG; Eastern Europe; Hungary; Curated Import"
"Farmi Piimatööstus","Unknown","piim@farmi.ee","+372 332 1404","Jõhvi","Estonia",70,"prospect","curated","FMCG; Eastern Europe; Estonia; Curated Import"
"Olma","Unknown","","+420 585 103 313","Olomouc","Czech Republic",70,"prospect","curated","FMCG; Eastern Europe; Czech Republic; Curated Import"
"Pick Szeged","Unknown","pickinfo@pickhandball.hu","+36 62 567 000","Szeged","Hungary",70,"prospect","curated","FMCG; Eastern Europe; Hungary; Curated Import"
"Devin AD","Unknown","office@devin-bg.com","+359 700 177 07","Devin","Bulgaria",70,"prospect","curated","FMCG; Eastern Europe; Bulgaria; Curated Import"
"Hamé","Unknown","hame@hame.hu","+420 572 534 111","Kunovice","Czech Republic",70,"prospect","curated","FMCG; Eastern Europe; Czech Republic; Curated Import"
"CBA Kereskedelmi Kft","Unknown","ertekesites@cba.hu","+36 1 299 8000","Budapest","Hungary",70,"prospect","curated","FMCG; Eastern Europe; Hungary; Curated Import"
"Metro Cash & Carry Bulgaria","Unknown","jane.doe@metro.bg","+359 700 10 071","Sofia","Bulgaria",70,"prospect","curated","FMCG; Eastern Europe; Bulgaria; Curated Import"
"Graal SA","Unknown","biuro@graalgroup.com.pl","+48 58 677 58 20","Wejherowo","Poland",70,"prospect","curated","FMCG; Eastern Europe; Poland; Curated Import"
"Orbico Bulgaria","Unknown","info@orbico.com","+385 1 6170 556","Sofia","Bulgaria",70,"prospect","curated","FMCG; Eastern Europe; Bulgaria; Curated Import"
