Company,Contact,Email,Phone,City,Country,Score,Stage,Source,Tags
"Al Madina General Trading LLC","","","+971-4-1234567","Dubai","UAE",85,"qualified","google-places","beverages; snacks; confectionery; horeca"
"Bright Master General Trading LLC","","","","Dubai","UAE",68,"qualified","apollo","food; beverages; trading; fmcg; wholesale; import-export; logistics; retail"
"ALPONA TEXTILE(UK) LIMITED","","","","","United Kingdom",52,"new","lead-engine","uk; company-registry"
"PK FOODS &amp; BEVERAGES WHOLESALERS LTD","","","","","",45,"","","uk; company-registry"
"DOT TRANSPORT AND LOGISTICS LTD","","","","","",45,"","","uk; company-registry"
"ALEX WHITE RACING (UAE) LTD","","","","","",45,"","","uk; company-registry"
"ALPHA CONSULT UAE LIMITED","","","","","",45,"","","uk; company-registry"
"AMBER PROPERTIES UAE LTD","","","","","",45,"","","uk; company-registry"
"AMES UAE GROUP HOLDINGS LTD","","","","","",45,"","","uk; company-registry"
"AOG ALLIANCE (UAE) LIMITED","","","","","",45,"","","uk; company-registry"
"AT&amp;T GROUP (UAE) LTD","","","","","",45,"","","uk; company-registry"
"A2Z SOLUTIONS UK UAE LTD","","","","","",45,"","","uk; company-registry"
"BRYANT UAE LTD","","","","","",45,"","","uk; company-registry"
"BT UAE LIMITED","","","","","",45,"","","uk; company-registry"
"CAPITAL RADIO UAE LIMITED","","","","","",45,"","","uk; company-registry"
"CARNIVAL ESTATE UAE LTD","","","","","",45,"","","uk; company-registry"
"CMS (UAE) LLP","","","","","",45,"","","uk; company-registry"
"BEVERAGE | English meaning","","","","","",45,"","",""
"Baumüller","","info@baumueller.com","2023-06-20 13","","Germany",45,"new","lead-finder",""
"HubSpot","","customer-agent-en@2x.png","0.4705882353","","United States",45,"new","lead-finder",""
"Citect","","","","","",40,"","",""
"Balluff","","","","","",40,"","",""
"Invensys","","","","","",40,"","",""
"ABB Stotz-Kontakt","","","","","",40,"","",""
"Zolmi","","","","","",40,"","",""
"IDEC Corporation","","","","","",40,"","",""
"KEBA","","","","","",40,"","",""
"Fastems Oy Ab","","","","","",40,"","",""
"Rework Digital","","","","","",40,"","",""
"Salesforce","","","","","",40,"","",""
"Aventi Technology","","","","","",40,"","",""
"Universal Robotics","","","1.42857143","","",40,"new","lead-finder",""
"Roberto Hidalgo","Roberto","partial","0","Barcelona","Catalonia",39,"prospect","imported",""
"Iván Jiménez","Iván","partial","0","Barcelona","Catalonia",39,"prospect","imported",""
"Fernando O.","Fernando","partial","0","Barcelona","Catalonia",39,"prospect","imported",""
"Mariela Cartas","Mariela","partial","0","Valencia","Valencian Community",39,"prospect","imported",""
"Fernando Rodriguez Cortina","Fernando","partial","0","Barcelona","Catalonia",39,"prospect","imported",""
"jie liu","jie","partial","0","Barcelona","Catalonia",39,"prospect","imported",""
"Ivanichka Sander","Ivanichka","0","","Retail","Spain",34,"prospect","imported",""
"New Label Poland","","","","Warsaw","Poland",33,"prospect","imported",""
"Marca Poland (by BolognaFiere)","","","","Warsaw","Poland",33,"prospect","imported",""
"Warsaw Pack","","","","Warsaw","Poland",33,"prospect","imported",""
"BIOEXPO Warsaw","","","","Warsaw","Poland",33,"prospect","imported",""
"Viviana Toscano","Viviana","partial","0","Barcelona","Catalonia",33,"prospect","imported",""
"EMID IGT LLC","","","","Dubai","United Arab Emirates",33,"prospect","imported",""
"Ste Industrielle Marocaine Dentreprise Chimiques","","","","Casablanca","Morocco",33,"prospect","imported",""
"Retail Summit Prague","","","","Prague","Czech Republic",29,"prospect","imported",""
