Contact,Title,Company,Country,Email,Email Type,Phone,WhatsApp,LinkedIn Profile,Company LinkedIn,Website,Event,Pavilion,Product,Score,Status,HQ,Revenue,Notes
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/clinical-sciences-exchange-clinscix-2026-august-sydney-au,Clinical Sciences Exchange,Organizer,,90,Hot,,,"Clinical Sciences Exchange scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/allergy-conference-air-freedom-2026-august-sydney-au,Allergy Conference,Organizer,,90,Hot,,,"Allergy Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might wa | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,"World Academy of Science, Engineering and Technology",FR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-intellectual-property-management-and-technology-transfer-icipmatt-2026-december-strasbourg-fr,International Conference on Intellectual Property Management and Technology Transfer,Organizer,"onference on Intellectual Property Management and Technology Transfer ICIPMATT on December 16-17, 2026 in Strasbourg, France - Conference Index Conference Index Submit Yo",90,Hot,,,"International Conference on Intellectual Property Management and Technology Transfer scheduled on December 16-17, 2026 at Strasbourg, France is for the researchers, scientists, scholars, engineers, academic, scientific a | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/allied-health-conference-allicare-2026-august-sydney-au,Allied Health Conference,Organizer,,90,Hot,,,"Allied Health Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that mi | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/global-medical-intelligence-conference-medintel-2026-august-sydney-au,Global Medical Intelligence Conference,Organizer,,90,Hot,,,"Global Medical Intelligence Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research acti | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/pioneering-medical-futures-summit-innoheal-2026-august-sydney-au,Pioneering Medical Futures Summit,Organizer,,90,Hot,,,"Pioneering Medical Futures Summit scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activitie | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/cataract-conference-eye-summit-2026-august-sydney-au,Cataract Conference,Organizer,,90,Hot,,,"Cataract Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might w | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,"Guizhou Normal University, China",CN,info@conferenceindex.org,Generic,979-8-3195-1733-3),979-8-3195-1733-3),,,https://conferenceindex.org/event/ieee-international-conference-on-electronic-technology-and-information-science-icetis-2026-june-guiyang-cn,IEEE International Conference on Electronic Technology and Information Science,Organizer,ectromagnetics Compound Semiconductor Physics and Devices Device Electronics for I.C Electronics System-Level Based Design Electronics & Nano Electronics Electronics-Medi,100,Hot,,,"IEEE International Conference on Electronic Technology and Information Science scheduled on June 26-28, 2026 at Guiyang, China is for the researchers, scientists, scholars, engineers, academic, scientific and university | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/pathology-conference-lablink-2026-august-sydney-au,Pathology Conference,Organizer,: haematopathology cancer education cancer health services cancer cytopathology microbial biotechnology antimicrobial microbial microorganisms biosecurity cytopathology h,90,Hot,,,"Pathology Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,"World Academy of Science, Engineering and Technology",KR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-intellectual-property-management-and-technology-transfer-icipmatt-2026-september-seoul-kr,International Conference on Intellectual Property Management and Technology Transfer,Organizer,"onference on Intellectual Property Management and Technology Transfer ICIPMATT on September 16-17, 2026 in Seoul, Republic of Korea - Conference Index Conference Index Su",90,Hot,,,"International Conference on Intellectual Property Management and Technology Transfer scheduled on September 16-17, 2026 at Seoul, Republic of Korea is for the researchers, scientists, scholars, engineers, academic, scien | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/physical-therapy-conference-movewell-2026-august-sydney-au,Physical Therapy Conference,Organizer,,90,Hot,,,"Physical Therapy Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
