Contact,Title,Company,Country,Email,Email Type,Phone,WhatsApp,LinkedIn Profile,Company LinkedIn,Website,Event,Pavilion,Product,Score,Status,HQ,Revenue,Notes,Fair,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/clinical-sciences-exchange-clinscix-2026-august-sydney-au,Clinical Sciences Exchange,Organizer,,90,Hot,,,"Clinical Sciences Exchange scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"Clinical Sciences Exchange ClinSciX on August 27, 2026 in Sydney, Australia - Conference Index","Clinical Sciences Exchange scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"Location:  Sydney, Australia",,"Oncology, Nursing, Nuclear Medicine, Nephrology, Infectious Diseases, Immunology, Occupational Medicine, Hematology, Laboratory Medicine, Geriatrics, Veterinary Medicine, Emergency Medicine, Ophthalmology, Dermatology, Orthopedics, Dentistry, Gynecology, Cardiology, Pediatrics, Gastroenterology, Family Medicine, Pulmonology, Urology, Pharmacy, Medical, Dental, Health, Internal Medicine, Healthcare, Public Health, Microbiology, Epidemiology, Surgery, Forensic Medicine, Medicine, Anesthesia, Psychiatry, Sports Medicine, Pathology, Radiology, Neurology, Rehabilitation Medicine, Obstetrics, Anesthesiology, Endocrinology",partial
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/allergy-conference-air-freedom-2026-august-sydney-au,Allergy Conference,Organizer,,90,Hot,,,"Allergy Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might wa | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"Allergy Conference AIR FREEDOM on August 27, 2026 in Sydney, Australia - Conference Index","Allergy Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"Location:  Sydney, Australia",,"Immunopharmacology, Immunotherapies, Immunobiology, Allergology, Psychoneuroimmunology, Immunotherapeutics, Primary Immunodeficiency, Immunogenetics, Innate Immunity, Developmental Immunology, Comparative Immunology, Mucosal Immunology, Immunoreceptors, Cancer Immunometabolism, Cancer Immunology, Immunometabolism, Immunogenicity, Immunity, Viral Immunology, Immunopathology, Immuno-oncology, Cancer Immunotherapy, Neuroimmunology, Immunodermatology, Gastrointestinal Immunology, Immuno Oncology, Autoimmunity, Immunotherapy, Molecular Immunology, Immunoglobulins, Asthma Medicine, Asthma, Allergy, Immunization, Adjuvants in Immunology, Food Allergy, Immune System, Cellular Immunology, Clinical Immunology, Immunotoxicology, Veterinary Immunology, Immunology, Neuroimmunomodulation, Immunology of Autism Disorder, Allergic Diseases, Otolaryngic Allergy, Agricultural Immunology, Immuno-toxicology, Asthma Clinical Immunology, Immunohistochemistry",partial
,,"World Academy of Science, Engineering and Technology",FR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-intellectual-property-management-and-technology-transfer-icipmatt-2026-december-strasbourg-fr,International Conference on Intellectual Property Management and Technology Transfer,Organizer,"onference on Intellectual Property Management and Technology Transfer ICIPMATT on December 16-17, 2026 in Strasbourg, France - Conference Index Conference Index Submit Yo",90,Hot,,,"International Conference on Intellectual Property Management and Technology Transfer scheduled on December 16-17, 2026 at Strasbourg, France is for the researchers, scientists, scholars, engineers, academic, scientific a | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"International Conference on Intellectual Property Management and Technology Transfer ICIPMATT on December 16-17, 2026 in Strasbourg, France - Conference Index","International Conference on Intellectual Property Management and Technology Transfer scheduled on December 16-17, 2026 at Strasbourg, France is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,Contact URL:  https://waset.org,,"Constraints, Physical Distribution, Business Logistics, Engineering Procurement",partial
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/allied-health-conference-allicare-2026-august-sydney-au,Allied Health Conference,Organizer,,90,Hot,,,"Allied Health Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that mi | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"Allied Health Conference AlliCare on August 27, 2026 in Sydney, Australia - Conference Index","Allied Health Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"Location:  Sydney, Australia",,"Cardiology, Dentistry, Dermatology, Forensic Medicine, Anesthesia, Sports Medicine, Radiology, Neurology, Rehabilitation Medicine, Obstetrics, Anesthesiology, Endocrinology, Occupational Medicine, Laboratory Medicine, Veterinary Medicine, Ophthalmology, Orthopedics, Gynecology, Pediatrics, Gastroenterology, Family Medicine, Pulmonology, Urology, Pharmacy, Medical, Dental, Health, Internal Medicine, Healthcare, Public Health, Microbiology, Epidemiology, Surgery, Medicine, Psychiatry, Pathology, Oncology, Nursing, Nuclear Medicine, Nephrology, Infectious Diseases, Immunology, Hematology, Geriatrics, Emergency Medicine",partial
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/global-medical-intelligence-conference-medintel-2026-august-sydney-au,Global Medical Intelligence Conference,Organizer,,90,Hot,,,"Global Medical Intelligence Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research acti | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"Global Medical Intelligence Conference MedIntel on August 27, 2026 in Sydney, Australia - Conference Index","Global Medical Intelligence Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"Location:  Sydney, Australia",,"Medicine, Psychiatry, Pathology, Oncology, Nursing, Nuclear Medicine, Nephrology, Infectious Diseases, Immunology, Hematology, Geriatrics, Emergency Medicine, Dermatology, Dentistry, Forensic Medicine, Anesthesia, Sports Medicine, Cardiology, Radiology, Neurology, Rehabilitation Medicine, Obstetrics, Anesthesiology, Endocrinology, Occupational Medicine, Laboratory Medicine, Veterinary Medicine, Ophthalmology, Orthopedics, Gynecology, Pediatrics, Gastroenterology, Family Medicine, Pulmonology, Urology, Pharmacy, Medical, Dental, Health, Internal Medicine, Healthcare, Public Health, Microbiology, Epidemiology, Surgery",partial
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/pioneering-medical-futures-summit-innoheal-2026-august-sydney-au,Pioneering Medical Futures Summit,Organizer,,90,Hot,,,"Pioneering Medical Futures Summit scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activitie | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"Pioneering Medical Futures Summit INNOHEAL on August 27, 2026 in Sydney, Australia - Conference Index","Pioneering Medical Futures Summit scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"Location:  Sydney, Australia",,"Radiology, Microbiology, Neurology, Epidemiology, Rehabilitation Medicine, Surgery, Obstetrics, Medicine, Anesthesiology, Psychiatry, Endocrinology, Pathology, Occupational Medicine, Oncology, Laboratory Medicine, Nursing, Veterinary Medicine, Nuclear Medicine, Nephrology, Infectious Diseases, Sports Medicine, Immunology, Anesthesia, Hematology, Forensic Medicine, Geriatrics, Emergency Medicine, Dermatology, Dentistry, Cardiology, Ophthalmology, Orthopedics, Gynecology, Pediatrics, Gastroenterology, Family Medicine, Pulmonology, Urology, Pharmacy, Medical, Dental, Health, Internal Medicine, Healthcare, Public Health",partial
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/cataract-conference-eye-summit-2026-august-sydney-au,Cataract Conference,Organizer,,90,Hot,,,"Cataract Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might w | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"Cataract Conference EYE SUMMIT on August 27, 2026 in Sydney, Australia - Conference Index","Cataract Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"Location:  Sydney, Australia",,"Neurosurgery, Brain Surgery, Pediatric Surgery, Ultrasound in Medicine, Cardiovascular Surgery, 4d Ultrasound, Pediatric Ultrasound, Diagnostic Ultrasound, Colorectal Surgery, Refractive Surgery, Ophthalmology Glaucoma, Radiosurgery, Rectal Surgery, Point-of-care Ultrasound (pocus), Urology Surgery, Anti Aging Medicine, Vision Science, Ophthalmology Retina, Laparoscopic Surgery, Cardio-Thoracic Surgery, Oculoplastic Surgery, Cardiothoracic Surgery, Vascular Ultrasound, Cosmetic Breast Surgery, Trauma And Emergency Surgery, Laparoscopic Gynecological Surgery, Minimally Invasive Gynecological Surgery, Gynecological Surgery, Dental Surgery, Healthy Aging, Thoracic Imaging, Foot and Ankle Surgery, Oral and Maxillofacial Surgery, Pediatric Ophthalmology, Neuro-Ophthalmology, Obesity Surgery, Cataract, Burn Surgery, Clinical Ophthalmology, Transplant Surgery, Maxillofacial Surgery, Aesthetic Surgery, Plastic Surgery, Ophthalmology, Cardiac Surgery, Breast Imaging, Bariatric Surgery, Gender Surgery, Aging Diseases, Aging Population, Surgery, Cosmetic Surgery, Sex and Aging Adults, Orthoplastic Surgery, Ophthalmic Anesthesia, Enhanced Recovery After Surgery (Eras), Colon Surgery, Visceral Surgery, Gastrointestinal Surgery Nursing, Abdominal Imaging, Hand Surgery, Facial Plastic Surgery, Dermatologic Surgery, Ent Surgery, Orthopaedic Surgery, Neurological Surgery, Head and Neck Surgery, Age and Aging Issues, Abdominal Ultrasound, Neonatal Ultrasound, Gynecologic Ultrasound, Obstetric Ultrasound, Gynecologic Oncology Surgery, Elbow Surgery, Shoulder Surgery, Musculoskeletal Ultrasound, Congenital Cardiac Surgery",partial
,,"Guizhou Normal University, China",CN,info@conferenceindex.org,Generic,979-8-3195-1733-3),979-8-3195-1733-3),,,https://conferenceindex.org/event/ieee-international-conference-on-electronic-technology-and-information-science-icetis-2026-june-guiyang-cn,IEEE International Conference on Electronic Technology and Information Science,Organizer,ectromagnetics Compound Semiconductor Physics and Devices Device Electronics for I.C Electronics System-Level Based Design Electronics & Nano Electronics Electronics-Medi,100,Hot,,,"IEEE International Conference on Electronic Technology and Information Science scheduled on June 26-28, 2026 at Guiyang, China is for the researchers, scientists, scholars, engineers, academic, scientific and university | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"IEEE International Conference on Electronic Technology and Information Science ICETIS on June 26-28, 2026 in Guiyang, China - Conference Index","IEEE International Conference on Electronic Technology and Information Science scheduled on June 26-28, 2026 at Guiyang, China is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",3195-1733,Contact E-mail:  [email protected],,"Information Systems, Artificial Intelligence, Computer Engineering, Information Science, Electronics",partial
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/pathology-conference-lablink-2026-august-sydney-au,Pathology Conference,Organizer,: haematopathology cancer education cancer health services cancer cytopathology microbial biotechnology antimicrobial microbial microorganisms biosecurity cytopathology h,90,Hot,,,"Pathology Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"Pathology Conference LABLINK on August 27, 2026 in Sydney, Australia - Conference Index","Pathology Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"Location:  Sydney, Australia",,"Haematopathology, Cancer Education, Cancer Health Services, Cancer Cytopathology, Microbial Biotechnology, Antimicrobial, Microbial, Microorganisms, Biosecurity, Cytopathology, Hematopathology, Experimental Pathology, Fish Pathology, Psychological Research, Fungal Pathogens, Fungal Biotechnology, Food Mycology, Microbiology, Pathology, Breast Pathology, Autopsy Pathology, Anatomical Pathology, Forensic Pathology, Urinary Tract Pathology, Surgical Pathology, Pediatric Pathology, Immunopathology, Head and Neck Pathology, Pathology Informatics, Oral and Maxillofacial Pathology, Fungal Quantification, Toxicologic Pathology, Phytopathology, Head and Neck Cancer, Colorectal Cancer, Anatomic Pathology, Prostate Cancer, Hematologic Malignancies, Breast Cancer Research, Cancer Clinical Trials, Cancer Survivorship, Cancer Health Disparities, Cancer Health Economics, Cancer Diagnosis, Myeloma Research, Lymphoma Research, Cancer Rehabilitation, Genitourinary Cancer, Probiotics, Renal Cancer Research, Leukemia Research, Psychopathology, Biofilm, Histopathology, Chemical Pathology, Speech Language Pathology, Cervical Cancer, Biosafety, Dermatopathology, Microbial Physiology, Molecular Pathology, Clinical Pathology, Clinical Research, Plant Pathology, Veterinary Pathology, Breast Cancer, Oral Pathology, Neuropathology, Liver Cancer Studies, Lung Cancer Research, Prostate Cancer Studies, Carcinoid Tumors, Thyroid Cancer Studies, Esophageal Cancer Studies, Ovarian Cancer Research, Skin Cancer Studies, Midwifery Research, Speech Pathology, Comparative Pathology, Breast Pathology Radiosurgery, Breast Cancer Prevention, Gastrointestinal Cancers, Diagnostic Radiology, Invertebrate Pathology, Avian Pathology, Cancer Policy, Cancer Awareness, Diagnostic Dermoscopy, Diagnostic Pathology, Modern Pathology, Paleopathology, Cellular Pathology, Diagnostic Medical Physics, Diagnostic Ultrasound, Radiodiagnostics, Cancer Radiotherapy, Cancer Care, Childhood Cancer, International Cancer Conference",partial
,,"World Academy of Science, Engineering and Technology",KR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-intellectual-property-management-and-technology-transfer-icipmatt-2026-september-seoul-kr,International Conference on Intellectual Property Management and Technology Transfer,Organizer,"onference on Intellectual Property Management and Technology Transfer ICIPMATT on September 16-17, 2026 in Seoul, Republic of Korea - Conference Index Conference Index Su",90,Hot,,,"International Conference on Intellectual Property Management and Technology Transfer scheduled on September 16-17, 2026 at Seoul, Republic of Korea is for the researchers, scientists, scholars, engineers, academic, scien | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"International Conference on Intellectual Property Management and Technology Transfer ICIPMATT on September 16-17, 2026 in Seoul, Republic of Korea - Conference Index","International Conference on Intellectual Property Management and Technology Transfer scheduled on September 16-17, 2026 at Seoul, Republic of Korea is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"Location:  Seoul, Republic of Korea",,"Constraints, Physical Distribution, Business Logistics, Engineering Procurement",partial
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/physical-therapy-conference-movewell-2026-august-sydney-au,Physical Therapy Conference,Organizer,,90,Hot,,,"Physical Therapy Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"Physical Therapy Conference MOVEWELL on August 27, 2026 in Sydney, Australia - Conference Index","Physical Therapy Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"Location:  Sydney, Australia",,"Cancer Rehabilitation, Labor Pain Management, Pediatric Urology, Pediatric Diabetes, Hormone Therapy, Dentofacial Orthopedics, Healthcare and Telemedicine, Healthcare, Rehabilitation, Sports Physiotherapy, Back Rehabilitation, Primary Healthcare, Healthcare Simulation, Physical Medicine Rehabilitation, Geriatrics, Physical Rehabilitation, Clinical Orthopaedics, Cardiopulmonary Rehabilitation, Patient Experience, Tropical Pediatrics, Musculoskeletal Rehabilitation, Pediatric Otorhinolaryngology, Clinical Pediatrics, Pediatric Anesthesiology, Healthcare Training, Pediatric Medicine, Physical Therapy, Patient Care, Pediatric Surgery, Healthcare Compliance, Pediatric Hepatology, Pediatric Hematology, Alternative Healthcare, Orthopedics, Pediatrics, Patient Safety, Pain Management, Palliative Care, Physiotherapy, Therapy, Healthcare Industry, Occupational Therapy, Hospitalized Patient, Physical Health, Clinical Neurology, Paediatric Neurology, Pediatric Dentistry, Musculoskeletal Radiology, Pain Therapy, Chronic Pain Management, Musculoskeletal Ultrasound, Healthcare Providers, Pediatric Oncology, Pediatric Dermatology, Developmental Neurorehabilitation, Neuromuscular Medicine, Healthcare Policy, Reproductive Healthcare, Child Abuse Pediatrics, Family and Patient Centered Care, Chiropractic Neurology, Physical Medicine  Rehabilitation, Disability and Health, Electroconvulsive Therapy (ect), General Academic Pediatrics, Adolescent Neurology, Pediatrics Cme, Neuropediatrics, Patient Communications, Occupational Therapy Assistant, Pediatric Ultrasound, Severe Acute Respiratory Syndrome (sars), Orthopaedic Sports Medicine, Psychiatric Rehabilitation, Animal-assisted Therapy, Child Neurology, Radiation Therapy, Hand Therapy, Cancer Radiotherapy, Neuromusculoskeletal Medicine, Pediatric Psychiatry, Developmental Behavioral Pediatrics, Pediatric Neurology, Pediatric Infectious Diseases, Neurorehabilitation, Pediatric Cardiology, Neurology, Neuropsychiatry, Rehabilitation Engineering, Addiction Therapy, Massage Therapy, Land Rehabilitation, Rehabilitation Medicine, Acute Medicine, Physical Medicine, Cancer Chemotherapy, Pediatric Gynecology, Patient, Physical Medicine and Rehabilitation, Virtual Rehabilitation, Pediatric Abusive Head Trauma, Radiotherapy, Physical Therapy Rehabilitation, Orthopedic Surgery, Orthopedic Medicine, Brachytherapy",partial
