seed, 0xdeadbeaf,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
0, 0xc816921f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
1, 0xb3623c6d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2, 0x5fa391bb,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
3, 0x40178d9,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
4, 0x7dcc9811,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
5, 0x548eb8e6,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
6, 0x92ba3125,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
7, 0x65fde68d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
8, 0x2f81ec95,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
9, 0xbd94f7a2,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
10, 0xdc4d9bcc,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
11, 0xa672bf13,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
12, 0xb41113e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
13, 0xec7e0066,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
14, 0x50239372,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
15, 0xd9d66b1d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
16, 0xab72a161,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
17, 0xddc2e29f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
18, 0x7ea29ab4,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
19, 0x80d141ba,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
20, 0xb1c7edf1,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
21, 0x44d29203,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
22, 0xe224d98,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
23, 0x5b3e9d26,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
24, 0x14fd567c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
25, 0x27d98c96,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
26, 0x838779fc,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
27, 0x92a138a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
28, 0x5d08965b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
29, 0x531e0ad6,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
30, 0x984ee8f4,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
31, 0x1ed78539,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
32, 0x32bd6d8d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
33, 0xc37c8516,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
34, 0x9aef5c6b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
35, 0x3aacd139,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
36, 0xd96ed154,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
37, 0x489cd1ed,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
38, 0x2cba4b3b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
39, 0x76c6ae72,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
40, 0x2dae02b9,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
41, 0x52ac5fd6,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
42, 0xc2b5e265,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
43, 0x630e6a28,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
44, 0x3f560d5d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
45, 0x9315bdf3,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
46, 0xf1055aba,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
47, 0x840e42c6,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
48, 0xf2099c6b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
49, 0x15ff7696,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
50, 0x7948d146,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
51, 0x97342961,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
52, 0x7a7a21c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
53, 0xc66f4fb1,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
54, 0x23c4103e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
55, 0xd7321f98,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
56, 0xeb7efb75,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
57, 0xe02490b5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
58, 0x2aa02de,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
59, 0x8bee0bf7,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
60, 0xfc2da059,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
61, 0xae835034,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
62, 0x678f2075,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
63, 0x6d03094b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
64, 0x56455e05,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
65, 0x18b32373,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
66, 0x8ff0356b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
67, 0x1fe442fb,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
68, 0x3f1ab6c3,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
69, 0xb6fd21b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
70, 0xfc310eb2,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
71, 0xb19e9a4d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
