seed, 0x0,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
0, 0x7ab4ea94,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
1, 0x9b561119,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2, 0x4957d02e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
3, 0x7dd3fdc2,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
4, 0x5affe54,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
5, 0x5a01741c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
6, 0x8b9e8c1f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
7, 0xda5bf11a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
8, 0x509226,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
9, 0x64e2ea17,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
10, 0x82c6dab5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
11, 0xe4302515,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
12, 0x8198b873,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
13, 0xc3ec9a82,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
14, 0x829dff28,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
15, 0x5278e44f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
16, 0x994a7d2c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
17, 0xf1c89398,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
18, 0xaf2fddec,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
19, 0x22abc6ee,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
20, 0x963dbd43,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
21, 0xc29edffb,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
22, 0x41c1ce07,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
23, 0x9c90034d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
24, 0x1f17a796,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
25, 0x3833caa8,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
26, 0xb8795528,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
27, 0xebc595a2,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
28, 0xf8f5b5dd,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
29, 0xc2881f72,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
30, 0x18e5d3f0,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
31, 0x9b19ac7a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
32, 0xb9992436,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
33, 0xc00052b3,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
34, 0xb63f4475,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
35, 0x962642d9,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
36, 0x63506c10,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
37, 0x2be6b127,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
38, 0x569bdbc6,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
39, 0x7f185e01,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
40, 0xebb55f53,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
41, 0x1c30198c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
42, 0x7c8d75c6,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
43, 0xd3f2186b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
44, 0xaca5b9b1,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
45, 0xbc49ff45,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
46, 0xc4a802af,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
47, 0x2cecd86f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
48, 0x8e0da529,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
49, 0x1f22b00e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
