seed, 0x0,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
0, 0xa30febcfd9c2825f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
1, 0x4510bdf882d9d721,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2, 0xa7d3da94ecde8b8,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
3, 0x43b27b61342f01d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
4, 0xd0327a782cde513b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
5, 0xe9aa5979a6401c4e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
6, 0x9b4c7b7180edb27f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
7, 0xbac0495ff8829a45,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
8, 0x8b2b01e7a1dc7fbf,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
9, 0xef60e8078f56bfed,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
10, 0xd0dbc74d4700374c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
11, 0xb37868abbe90b0,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
12, 0xdb7ed8bf64e6f5f0,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
13, 0x89910738de7951f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
14, 0xbacab307c3cfd379,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
15, 0x2cf7c449d8b927a6,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
16, 0xdcf94b3a16db7f0e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
17, 0x8a9d33d905a8792e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
18, 0x4cb9eb2014951238,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
19, 0x6c353acf7b26d6f1,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
20, 0x73ff53d673aa30c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
21, 0x1fd10760015eca68,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
22, 0xabae0aa9021eeba8,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
