seed, 0xdeadbeaf,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
0, 0xdf1ddcf1e22521fe,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
1, 0xc71b2f9c706cf151,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2, 0x6922a8cc24ad96b2,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
3, 0x82738c549beccc30,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
4, 0x5e8415cdb1f17580,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
5, 0x64c54ad0c09cb43,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
6, 0x361a17a607dce278,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
7, 0x4346f6afb7acad68,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
8, 0x6e9f14d4f6398d6b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
9, 0xf818d4343f8ed822,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
10, 0x6327647daf508ed6,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
11, 0xe1d1dbe5496a262a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
12, 0xfc081e619076b2e0,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
13, 0x37126563a956ab1,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
14, 0x8bb46e155db16b9,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
15, 0x56449f006c9f3fb4,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
16, 0x34a9273550941803,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
17, 0x5b4df62660f99462,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
18, 0xb8665cad532e3018,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
19, 0x72fc3e5f7f84216a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
20, 0x71d3c47f6fd59939,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
21, 0xfd4218afa1de463b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
22, 0xc84054c78e0a9a71,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
23, 0xae59034726be61a8,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
24, 0xa6a5f21de983654d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
25, 0x3b633acf572009da,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
26, 0x6a0884f347ab54c8,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
27, 0x7a907ebe9adcab50,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
28, 0xbe779be53d7b8d4a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
29, 0xf5976e8c69b9dcd1,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
30, 0x1d8302f114699e11,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
31, 0x7d37e43042c038a0,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
32, 0x2cc1d4edc2a40f35,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
33, 0x83e3347bb2d581f1,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
34, 0x253f8698651a844d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
35, 0x4312dea0dd4e32f6,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
36, 0x10f106439964ea3a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
37, 0x810eb374844868cc,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
