seed, 0x0,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
0, 0xd97e4a147f788a70,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
1, 0x8dfa7bce56e3a253,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2, 0x13556ed9f53d3c10,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
3, 0x55dbf1c241341e98,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
4, 0xa2cd98f722eb0e0a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
5, 0x83dfc407203ade8,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
6, 0xeaa083df518f030d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
7, 0x44968c87e432852b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
8, 0x573107b9cb8d9ecc,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
9, 0x9eedd1da50b9daca,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
10, 0xb33a6735ca451e3c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
11, 0x72830d2b39677262,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
12, 0x9da8c512fd0207e8,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
13, 0x1fc5c91954a2672b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
14, 0xd33479437116e08,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
15, 0x9ccdd9390cee46f3,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
16, 0x1fd39bb01acd9e76,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
17, 0xedc1869a42ff7fe5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
18, 0xbd68ca0b42a6e7e9,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
19, 0x620b67df09621b1f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
20, 0xfa11d51bd6950221,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
21, 0xc8c45b36e7d28d08,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
22, 0xe9c91272fbaad777,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
23, 0x2dc87a143f220e90,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
24, 0x6376a7c82361f49d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
25, 0x552c5e434232fe75,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
26, 0x468f7f872ac195bc,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
27, 0x32bed6858125cf89,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
28, 0xe4f06111494d09d3,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
29, 0xa5c166ffea248b80,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
30, 0x4e26605b97064a3f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
31, 0xceafd9f6fc5569d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
32, 0xb772f2f9eed9e106,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
33, 0x672c65e6a93534e2,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
34, 0xcdc5e1a28d1bd6a0,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
35, 0x1ed9c96daeebd3e3,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
36, 0x4d189dcfc0c93c3f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
37, 0x50df5a95c62f4b43,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
38, 0xcccf4949fa65bbb8,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
39, 0x19b8073d53cdc984,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
40, 0x6fb40bba35483703,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
41, 0xb02de4aef86b515a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
42, 0x4d90c63655350310,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
43, 0xea44e4089825b16c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
44, 0x8d676958b1f9da2b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
45, 0x6d313940917ae195,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
46, 0x1b1d35a4c1dd19f4,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
47, 0x117720f8397337ef,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
48, 0xcc073cf3ac11eeaa,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
49, 0x8331ec58a9ff8acb,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
50, 0xf3dc2a308b6b866f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
51, 0x7eba1202663382b6,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
52, 0x8269839debeb4e5a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
53, 0x87fd3dc0f9181a8e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
54, 0xabe62ddd3c925f03,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
55, 0x7f56f146944fe8d4,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
56, 0xc535972150852068,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
57, 0x60b252d453bd3a68,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
58, 0x4251f0134634490a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
59, 0x338950da210dfeb2,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
60, 0xcadfe932971c9471,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
61, 0xfb7049457fab470e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
62, 0x9bfb8145a4459dff,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
63, 0x4a89dda3898f9d8a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
64, 0x88cc560151483929,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
65, 0x277dc820f4b6796e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
66, 0x3524bd07ea0afb88,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
67, 0x92eb6ffb2bf14311,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
68, 0xf6559be0783f3fe9,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
69, 0xf0844f9af54af00d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
70, 0xdd5e0b59adcef8a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
71, 0x4ff7e4f2ab18554c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
72, 0x3fa22c8a02634587,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
73, 0x1db8e1a9442fe300,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
74, 0x40cf15953ad3d3e7,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
75, 0x92af15fe1a9f6f0a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
76, 0xab4a0e466fb0cfd,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
77, 0x944f1555a06cca82,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
78, 0x10cf48412f1f6066,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
79, 0x7f51f9a455f9e8e1,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
80, 0x47ee93530f024c7e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
81, 0x36cf2f0413e0f6f2,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
82, 0xa315e23731969407,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
83, 0xd8e2796327cf5f87,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
84, 0xa86072696a555c34,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
85, 0xee3f0b8804feaab7,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
86, 0x41e80dc858f8360b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
87, 0x31ec2e9b78f5b29,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
88, 0xd397fb9b8561344c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
89, 0x28081e724e649b74,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
90, 0x5c135fc3fc672348,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
91, 0x9a276ca70ce9caa0,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
92, 0x9216da059229050a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
93, 0xcf7d375ed68007b0,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
94, 0xa68ad1963724a770,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
95, 0xd4350de8d3b6787c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
96, 0xee7d2c2cc275b6d2,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
97, 0x71645ec738749735,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
98, 0x45abdf8c68d33dbb,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
99, 0xe71cadb692c705ea,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
100, 0x60af6f061fd90622,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
101, 0x1eabe2072632c99d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
102, 0x947dda995a402cb6,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
103, 0xbb19f49a3454f3b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
104, 0xe6e43e907407758c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
105, 0xfe2b67016bd6873a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
106, 0x7fdb4dd8ab30a722,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
107, 0x39d3265b0ff1a45b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
108, 0xed24c0e4fce8d0c2,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
