seed, 0xdeadbeaf,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
0, 0xedc95200e2bd66a5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
1, 0x581d4e43b7682352,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2, 0x4be7278f5e373eab,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
3, 0xee47f17991a9e7ea,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
4, 0x38a7d2ae422f2e2c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
5, 0xe2a6730a3b4a8a15,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
6, 0x1588b7a841486442,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
7, 0x13ad777246700504,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
8, 0x14d157e0f5e18204,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
9, 0xd87c22a7ee8c13f1,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
10, 0x30cc389ce3542ba1,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
11, 0xb8a53348955bb2e9,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
12, 0xc08802e3c454f74f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
13, 0xb444f627671a5780,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
14, 0x4b6dd42b29cbf567,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
15, 0x6109c7dc0bc5f7d5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
16, 0x85c954715d6b5b1e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
17, 0x646178d3d9a3a5d5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
18, 0xebbde42b1cd83465,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
19, 0x3d015102f6bc9c1a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
20, 0x720fe2ec3798d5fd,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
21, 0x93120961289ceb2e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
22, 0xc9207e960a56fae2,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
23, 0xa7f042f31d991b98,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
24, 0x5fac117415fae74b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
25, 0xd0a970ba8dddc287,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
26, 0x84b4e7e51b43106,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
27, 0x6ad02bf525ea265f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
28, 0xcdc7e5992b36ef8f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
29, 0x44d4985209261d60,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
30, 0x628c02d50f4b902e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
31, 0xc7b1914922d1e76d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
32, 0xfde99ff895cba51d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
33, 0x175a0be050fa985f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
34, 0x47297d3699e03228,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
35, 0xccf1e9aeaa3339cd,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
36, 0x9fdd18ebeeaf15b1,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
37, 0x7c94c9ab68747011,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
38, 0x612d8ef22c1fa80f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
39, 0x13f52b860de89ab5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
40, 0x81f264b8c139c43b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
41, 0x8d017ba4ef1e85ba,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
42, 0x6d0556f46219951e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
43, 0x8ee7b85663cf67b6,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
44, 0x2432fc707645fe67,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
45, 0xaf814046051e5941,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
46, 0x4d432a83739ac76f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
47, 0x59e5060d0983ccdd,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
48, 0xdd20e828b83d9b53,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
49, 0x1b891800d7385f4c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
50, 0x10e86a026c52ff5e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
51, 0xb932f11723f7b90c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
52, 0xb2413d0a1f3582d0,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
53, 0xe7cd4edda65fc6b5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
54, 0x6d3808848d56593b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
55, 0x192a727c3c7f47d9,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
56, 0x9659d8aea5db8c16,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
57, 0x4242c79fe2c77c16,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
58, 0x605f90c913827cea,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
59, 0x53e153c8bfc2138a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
60, 0xed2158fbdef5910e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
61, 0xae9e6e29d4cb5060,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
62, 0x7dd51afaad3b11ce,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
63, 0x2b9ba533d01a5453,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
64, 0x7e0e9cf2b6c72c8,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
65, 0x1cc8b3c7747ed147,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
66, 0x9b102651e2e11b48,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
67, 0x30b0b53cbaac33ea,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
68, 0x70c28aec39b99b85,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
69, 0x5f1417ff536fdb75,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
70, 0x3a1d91abd53acf58,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
71, 0xba116a1772168259,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
72, 0xf5369bc9bd284151,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
73, 0x67bf11373bf183ca,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
74, 0xef0b2d44dbd33dc7,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
75, 0xbfd567ee1a2953ed,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
76, 0x7d373f2579b5e5c6,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
77, 0x756eeae7bcdd99be,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
78, 0x75f16eb9faa56f3b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
79, 0x96d55ded2b54b9a5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
80, 0x94495191db692c24,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
81, 0x32358bdd56bab38c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
82, 0x3f6b64078576579,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
83, 0x7177e7948bc064c9,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
84, 0x2cbf23f09ba9bc91,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
85, 0x9b97cc31c26645f5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
86, 0x5af2d239ff9028b1,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
87, 0x316fa920e0332abe,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
88, 0x46535b7d1cae10a0,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
89, 0x21f0a6869298022c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
90, 0xf395c623b12deb14,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
91, 0x8573995180675aa7,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
92, 0xc3076509f4dc42d5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
93, 0x15e11e49760c6066,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
94, 0xe8a6d311e67a021d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
95, 0x7482f389c883339b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
96, 0xda6f881573cba403,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
97, 0xb110ffb847e42f07,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
98, 0x2c3393140605ccf9,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
99, 0xba1c8ba37d8bdc33,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
100, 0x59adf43db7a86fe0,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
101, 0xb4fcbf6aa585ca85,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
102, 0xd794a93c18033fa6,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
103, 0x6e839c01985f9d4,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
104, 0x64065bf28222b2c7,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
105, 0x6a6359b293fa0640,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
106, 0x5ff610969e383e44,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
107, 0xa8172c263f05c7f7,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
108, 0x62a0172e8bd75d07,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
109, 0x7be66e3c453b65ac,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
110, 0x6a3b8d5a14014292,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
111, 0xa2583e6087450020,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
112, 0xd5d3ecc480c627d2,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
113, 0xa24e83f1eec8a27c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
114, 0xa23febd2a99ee75a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
115, 0x9a5fbf91c7310366,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
116, 0x5b63156932e039b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
117, 0x942af3c569908505,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
118, 0x89a850f71ab6a912,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
119, 0xfeadc803ac132fe9,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
120, 0x67bf60e758250f3,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
121, 0x533c25103466a697,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
122, 0xb7deede3482f9769,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
123, 0x325e043b53bba915,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
124, 0x9e8d9e7fde132006,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
125, 0x6bacc6860bbc436e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
126, 0xb3ea0534c42b1c53,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
127, 0xb2389334db583172,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
128, 0xa74b1bfbf5242ee4,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
129, 0x53a487e2dc51d15c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
130, 0xe5a3b538d2c7a82e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
131, 0x7b6c70bb0c4cadaf,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
132, 0xae20791b2081df1,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
133, 0xc685c12e3c61d32c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
134, 0x60110e6b0286e882,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
135, 0x49682119c774045c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
136, 0x53dc11a3bbd072e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
137, 0xbdc87c6e732d9c2d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
138, 0xcc4620861ebac8fd,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
139, 0x7e9c3558759350cc,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
140, 0x157408dee34891ba,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
141, 0x9bcad1855b80651b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
142, 0xd81b29141d636908,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
143, 0x1ed041a9f319c69d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
144, 0x805b2f541208b490,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
145, 0x484ef3bba2eb7c66,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
146, 0xb6b5e37d50a99691,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
147, 0xabc26a7d9e97e85f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
148, 0xcba2a3cce0417c2f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
149, 0xa030dfffd701993c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
150, 0x2bf2dc50582ebf33,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
151, 0xd9df13dd3eb9993e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
152, 0x31ca28b757232ae5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
153, 0x614562a0ccf37263,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
154, 0x44d635b01725afbb,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
155, 0x5ae230bc9ca9cd,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
156, 0xb23a124eb98705c6,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
157, 0x6395675444981b11,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
158, 0xd97314c34119f9ca,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
159, 0x9de61048327dd980,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
160, 0x16bac6bded819707,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
161, 0xcea3700e3e84b8c7,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
162, 0xaa96955e2ee9c408,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
163, 0x95361dcc93b5bc99,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
164, 0x306921aed3713287,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
165, 0x4df87f3130cd302a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
166, 0x37c451daeb6a4af5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
167, 0x8dbbe35f911d5cc1,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
168, 0x518157ce61cb10f9,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
169, 0x669f577aebc7b35b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
170, 0x4b0a5824a8786040,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
171, 0x519bc3528de379f5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
172, 0x6128012516b54e02,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
173, 0x98e4f165e5e6a6dd,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
174, 0x6404d03618a9b882,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
175, 0x15b6aeb3d9cd8dc5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
176, 0x87ed2c1bae83c35b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
177, 0x8377fc0252d41278,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
178, 0x843f89d257a9ba02,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
179, 0xcdda696ea95d0180,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
180, 0xcfc4b23a50a89def,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
181, 0xf37fd270d5e29902,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
182, 0xafe14418f76b7efa,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
183, 0xf984b81577076842,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
184, 0xe8c60649ccb5458d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
185, 0x3b7be8e50f8ff27b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
186, 0xaa7506f25cef1464,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
187, 0x5e513da59f106688,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
188, 0x3c585e1f21a90d91,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
189, 0x1df0e2075af292a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
190, 0x29fdd36d4f72795f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
191, 0xb162fe6c24cb4741,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
192, 0x45073a8c02bd12c4,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
193, 0xcbaaa395c2106f34,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
194, 0x5db3c4c6011bc21c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
195, 0x1b02aac4f752e377,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
196, 0xa2dfb583eb7bec5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
197, 0xfe1d728805d34bb1,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
198, 0xf647fb78bb4601ec,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
199, 0xd17be06f0d1f51ef,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
