seed, 0x0,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
0, 0x399e5b222b82fa9,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
1, 0x41fd08c1f00f3bc5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2, 0x78b8824162ee4d04,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
3, 0x176747919e02739d,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
4, 0xfaa88f002a8d3596,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
5, 0x418eb6f592e6c227,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
6, 0xef83020b8344dd45,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
7, 0x30a74a1a6eaa064b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
8, 0x93d43bf97a490c3,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
9, 0xe4ba28b442194cc,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
10, 0xc829083a168a8656,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
11, 0x73f45d50f8e22849,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
12, 0xf912db57352824cc,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
13, 0xf524216927b12ada,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
14, 0x22b7697473b1dfda,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
15, 0x311e2a936414b39f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
16, 0xb905abfdcc425be6,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
17, 0x4b14630d031eac9c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
18, 0x1cf0c4ae01222bc8,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
19, 0xa6c33efc6e82ef3,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
20, 0x43b3576937ba0948,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
21, 0x1e483d17cdde108a,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
