seed, 0xdeadbeaf,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
0, 0xa475f55fbb6bc638,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
1, 0xb2d594b6c29d971c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
2, 0x275bc4ece4484fb1,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
3, 0x569be72d9b3492fb,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
4, 0x89a5bb9b206a670c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
5, 0xd951bfa06afdc3f9,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
6, 0x7ee2e1029d52a265,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
7, 0x12ef1d4de0cb4d4c,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
8, 0x41658ba8f0ef0280,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
9, 0x5b650c82e4fe09c5,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
10, 0x638a9f3e30ec4e94,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
11, 0x147487fb2ba9233e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
12, 0x89ef035603d2d1fb,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
13, 0xe66ca57a190e6cbe,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
14, 0x330f673740dd61fc,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
15, 0xc71d3dce2f8bb34e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
16, 0x3c07c39ff150b185,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
17, 0x5df952b6cae8f099,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
18, 0x9f09f2b1f0ceac80,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
19, 0x19598eee2d0c4c67,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
20, 0x64e06483702e0ebd,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
21, 0xda04d1fdb545f7fa,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
22, 0xf2cf53b61a0c4f9b,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
23, 0xf0bb724ce196f66e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
24, 0x71cefde55d9cf0f,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
25, 0x6323f62824a20048,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
26, 0x1e93604680f14b4e,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
27, 0xd9d8fad1d4654025,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
28, 0xf4ee25af2e76ca08,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
29, 0x6af3325896befa98,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
30, 0xad9e43abf5e04053,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
