seed, 0x0,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status,company_name_scraped,phone_scraped,linkedin_company_url,score
0, 0x91959e5fb96a6332,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
1, 0x3c1dd8a25a7e9f21,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
2, 0x657bdffc99798d9e,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
3, 0x1a04de320b19e022,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
4, 0x65b92af0e5f3c61c,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
5, 0x9c84070ce8f743c0,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
6, 0xbb10e573693cdb25,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
7, 0xd65ea9e76b37fb6b,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
8, 0x503efd0e76c8ae66,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
9, 0xd711dcd04c26d0f,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
10, 0x12f53f435814ac8c,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
11, 0xb392cd402cfc82bd,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
12, 0x461764550e06c889,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
13, 0x716a48b3514e6979,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
14, 0xdd0a322213c18ad7,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
15, 0x6673a8ca0a05c4d7,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
16, 0x2992ef333437f844,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
17, 0xc4aaf7e8240b2aad,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
18, 0x6ab0a1af1f41474f,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
19, 0xb0bae400c226941d,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
20, 0xe5f80c2eeeab48c6,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
21, 0x3832c6a93a4024bf,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
22, 0x280bd824fabe8368,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
23, 0x66b626228321e5ff,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
24, 0xe0bdfba5325a307e,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
25, 0x3a5f65c6ef254e05,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
26, 0x99ea12503cb02f94,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
27, 0x5d01fd2db77d420b,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
28, 0x6959bf5f36b2368d,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
29, 0xd856e30c62b5f5be,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
30, 0xe33233e1d8140e66,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
31, 0xb78be619d415fa8d,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
32, 0x4f943bb2cc63d3b,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
33, 0x9b1460b290952d81,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
34, 0x19205d794826740e,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
35, 0x64617bd9d7a6a1ff,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
36, 0x30442124b55ea76a,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
37, 0xebbbc3b29d0333fc,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
38, 0x39235a0fe359751c,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
39, 0xf9629768891121aa,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
40, 0x32052f53f366e05a,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
41, 0x60cc5b412c925bc8,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
42, 0xf8b7ecda1c0e5a9,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
43, 0x195f036e170a2568,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
44, 0xfe06d0381a9ca782,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
45, 0x919d89e8b88eebbf,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
46, 0xa47fb30148cf0d43,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
47, 0x5c983e99d5f9fd56,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
48, 0xe7492cdb6a1d42cd,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
49, 0xf9cfe5c865b0cfd8,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
50, 0x35b653367bbc3b99,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
51, 0xb1d92f6f4d4e440b,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
52, 0x737e1d5bd87ed9c0,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
53, 0x7a880ca1498f8e17,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
54, 0x687dae8494f9a3f7,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
55, 0x6bae1989f441d5d7,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
56, 0x71ad3fa5a9195c2e,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
57, 0x16b3969779f5d03,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
58, 0xd1bce2ac973f15b3,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
59, 0xa114b1ee2ce0dcdd,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
60, 0x270d75c11eb1b8d5,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
61, 0xc48ffa087c0a7bc,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
62, 0xaaf9dc48cda9848d,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
63, 0x8111cf10ef6e584d,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
64, 0x6736df6af40ee6f4,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
65, 0x1a1a111682fbf98d,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
66, 0xeb217658e1cb3b5d,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
67, 0xcaf58a8b79de9dec,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
68, 0x25d0ffd63c88d7a1,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
69, 0x4c498cd871b7f176,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
70, 0x4069a6156eb0cf3c,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
71, 0xdf012f12edcdd867,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
72, 0x7734c0ac8edb1689,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
73, 0xed6960ac53dbc245,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
74, 0x305e20da8868c661,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
75, 0x5f0c7a3719956f95,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
76, 0x66842bbe3b28895,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
77, 0xb608bc9a31eac410,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
78, 0xfcb17d5529503abd,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
79, 0x829ae5cbc29b92ee,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
80, 0x17f2f0027bc24f3a,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
81, 0x435926c33d8f44cc,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
82, 0x3ab899327098dbec,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
83, 0xaf78573b27f8ead8,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
84, 0xa8b334fabcf8dc60,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
85, 0xcdf3b366a6a303db,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
86, 0x8da9379dd62b34c8,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
87, 0xb0ba511955f264a7,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
88, 0x9d72e21a644f961d,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
89, 0xfac28382e2e7e710,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
90, 0xd457065f048410aa,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
91, 0x1cae57d952563969,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
92, 0x5a160a6223253e03,,,,,,False,False,False,0,0,skip,,,,,,,partial,,,,0
