Account Name,Website URL,Country,City,Industry,LinkedIn Company URL
Inditex,https://www.inditex.com/,Spain,Arteixo,Textile/Apparel,https://www.linkedin.com/company/inditex/
H&M Group,https://hmgroup.com/,Sweden,Stockholm,Textile/Apparel,https://www.linkedin.com/company/hm/
LVMH,https://www.lvmh.com/,France,Paris,Textile/Apparel,https://www.linkedin.com/company/lvmh/
Adidas AG,https://www.adidas-group.com/en/,Germany,Herzogenaurach,Textile/Apparel,https://www.linkedin.com/company/adidas/
Nestle,https://www.nestle.com/,Switzerland,Vevey,FMCG,https://www.linkedin.com/company/nestle-s-a-/
Unilever,https://www.unilever.com/,UK,London,FMCG,https://www.linkedin.com/company/unilever/
Danone,https://www.danone.com/,France,Paris,FMCG,https://www.linkedin.com/company/danone/
Puma SE,https://about.puma.com/,Germany,Herzogenaurach,Textile/Apparel,https://www.linkedin.com/company/puma/
Zalando SE,https://corporate.zalando.com/en/,Germany,Berlin,Textile/Apparel,https://www.linkedin.com/company/zalando/
PepsiCo,https://www.pepsico.com/,United States,Purchase,FMCG,https://www.linkedin.com/company/pepsico/
HUGO BOSS AG,https://group.hugoboss.com/en/,Germany,Metzingen,Textile/Apparel,https://www.linkedin.com/company/hugo-boss/
The Coca-Cola Company,https://www.coca-colacompany.com/,United States,Atlanta,FMCG,https://www.linkedin.com/company/the-coca-cola-company/
Marks and Spencer Group plc,https://corporate.marksandspencer.com/,UK,London,Textile/Apparel,https://www.linkedin.com/company/marks-and-spencer/
Kering,https://www.kering.com/en/,France,Paris,Textile/Apparel,https://www.linkedin.com/company/kering/
Alshaya Group,https://www.alshaya.com/en/,Kuwait,Kuwait City,Textile/Apparel,https://www.linkedin.com/company/alshaya-group/
Chalhoub Group,https://www.chalhoubgroup.com/,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/chalhoub-group/
Emaar Malls,https://www.emaarmalls.com/,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/emaar-malls/
Al Tayer Group,https://www.altayer.com/,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/al-tayer-group/
Azadea Group Holding,https://www.azadea.com/,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/azadea/
Al Futtaim,https://www.alfuttaim.com/,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/al-futtaim/
Alhokair Fashion Retail,https://www.fahretail.com/,Saudi Arabia,Riyadh,Textile/Apparel,https://www.linkedin.com/company/alhokair-fashion-retail/
Majid Al Futtaim Fashion,https://www.majidalfuttaim.com/en/our-businesses/lifestyle-and-fashion,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/majid-al-futtaim-fashion-llc/
PVH Corp.,https://www.pvh.com/,United States,New York,Textile/Apparel,https://www.linkedin.com/company/pvh/
Mondelez International,https://www.mondelezinternational.com/,United States,Chicago,FMCG,https://www.linkedin.com/company/mondelez-international/
L'Oréal Group,https://www.loreal.com/en/,France,Clichy,FMCG,https://www.linkedin.com/company/loreal/
MANGO,https://shop.mango.com/preHome.faces,Spain,Barcelona,Textile/Apparel,https://www.linkedin.com/company/mango/
VF Corporation,https://www.vfc.com/,United States,Denver,Textile/Apparel,https://www.linkedin.com/company/vf-corporation/
ASOS,https://www.asosplc.com/,UK,London,Textile/Apparel,https://www.linkedin.com/company/asos-com/
Superdry plc,https://corporate.superdry.com/,UK,Cheltenham,Textile/Apparel,https://www.linkedin.com/company/superdry/
Burberry,https://www.burberryplc.com/en/index.html,UK,London,Textile/Apparel,https://www.linkedin.com/company/burberry/
C&A,https://www.c-and-a.com/uk/en/corporate/company/about-ca/,Germany,Düsseldorf,Textile/Apparel,https://www.linkedin.com/company/c&a/
Boohoo Group plc,https://www.boohooplc.com/,UK,Manchester,Textile/Apparel,https://www.linkedin.com/company/boohoo-com/
Esprit Holdings Limited,https://www.esprit.com/,Hong Kong,Ratingen,Textile/Apparel,https://www.linkedin.com/company/esprit/
Primark,https://www.primark.com/en-us,Ireland,Dublin,Textile/Apparel,https://www.linkedin.com/company/primark/
DICK'S Sporting Goods,https://www.dickssportinggoods.com/,United States,Pittsburgh,Textile/Apparel,https://www.linkedin.com/company/dick's-sporting-goods/
Next plc,https://www.nextplc.co.uk/,UK,Enderby,Textile/Apparel,https://www.linkedin.com/company/next-plc/
Grupo Cortefiel,https://www.grupocortefiel.com/en/,Spain,Madrid,Textile/Apparel,https://www.linkedin.com/company/grupo-cortefiel/
J Sainsbury plc,https://www.about.sainsburys.co.uk/,UK,London,FMCG,https://www.linkedin.com/company/sainsburys/
Tesco PLC,https://www.tescoplc.com/,UK,Welwyn Garden City,FMCG,https://www.linkedin.com/company/tesco/
Carrefour,https://www.carrefour.com/en,France,Massy,FMCG,https://www.linkedin.com/company/carrefour/
Auchan Retail,https://www.auchan-retail.com/en/,France,Croix,FMCG,https://www.linkedin.com/company/auchan-retail/
