Account Name,Website URL,Country,City,Industry,LinkedIn Company URL,enrichment_status,score,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,description,phone,address,linkedin_url,industry
Inditex,https://www.inditex.com/,Spain,Arteixo,Textile/Apparel,https://www.linkedin.com/company/inditex/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
H&M Group,https://hmgroup.com/,Sweden,Stockholm,Textile/Apparel,https://www.linkedin.com/company/hm/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
LVMH,https://www.lvmh.com/,France,Paris,Textile/Apparel,https://www.linkedin.com/company/lvmh/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Adidas AG,https://www.adidas-group.com/en/,Germany,Herzogenaurach,Textile/Apparel,https://www.linkedin.com/company/adidas/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Nestle,https://www.nestle.com/,Switzerland,Vevey,FMCG,https://www.linkedin.com/company/nestle-s-a-/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Unilever,https://www.unilever.com/,UK,London,FMCG,https://www.linkedin.com/company/unilever/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Danone,https://www.danone.com/,France,Paris,FMCG,https://www.linkedin.com/company/danone/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Puma SE,https://about.puma.com/,Germany,Herzogenaurach,Textile/Apparel,https://www.linkedin.com/company/puma/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Zalando SE,https://corporate.zalando.com/en/,Germany,Berlin,Textile/Apparel,https://www.linkedin.com/company/zalando/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
PepsiCo,https://www.pepsico.com/,United States,Purchase,FMCG,https://www.linkedin.com/company/pepsico/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
HUGO BOSS AG,https://group.hugoboss.com/en/,Germany,Metzingen,Textile/Apparel,https://www.linkedin.com/company/hugo-boss/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
The Coca-Cola Company,https://www.coca-colacompany.com/,United States,Atlanta,FMCG,https://www.linkedin.com/company/the-coca-cola-company/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Marks and Spencer Group plc,https://corporate.marksandspencer.com/,UK,London,Textile/Apparel,https://www.linkedin.com/company/marks-and-spencer/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Kering,https://www.kering.com/en/,France,Paris,Textile/Apparel,https://www.linkedin.com/company/kering/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Alshaya Group,https://www.alshaya.com/en/,Kuwait,Kuwait City,Textile/Apparel,https://www.linkedin.com/company/alshaya-group/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Chalhoub Group,https://www.chalhoubgroup.com/,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/chalhoub-group/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Emaar Malls,https://www.emaarmalls.com/,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/emaar-malls/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Al Tayer Group,https://www.altayer.com/,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/al-tayer-group/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Azadea Group Holding,https://www.azadea.com/,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/azadea/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Al Futtaim,https://www.alfuttaim.com/,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/al-futtaim/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Alhokair Fashion Retail,https://www.fahretail.com/,Saudi Arabia,Riyadh,Textile/Apparel,https://www.linkedin.com/company/alhokair-fashion-retail/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Majid Al Futtaim Fashion,https://www.majidalfuttaim.com/en/our-businesses/lifestyle-and-fashion,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/majid-al-futtaim-fashion-llc/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
PVH Corp.,https://www.pvh.com/,United States,New York,Textile/Apparel,https://www.linkedin.com/company/pvh/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Mondelez International,https://www.mondelezinternational.com/,United States,Chicago,FMCG,https://www.linkedin.com/company/mondelez-international/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
L'Oréal Group,https://www.loreal.com/en/,France,Clichy,FMCG,https://www.linkedin.com/company/loreal/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
MANGO,https://shop.mango.com/preHome.faces,Spain,Barcelona,Textile/Apparel,https://www.linkedin.com/company/mango/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
VF Corporation,https://www.vfc.com/,United States,Denver,Textile/Apparel,https://www.linkedin.com/company/vf-corporation/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ASOS,https://www.asosplc.com/,UK,London,Textile/Apparel,https://www.linkedin.com/company/asos-com/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Superdry plc,https://corporate.superdry.com/,UK,Cheltenham,Textile/Apparel,https://www.linkedin.com/company/superdry/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Burberry,https://www.burberryplc.com/en/index.html,UK,London,Textile/Apparel,https://www.linkedin.com/company/burberry/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
C&A,https://www.c-and-a.com/uk/en/corporate/company/about-ca/,Germany,Düsseldorf,Textile/Apparel,https://www.linkedin.com/company/c&a/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Boohoo Group plc,https://www.boohooplc.com/,UK,Manchester,Textile/Apparel,https://www.linkedin.com/company/boohoo-com/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Esprit Holdings Limited,https://www.esprit.com/,Hong Kong,Ratingen,Textile/Apparel,https://www.linkedin.com/company/esprit/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Primark,https://www.primark.com/en-us,Ireland,Dublin,Textile/Apparel,https://www.linkedin.com/company/primark/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
DICK'S Sporting Goods,https://www.dickssportinggoods.com/,United States,Pittsburgh,Textile/Apparel,https://www.linkedin.com/company/dick's-sporting-goods/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Next plc,https://www.nextplc.co.uk/,UK,Enderby,Textile/Apparel,https://www.linkedin.com/company/next-plc/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Grupo Cortefiel,https://www.grupocortefiel.com/en/,Spain,Madrid,Textile/Apparel,https://www.linkedin.com/company/grupo-cortefiel/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
J Sainsbury plc,https://www.about.sainsburys.co.uk/,UK,London,FMCG,https://www.linkedin.com/company/sainsburys/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Tesco PLC,https://www.tescoplc.com/,UK,Welwyn Garden City,FMCG,https://www.linkedin.com/company/tesco/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Carrefour,https://www.carrefour.com/en,France,Massy,FMCG,https://www.linkedin.com/company/carrefour/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Auchan Retail,https://www.auchan-retail.com/en/,France,Croix,FMCG,https://www.linkedin.com/company/auchan-retail/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Bayer AG,https://www.bayer.com/en/,Germany,Leverkusen,FMCG,https://www.linkedin.com/company/bayer/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Boots UK Limited,https://www.boots-uk.com/,UK,Nottingham,FMCG,https://www.linkedin.com/company/bootsuk/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Beiersdorf AG,https://www.beiersdorf.com/,Germany,Hamburg,FMCG,https://www.linkedin.com/company/beiersdorf/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AstraZeneca,https://www.astrazeneca.com/,UK,Cambridge,FMCG,https://www.linkedin.com/company/astrazeneca/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Royal Philips,https://www.philips.com/global,Netherlands,Amsterdam,FMCG,https://www.linkedin.com/company/philips/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
GlaxoSmithKline plc,https://www.gsk.com/en-gb/home/,UK,Brentford,FMCG,https://www.linkedin.com/company/glaxosmithkline/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
BASF SE,https://www.basf.com/global/en.html,Germany,Ludwigshafen am Rhein,FMCG,https://www.linkedin.com/company/basf/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Reckitt Benckiser Group plc,https://www.reckitt.com/,UK,Slough,FMCG,https://www.linkedin.com/company/reckittbenckiser/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
SAP SE,https://www.sap.com/,Germany,Walldorf,HR,https://www.linkedin.com/company/sap/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Siemens AG,https://new.siemens.com/global/en.html,Germany,Munich,HR,https://www.linkedin.com/company/siemens/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Adecco Group AG,https://www.adeccogroup.com/,Switzerland,Zurich,HR,https://www.linkedin.com/company/the-adecco-group/,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
