Account Name,Website URL,Country,City,Industry,LinkedIn Company URL,enrichment_status,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,description,phone,address,linkedin_url,industry,company_name_scraped,phone_scraped,linkedin_company_url,score
Inditex,https://www.inditex.com/,Spain,Arteixo,Textile/Apparel,https://www.linkedin.com/company/inditex/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
H&M Group,https://hmgroup.com/,Sweden,Stockholm,Textile/Apparel,https://www.linkedin.com/company/hm/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
LVMH,https://www.lvmh.com/,France,Paris,Textile/Apparel,https://www.linkedin.com/company/lvmh/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
Adidas AG,https://www.adidas-group.com/en/,Germany,Herzogenaurach,Textile/Apparel,https://www.linkedin.com/company/adidas/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
Nestle,https://www.nestle.com/,Switzerland,Vevey,FMCG,https://www.linkedin.com/company/nestle-s-a-/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
Unilever,https://www.unilever.com/,UK,London,FMCG,https://www.linkedin.com/company/unilever/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
Danone,https://www.danone.com/,France,Paris,FMCG,https://www.linkedin.com/company/danone/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
Puma SE,https://about.puma.com/,Germany,Herzogenaurach,Textile/Apparel,https://www.linkedin.com/company/puma/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
Zalando SE,https://corporate.zalando.com/en/,Germany,Berlin,Textile/Apparel,https://www.linkedin.com/company/zalando/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
PepsiCo,https://www.pepsico.com/,United States,Purchase,FMCG,https://www.linkedin.com/company/pepsico/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
HUGO BOSS AG,https://group.hugoboss.com/en/,Germany,Metzingen,Textile/Apparel,https://www.linkedin.com/company/hugo-boss/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
The Coca-Cola Company,https://www.coca-colacompany.com/,United States,Atlanta,FMCG,https://www.linkedin.com/company/the-coca-cola-company/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
Marks and Spencer Group plc,https://corporate.marksandspencer.com/,UK,London,Textile/Apparel,https://www.linkedin.com/company/marks-and-spencer/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
Kering,https://www.kering.com/en/,France,Paris,Textile/Apparel,https://www.linkedin.com/company/kering/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
Alshaya Group,https://www.alshaya.com/en/,Kuwait,Kuwait City,Textile/Apparel,https://www.linkedin.com/company/alshaya-group/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
Chalhoub Group,https://www.chalhoubgroup.com/,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/chalhoub-group/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
Emaar Malls,https://www.emaarmalls.com/,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/emaar-malls/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
Al Tayer Group,https://www.altayer.com/,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/al-tayer-group/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
Azadea Group Holding,https://www.azadea.com/,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/azadea/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
Al Futtaim,https://www.alfuttaim.com/,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/al-futtaim/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
Alhokair Fashion Retail,https://www.fahretail.com/,Saudi Arabia,Riyadh,Textile/Apparel,https://www.linkedin.com/company/alhokair-fashion-retail/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
Majid Al Futtaim Fashion,https://www.majidalfuttaim.com/en/our-businesses/lifestyle-and-fashion,UAE,Dubai,Textile/Apparel,https://www.linkedin.com/company/majid-al-futtaim-fashion-llc/,partial,,,,,,False,False,False,0,0,skip,,,,,,,,,,0
