Company,Country,Stand,Profile URL,enrichment_status,score
FDHW Exhibitor List,Sort: Name,,,partial,0
FDHW Exhibitor List,Sort: Name,,,partial,0
Adnan Khudari & Sons Trading Co.  Exhibitor • Jordan • Stand N4410b,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282246,partial,0
Adnan Khudari & Sons Trading Co.  Exhibitor • Jordan • Stand N4410b,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282246,partial,0
Show Interest,,,,partial,0
Adpak Machinery Systems  Exhibitor • United Kingdom • Stand N246,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282245,partial,0
Adpak Machinery Systems  Exhibitor • United Kingdom • Stand N246,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282245,partial,0
Show Interest,,,,partial,0
Aghati Sweets  Exhibitor • Jordan • Stand N4410j,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282250,partial,0
Aghati Sweets  Exhibitor • Jordan • Stand N4410j,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282250,partial,0
Show Interest,,,,partial,0
AGRICO DTL  Exhibitor • Poland • Stand N4330,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572165,partial,0
AGRICO DTL  Exhibitor • Poland • Stand N4330,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572165,partial,0
Show Interest,,,,partial,0
AGRICOM INTERNATIONAL  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16951466,partial,0
AGRICOM INTERNATIONAL  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16951466,partial,0
Show Interest,,,,partial,0
Agricultural and Processed Food Products Export Development Authority (APEDA  Exhibitor • India • Stand N1330,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282256,partial,0
Agricultural and Processed Food Products Export Development Authority (APEDA  Exhibitor • India • Stand N1330,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282256,partial,0
Show Interest,,,,partial,0
AGRODIV  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16944476,partial,0
AGRODIV  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16944476,partial,0
Show Interest,,,,partial,0
Agrofusion  Exhibitor • Ukraine • Stand N623,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282261,partial,0
Agrofusion  Exhibitor • Ukraine • Stand N623,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282261,partial,0
Show Interest,,,,partial,0
Agroittica Lombarda  Exhibitor • Italy • Stand N2010b,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282222,partial,0
Agroittica Lombarda  Exhibitor • Italy • Stand N2010b,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282222,partial,0
Show Interest,,,,partial,0
AGROLIVA/ BAYA OLIVE OIL  Exhibitor • Tunisia • Stand N4610,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16624957,partial,0
AGROLIVA/ BAYA OLIVE OIL  Exhibitor • Tunisia • Stand N4610,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16624957,partial,0
Show Interest,,,,partial,0
Agromonte  Exhibitor • Italy • Stand N2010f,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282269,partial,0
Agromonte  Exhibitor • Italy • Stand N2010f,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282269,partial,0
Show Interest,,,,partial,0
Agropošta  Exhibitor • Croatia • Stand N1070,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282234,partial,0
Agropošta  Exhibitor • Croatia • Stand N1070,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282234,partial,0
Show Interest,,,,partial,0
"Agua Nueva Nuts  Exhibitor • LONDON UK, MEXICO, HOLLAND • Stand N655","Growers packers and shellers, we export worldwide. From Farm to Table.",,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282252,partial,0
"Agua Nueva Nuts  Exhibitor • LONDON UK, MEXICO, HOLLAND • Stand N655","Growers packers and shellers, we export worldwide. From Farm to Table.",,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282252,partial,0
Show Interest,,,,partial,0
AHA GLOBAL ( v7 DRINK )  Exhibitor • United Kingdom • Stand N2739,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282259,partial,0
AHA GLOBAL ( v7 DRINK )  Exhibitor • United Kingdom • Stand N2739,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282259,partial,0
Show Interest,,,,partial,0
Ahaean Land  Exhibitor • Greece • Stand N2212b,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16694843,partial,0
Ahaean Land  Exhibitor • Greece • Stand N2212b,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16694843,partial,0
Show Interest,,,,partial,0
AIB Foods Ltd  Exhibitor • United Kingdom • Stand N2510,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282257,partial,0
AIB Foods Ltd  Exhibitor • United Kingdom • Stand N2510,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282257,partial,0
Show Interest,,,,partial,0
AIDA FOODS  Exhibitor • United Kingdom • Stand N4055,Our Mission Is To Provide The Best!,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282243,partial,0
AIDA FOODS  Exhibitor • United Kingdom • Stand N4055,Our Mission Is To Provide The Best!,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282243,partial,0
Show Interest,,,,partial,0
AIR ALGERIE  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16944477,partial,0
AIR ALGERIE  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16944477,partial,0
Show Interest,,,,partial,0
AIRO  Exhibitor • United Kingdom • Stand S3065,"Meet AirCare®, the world’s first patent-protected sensor capable of monitoring micron-level grease, dust, and temperature deposits.",,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282247,partial,0
AIRO  Exhibitor • United Kingdom • Stand S3065,"Meet AirCare®, the world’s first patent-protected sensor capable of monitoring micron-level grease, dust, and temperature deposits.",,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282247,partial,0
Show Interest,,,,partial,0
AK Distillery ltd  Exhibitor • United Kingdom • Stand S2024,1st in UK this type of distillery,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282279,partial,0
AK Distillery ltd  Exhibitor • United Kingdom • Stand S2024,1st in UK this type of distillery,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282279,partial,0
Show Interest,,,,partial,0
FDHW Exhibitor List,Sort: Name,,,partial,0
AKANLAR FOOD CO.  Exhibitor • Turkey • Stand N3661,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572170,partial,0
AKANLAR FOOD CO.  Exhibitor • Turkey • Stand N3661,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572170,partial,0
Show Interest,,,,partial,0
AKANLAR FOOD CO.  Exhibitor • Turkey • Stand N3661,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282264,partial,0
AKANLAR FOOD CO.  Exhibitor • Turkey • Stand N3661,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282264,partial,0
Show Interest,,,,partial,0
AKSAM  Exhibitor • Poland • Stand N4310,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572171,partial,0
AKSAM  Exhibitor • Poland • Stand N4310,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572171,partial,0
Show Interest,,,,partial,0
Al Barakah Dates  Exhibitor • United Arab Emirates • Stand N510,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282267,partial,0
Al Barakah Dates  Exhibitor • United Arab Emirates • Stand N510,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282267,partial,0
Show Interest,,,,partial,0
Al Bateel Trading for Food Stuff  Exhibitor • Jordan • Stand N4410e,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282237,partial,0
