Company,Country,Stand,Profile URL,enrichment_status,score,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,description,phone,address,linkedin_url,industry
FDHW Exhibitor List,Sort: Name,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
FDHW Exhibitor List,Sort: Name,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Adnan Khudari & Sons Trading Co.  Exhibitor • Jordan • Stand N4410b,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282246,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Adnan Khudari & Sons Trading Co.  Exhibitor • Jordan • Stand N4410b,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282246,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Adpak Machinery Systems  Exhibitor • United Kingdom • Stand N246,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282245,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Adpak Machinery Systems  Exhibitor • United Kingdom • Stand N246,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282245,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Aghati Sweets  Exhibitor • Jordan • Stand N4410j,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282250,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Aghati Sweets  Exhibitor • Jordan • Stand N4410j,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282250,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AGRICO DTL  Exhibitor • Poland • Stand N4330,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572165,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AGRICO DTL  Exhibitor • Poland • Stand N4330,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572165,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AGRICOM INTERNATIONAL  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16951466,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AGRICOM INTERNATIONAL  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16951466,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
