Company Name,Country,Website,Email,LinkedIn,Phone
Ecoalf,Spain,https://ecoalf.com,contacto@ecoalf.com,https://www.linkedin.com/company/ecoalf,+34919025049
Scalpers,Spain,https://scalperscompany.com,info@scalperscompany.com,https://www.linkedin.com/company/scalpers,+34955440707
Silbon,Spain,https://silbonshop.com,info@silbonshop.com,https://www.linkedin.com/company/silbon,+34957740041
Brava Fabrics,Spain,https://bravafabrics.com,orders@bravafabrics.com,,3840424446
The Brubaker,Spain,https://thebrubaker.com,clientes@thebrubaker.com,https://www.linkedin.com/company/the-brubaker,689370486
Scotta 1985,Spain,https://scotta1985.com,atencionalcliente@scotta1985.com,https://es.linkedin.com/company/scotta,+34664672158
Blue Banana Brand,Spain,https://bluebananabrand.com,info@bluebananabrand.com,https://www.linkedin.com/company/blue-banana-brand/,
Brownie,Spain,https://browniespain.com,info@browniespain.com,https://es.linkedin.com/company/brownie,+34911044409
Altonadock,Spain,https://altonadock.com,info@altonadock.com,https://es.linkedin.com/company/altonadock-s-l,
Hoff Brand,Spain,https://thehoffbrand.com,info@thehoffbrand.com,https://es.linkedin.com/company/hoffbrand,363738394041
Kaporal,France,https://kaporal.com,info@kaporal.com,,
Le Temps des Cerises,France,https://ltdc.fr,ltdc.diagnostic@gmail.com,https://www.linkedin.com/company/le-temps-des-cerises-fr,0561601122
Freeman T. Porter,France,https://freemantporter.com,info@freemantporter.com,https://www.linkedin.com/company/freeman-t-porter/,
Balibaris,France,https://balibaris.com,info@balibaris.com,https://www.linkedin.com/company/balibaris/,
Faguo,France,https://faguo-store.com,info@faguo-store.com,https://www.linkedin.com/company/faguo-shoes,
Maison Labiche,France,https://maisonlabiche.com,help@maisonlabiche.com,https://www.linkedin.com/company/maisonlabiche/,+33663932434
Chevignon,France,https://chevignon.com,info@chevignon.com,https://www.linkedin.com/company/chevignon/?originalSubdomain=fr,0185786375
1083,France,https://1083.fr,info@1083.fr,https://www.linkedin.com/company/lEquipe1083/,0482326040
A.P.C.,France,https://apc.fr,info@apc.fr,https://www.linkedin.com/company/a-p-c-/,+330153634379
IKKS,France,https://ikks.com,info@ikks.com,https://www.linkedin.com/company/ikks,+330241759793
Closed,Germany,https://closed.com,info@closed.com,https://de.linkedin.com/company/closed-,+49404418400
MAC Jeans,Germany,https://mac-jeans.com,shop@mac-jeans.com,https://de.linkedin.com/company/macmode,+3120900325
Armedangels,Germany,https://armedangels.com,info@armedangels.com,https://www.linkedin.com/company/social-fashion-company-gmbh/,+492212923290
Drykorn,Germany,https://drykorn.com,info@drykorn.com,https://de.linkedin.com/company/drykorn-modevertriebs-gmbh-&-co-kg,+4921115894247
Marc O’Polo,Germany,https://marc-o-polo.com,info@marc-o-polo.com,https://de.linkedin.com/company/marc-o-polo,
Tom Tailor,Germany,https://tom-tailor.com,e-shop.eu@tom-tailor.com,https://de.linkedin.com/company/tomtailor,+49040589560
S.Oliver,Germany,https://soliver.de,info@soliver.de,https://www.linkedin.com/company/s-oliver-group,+4993029800101
Street One,Germany,https://street-one.com,info@street-one.com,https://de.linkedin.com/company/street-child-deutschland-ev,
Milestone,Germany,https://milestone.de,info@milestone.de,https://de.linkedin.com/company/milestone-immobilien-ag,
Digel,Germany,https://digel.com,support@digel.com,https://www.linkedin.com/company/digel-ag,+4974526040
Denham,Netherlands,https://denhamthejeanmaker.com,info@denhamthejeanmaker.com,https://nl.linkedin.com/company/denham-the-jeanmaker,
Kings of Indigo,Netherlands,https://kingsofindigo.com,info@wilfredwinston.com,https://www.linkedin.com/company/kings-of-indigo,+12137168011
G-Star RAW,Netherlands,https://g-star.com,info@g-star.com,http://www.linkedin.com/company/g-star,+08000200454
Scotch & Soda,Netherlands,https://scotch-soda.com,info@scotch-soda.com,https://www.linkedin.com/company/scotch-%26-soda,
PME Legend,Netherlands,https://pme-legend.com,info@pme-legend.com,,
Cast Iron,Netherlands,https://castiron.com,info@castiron.com,https://www.linkedin.com/company/octatube,
Roy Roger’s,Italy,https://royrogers.it,info@royrogers.it,https://www.linkedin.com/company/manifatture-7-bell-spa,02196080978
Gas Jeans,Italy,https://gasjeans.com,info@gasjeans.com,https://www.linkedin.com/company/gasjeans,+390245075496
Dondup,Italy,https://dondup.com,info@dondup.com,https://it.linkedin.com/company/arcadia-dondup,1325293031
Please Fashion,Italy,https://pleasefashion.com,info@pleasefashion.com,https://www.linkedin.com/company/imperial-fashion-group/?originalSubdomain=it,+3351400765
Pepe Jeans,UK,https://pepejeans.com,info@pepejeans.com,https://www.linkedin.com/company/pepe-jeans,
AllSaints,UK,https://allsaints.com,ask@allsaints.com,https://www.linkedin.com/company/allsaints,
Represent,UK,https://representclo.com,info@representclo.com,https://uk.linkedin.com/company/represent-clo,
Percival,UK,https://percivalclo.com,info@percivalclo.com,https://uk.linkedin.com/company/percival-menswear,+343638404244
Luke 1977,UK,https://luke1977.com,orders@luke1977.com,https://uk.linkedin.com/company/luke-roper-limited,20192020
Threadbare,UK,https://threadbare.com,info@threadbare.com,https://uk.linkedin.com/company/threadbare-apparel,3032343638
Superdry,UK,https://superdry.com,press@superdry.com,https://uk.linkedin.com/company/superdry,+4402074690937
Reiss,UK,https://reiss.com,info@reiss.com,https://www.linkedin.com/company/reiss,+4418082835985
FatFace,UK,https://fatface.com,info@fatface.com,https://www.linkedin.com/company/fat-face,03337778053
Ecoalf Division 1,Spain,https://ecoalf.com,contacto@ecoalf.com,https://www.linkedin.com/company/ecoalf,+34919025049
Scalpers Division 1,Spain,https://scalperscompany.com,info@scalperscompany.com,https://www.linkedin.com/company/scalpers,+34955440707
Silbon Division 1,Spain,https://silbonshop.com,info@silbonshop.com,https://www.linkedin.com/company/silbon,+34957740041
Brava Fabrics Division 1,Spain,https://bravafabrics.com,orders@bravafabrics.com,,3840424446
The Brubaker Division 1,Spain,https://thebrubaker.com,clientes@thebrubaker.com,https://www.linkedin.com/company/the-brubaker,689370486
Scotta 1985 Division 1,Spain,https://scotta1985.com,atencionalcliente@scotta1985.com,https://es.linkedin.com/company/scotta,+34664672158
Blue Banana Brand Division 1,Spain,https://bluebananabrand.com,info@bluebananabrand.com,https://www.linkedin.com/company/blue-banana-brand/,
Brownie Division 1,Spain,https://browniespain.com,info@browniespain.com,https://es.linkedin.com/company/brownie,+34911044409
Altonadock Division 1,Spain,https://altonadock.com,info@altonadock.com,https://es.linkedin.com/company/altonadock-s-l,
Hoff Brand Division 1,Spain,https://thehoffbrand.com,info@thehoffbrand.com,https://www.linkedin.com/company/hoffbrand/,363738394041
Kaporal Division 1,France,https://kaporal.com,info@kaporal.com,,
Le Temps des Cerises Division 1,France,https://ltdc.fr,ltdc.diagnostic@gmail.com,https://www.linkedin.com/company/le-temps-des-cerises,0561601122
Freeman T. Porter Division 1,France,https://freemantporter.com,info@freemantporter.com,https://www.linkedin.com/company/freeman-t-porter/,
Balibaris Division 1,France,https://balibaris.com,info@balibaris.com,https://www.linkedin.com/company/balibaris/,
Faguo Division 1,France,https://faguo-store.com,info@faguo-store.com,https://www.linkedin.com/company/faguo-shoes?originalSubdomain=fr,
Maison Labiche Division 1,France,https://maisonlabiche.com,help@maisonlabiche.com,https://jp.linkedin.com/company/maisonlabiche,+33663932434
