Company,Country,City,HQ Address,Phone,General Email,Website,Likely Decision Titles,Status,Date Contacted,Follow-up Date,Notes,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score
Gloria Jeans,Russia,Rostov-on-Don,"Rostov-on-Don, Russia",+7 863 210 11 11,info@gloria-jeans.ru,gloria-jeans.ru,Head of Sourcing,,,,,,,,,,,partial,0
O'STIN,Russia,Moscow,"Moscow, Russia",+7 495 777 49 99,info@o-stin.com,o-stin.com,Category Buyer Denim,,,,,,,,,,,partial,0
Zolla,Russia,Moscow,"Moscow, Russia",+7 495 660 58 00,info@zolla.com,zolla.com,Production Director,,,,,,,,,,,partial,0
Melon Fashion Group,Russia,St. Petersburg,"St. Petersburg, Russia",+7 812 332 00 00,info@mfg.ru,mfg.ru,Procurement Director,,,,,,,,,,,partial,0
Befree,Russia,St. Petersburg,"St. Petersburg, Russia",+7 812 332 00 00,via mfg.ru,befree.ru,Buying Manager,,,,,,,,,,,partial,0
Sela,Russia,Moscow,"Moscow, Russia",+7 495 988 30 88,info@sela.ru,sela.ru,Import Manager,,,,,,,,,,,partial,0
Finn Flare,Russia,Moscow,"Moscow, Russia",+7 495 980 97 97,info@finn-flare.ru,finn-flare.ru,Sourcing Director,,,,,,,,,,,partial,0
Familia,Russia,Moscow,"Moscow, Russia",+7 495 660 13 60,info@familia.ru,familia.ru,Commercial Director,,,,,,,,,,,partial,0
Zarina,Russia,St. Petersburg,"St. Petersburg, Russia",+7 812 332 00 00,via mfg.ru,zarina.ru,Product Director,,,,,,,,,,,partial,0
Love Republic,Russia,St. Petersburg,"St. Petersburg, Russia",+7 812 332 00 00,via mfg.ru,loverepublic.ru,Head of Buying,,,,,,,,,,,partial,0
Concept Club,Russia,St. Petersburg,"St. Petersburg, Russia",+7 812 332 00 00,via mfg.ru,conceptclub.ru,Sourcing Manager,,,,,,,,,,,partial,0
Colin's Russia,Russia,Moscow,"Moscow, Russia",+7 495 739 88 88,info@colins.ru,colins.ru,Category Head,,,,,,,,,,,partial,0
Lime,Russia,Moscow,"Moscow, Russia",+7 495 980 98 98,info@lime-shop.com,lime-shop.com,Production Manager,,,,,,,,,,,partial,0
Baon,Russia,Moscow,"Moscow, Russia",+7 495 785 82 82,info@baon.ru,baon.ru,Import Director,,,,,,,,,,,partial,0
Modis,Russia,Moscow,"Moscow, Russia",+7 495 775 55 45,info@modis.ru,modis.ru,Procurement Head,,,,,,,,,,,partial,0
Snow Queen,Russia,Moscow,"Moscow, Russia",+7 495 777 88 77,info@snowqueen.ru,snowqueen.ru,Supply Chain Director,,,,,,,,,,,partial,0
Sportmaster,Russia,Moscow,"Moscow, Russia",+7 495 777 77 77,info@sportmaster.ru,sportmaster.ru,Apparel Procurement,,,,,,,,,,,partial,0
Westland,Russia,Moscow,"Moscow, Russia",+7 495 258 58 00,info@westland.ru,westland.ru,Production Manager,,,,,,,,,,,partial,0
Forward,Russia,Moscow,"Moscow, Russia",+7 495 221 77 44,info@forward-sport.ru,forward-sport.ru,Buying Manager,,,,,,,,,,,partial,0
