Company,Country,City,Category,Fair,Email,Website
AMANDA CHRISTENSEN,SWEDEN,,,Pitti Uomo 110,economy@houseofamandachristensen.com,https://www.houseofamandachristensen.com
AMUNDSEN,NORWAY,,,Pitti Uomo 110,,
ANERKJENDT,DENMARK,,Nordic Style; Japan Style; Denimwear; Outdoor; Urban; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,shop@anerkjendt.com,http://www.anerkjendt.com
BELOWTEN,SWEDEN,,Lifestyle; Sustainable; Essentials; Nordic Style; Outdoor; High Performance; Sportswear; Premium Streetwear; Craftsmanship; Contemporary,Pitti Uomo 110,info@belowten.se,http://www.belowten.se
BIANCO,DENMARK,,Nordic Style; Classic; Craftsmanship; Contemporary,Pitti Uomo 110,info@bianco.com,https://www.bianco.com
CALAJ PERFUME,ROMANIA,,,Pitti Uomo 110,,
CHPO BRAND,SWEDEN,,Lifestyle; Sustainable; Nordic Style; Outdoor; Globetrotter; Activewear; Sportswear; Premium Streetwear; Urban; Youth Culture,Pitti Uomo 110,customerservice@chpobrand.com,http://www.chpobrand.com
CLABRY,RUSSIAN FEDERATION,,,Pitti Uomo 110,,
EN DOFT,SWEDEN,,Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,hello@endoft.com,https://endoft.com
GABBA,DENMARK,,Lifestyle; Essentials; Nordic Style; Denimwear; Urban; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,info@gabba.com,https://www.gabba.com
GRAMMATIK DRAMMATIK,ROMANIA,,,Pitti Uomo 110,,https://releasedistribution.it/grammatik-drammatik
H2O,DENMARK,,,Pitti Uomo 110,contact@h2o-sportswear.com,https://h2o-sportswear.com
HALO,DENMARK,,,Pitti Uomo 110,,
HELLY HANSEN,NORWAY,,Lifestyle; Sustainable; Cutting-Edge; Nordic Style; Outdoor; High Performance; Activewear; Sportswear; Urban; Collection,Pitti Uomo 110,abc@xyz.com,http://www.hellyhansen.com
HENRIK VIBSKOV,DENMARK,,,Pitti Uomo 110,,
ILSE JACOBSEN HORNBÆK,DENMARK,,,Pitti Uomo 110,,
INDICODE,DENMARK,,,Pitti Uomo 110,info@indicodejeans.dk,https://www.indicodejeans.dk
KAWASAKI FOOTWEAR,DENMARK,,Lifestyle; Nordic Style; Sportswear; Urban,Pitti Uomo 110,,http://kawasakifootwear.com
KJØRE PROJECT,NORWAY,,,Pitti Uomo 110,,
KRONSTADT,DENMARK,,,Pitti Uomo 110,,
LES DEUX,DENMARK,,Lifestyle; Essentials; Classic; Premium Streetwear; Craftsmanship; Contemporary,Pitti Uomo 110,customercare@lesdeux.com,https://lesdeux.dk
MISMO,DENMARK,,Lifestyle; Essentials; Nordic Style; Classic; New Formal; Globetrotter; Informal; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,sales@mismo.dk,http://www.mismo.dk
MONOFOO,NORWAY,,Outdoor; Urban; Craftsmanship,Pitti Uomo 110,hello@monofoo.com,http://www.monofoo.com
MOS MOSH GALLERY,DENMARK,,,Pitti Uomo 110,,
OBAYATY,SWEDEN,,,Pitti Uomo 110,,
ONE NODE,NORWAY,,Nordic Style; Outdoor; Contemporary,Pitti Uomo 110,info@onenode.no,https://onenode.no/en
QOT (QUESTION OF TIME),SWEDEN,,,Pitti Uomo 110,info@qotofficial.com,https://qotofficial.com
REVOLUTION,DENMARK,,Sustainable; Essentials; Nordic Style; Classic; Premium Streetwear; Urban; Contemporary,Pitti Uomo 110,shop@revolution.eu,http://www.revolution.eu
SAND MENSWEAR,DENMARK,,,Pitti Uomo 110,prsand@sandcopenhagen.com,http://www.sandcopenhagen.com
SCANDINAVIAN EDITION,NORWAY,,Nordic Style; Classic; Outdoor; High Performance; Activewear; Urban; Contemporary; Collection,Pitti Uomo 110,support@scandinavianedition.com,https://scandinavianedition.com
SPACE FRIENDS,POLAND,,Lifestyle; Outdoor; High Performance; Premium Streetwear; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,office@spacefriends.eu,https://spacefriends.eu
THE WHITE BRIEFS,SWEDEN,,,Pitti Uomo 110,customerservice@thewhitebriefs.com,http://www.thewhitebriefs.com
TIGER OF SWEDEN,SWEDEN,,,Pitti Uomo 110,info@tigerofsweden.com,http://www.tigerofsweden.com
WIGÉNS,SWEDEN,,,Pitti Uomo 110,economy@houseofamandachristensen.com,http://www.houseofamandachristensen.com
WOODBIRD,DENMARK,,,Pitti Uomo 110,nihao@woodbird.eu,https://woodbird.eu
Eustilita,Lithuania,LT-48399,Garment Manufacturer / Apparel,Source Fashion London Jul 7-9 2026,info@natutui.com,https://natutui.com/en/
Gateway to Fair Trade Fashion,Poland,80-245,,Source Fashion London Jul 7-9 2026,info@cookiepedia.co.uk,https://cookiepedia.co.uk/giving-consent-to-cookies
