name,rewriteId,detail_url,country,province,city,zip,street,building,phone,fax,email,homepage,short_description,description,halls,stands,zones,exhibitor_programs,product_categories,usage_areas,product_end_uses,keywords,tags,brands,facebook,instagram,linkedin,twitter,youtube,tiktok,wechat,weibo,whatsapp,logo,last_approval,email_source,website_source
A.M.C. Merchandising,amc-merchandising-limited,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/amc-merchandising-limited.html,Hong Kong,,Hong Kong,,Unit A222 3/F Hang Fung Industrial Building Phase 2 2G Hok Yuen Streer Hunghom KL,,+852 15112545165,,elle.zeng@szchinatex.com,,,,4,H4-H517,Casual & Sports,New Exhibitor,,,,,,,,,,,,,,,,,2026-03-12T12:07:01,api,
Abhay and Abhi Exports,abhay-and-abhi-exports,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/abhay-and-abhi-exports.html,India,Uttar Pradesh,Agra,282001,"Rajrai, Shamsabad Road","Plot no.110, Pushpanjali Orchid, opp Nalanda Town",+91 98087 55030,,info@abhayandabhiexports.com,https://abhayandabhiexport.com,,,4,H4-H541,Fashion Accessories,Small Order Itinerary < 300 Pieces,,,,,,,,,,,,,,,,,2025-12-23T06:18:16,api,ddg
Abilheira & Cunha,abilheira--cunha---txteis-lda,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/abilheira--cunha---txteis-lda.html,Portugal,,Barcelos,4750-784,Vila Boa S.João,"R.Nova do Corujo, Lt 2",+351 917 551 197,,abilheira.cunha@mail.telepac.pt,https://abilheira.com/en/,,,3,H3-B319,Casual & Sports,,,,,,,,,,,,,,,,,,2026-01-26T12:40:08,api,api
Access Garment Company (Ningbo),ningbo-access-garment-company,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ningbo-access-garment-company.html,China,Zhejiang,Ningbo,315192,"8F Haiguang Bldg, No.298 Zhongshan West Road",,+86 574 8736 0556,,access19@nbaccess.com,https://accesscn.com/,,,4,H4-H505,Kids,,,,,,,,,,,,,,,,,,2025-12-19T12:22:55,api,api
Afflatus International,afflatus-international,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/afflatus-international.html,India,Haryana,Gurgaon,122001,EHTP,"Plot 12, Sector34,",+91 98111 67782,,gokul.mahna@afflatusgroup.com,https://www.afflatusgroup.com,,,3,H3-A361,All About Her,New Exhibitor; Small Order Itinerary < 300 Pieces,,,,,,,,,,,,,,,,,2025-12-24T06:10:29,api,api
Ahava Composite,ahava-composite,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ahava-composite.html,Bangladesh,,Dhaka,1229,"L.td. House 04, Road 8/A, Nikunja-l, Khilkhet",,,,info@bgmea.com.bd,https://bgmea.com.bd,,,3; null,H3-C322; Hnull,Casual & Sports,,,,,,,,,,,,,,,,,,2025-12-24T15:53:44,site_crawl,ddg
Ahcof Neochains Holdings,ahcof-neochains-holdings-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ahcof-neochains-holdings-coltd.html,China,Anhui,Hefei,230000,No.986 Huayuan Avenue,"Building No.1, Ahcof Center",+86 551 6283 1261,+86 551 6283 1352,vasiliy@ahcof.com,https://www.ahcof.com,,,4,H4-H511,Casual & Sports,,,,,,,,,,,,,,,,,,2025-12-19T12:10:52,api,api
Ahuja Overseas,ahuja-overseas,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ahuja-overseas.html,India,Rajasthan,Jaipur,302017,"B8A Malvia Industrial area, Malvia Nagar",,+91 141 419 9000,+91 141 275 3396,ahuja@ahujajaipur.com,https://www.ahujajaipur.com,,,3,H3-A365,All About Her,,,,,,,,,,,,,,,,,,2026-03-03T12:03:49,api,api
Ahujasons,ahujasons-shawlwale-pvt-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ahujasons-shawlwale-pvt-ltd.html,India,,New Delhi,110005,6/44 W.E.A. Ajmal Khan Road,,+91 114610240407,+91 11 4610 2401,info@ahujasons.com,https://www.ahujasons.com,,,4,H4-H540,Fashion Accessories,Small Order Itinerary < 300 Pieces,,,,,,,,,,,,,,,,,2026-03-03T12:03:04,api,api
Aiyimei Imp. & Exp. (Zhejiang),zhejiang-aiyimei-imp--exp-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/zhejiang-aiyimei-imp--exp-co-ltd.html,China,Zhejiang,Ningbo,315500,No.88 Siming Road,,+86 574 8891 4809,,henry@aiyimeifashion.com,https://www.aiyimeifashion.com,,,4,H4-F401,Tailored,,,,,,,,,,,,,,,,,,2025-12-19T12:29:08,api,api
Aknit Imp. & Exp. (Dongguan),dongguan-aknit-import--export-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/dongguan-aknit-import--export-coltd.html,China,Guangdong,Dongguan,523777,"288 Yinlang South Road,Shanghui Building Floor 14 Room 2858Dalang Town",,+86 769 8297 2249,,zhao@annakchina.com,https://www.annak-knitwear.com,,,4,H4-E499,Knitted,,,,,,,,,,,,,,,,,,2025-12-19T12:18:18,api,api
Allch Imp. & Exp. (Ningbo),ningbo-allch-impexp-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ningbo-allch-impexp-coltd.html,China,Zhejiang,Ningbo,315000,17F Hengyuan Business Mansion No568 Tiantong South Road,,+86 574 8786 3356,,hans@alliancenb.com,,,,4,H4-H543,Fashion Accessories,,,,,,,,,,,,,,,,,,2025-12-29T16:41:11,api,
Alpine Imp. & Exp. (Guangzhou),guangzhou-alpine-import-and-export-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/guangzhou-alpine-import-and-export-co-ltd.html,China,Guangdong,Guangzhou,315192,"Room 08, 09, 10, 11, 12, 15 / F, No. 52, San Dong Avenue, Huacheng Street, Huadu District",,+86 8613926213955,,arums@gzalpine.com,https://m.alpine.com.cn,,,4,H4-E547,Fashion Accessories,,,,,,,,,,,,,,,,,,2025-12-19T12:12:38,api,ddg
Andi Fashion (Jiaxing),jiaxing-andi-fashion-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/jiaxing-andi-fashion-co-ltd.html,China,Zhejiang,Jiaxing,315192,"Room 102-2, Building 21,Zhifu Centergaozhao Street, Xiuzhou District",,+86 183 2903 8602,+86 573 8275 0551,peggy@idea2000.com.cn,https://www.idea2000.com.cn,,,3,H3-B337,All About Her,Econogy Finder,,,,,,,,,,,,,,,,,2025-12-19T12:12:18,api,api
Ange Imp. & Exp. Trade (Fujian),fujian-ange-import-and-export-trade-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/fujian-ange-import-and-export-trade-co-ltd.html,China,Fujian,Shishi,315192,"609-611,6Th Floor,Minshang Financial Center47 Zhengxing Road,Fengli Street",,+86 139 6021 5792,,ling@ribochina.com,https://volza.com,,,4,H4-F497,Casual & Sports,,,,,,,,,,,,,,,,,,2025-12-19T12:19:44,api,ddg
Ani Fashion,ani-shanghai-trading-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ani-shanghai-trading-coltd.html,China,Shanghai,Shanghai,201700,"Room 911, Building 1 Wanda Mansion, No.40,Lane 1079",,+86 21 6523 1826,,fiona.lin@ani-shanghai.com,https://www.ani-shanghai.com,,,3,H3-D374,All About Her,Econogy Finder,,,,,,,,,,,,,,,,,2025-12-19T12:21:50,api,api
Anna 1982,ningbo-anna-1982-garment-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ningbo-anna-1982-garment-coltd.html,China,Zhejiang,Ningbo,315000,"14/F, Building 28Yungu Center, Hongtang Street",,+86 574 8787 3998,+86 574 8787 8068,anna.guo@anna1982.com,https://www.anna1982.com,,,3,H3-B346,All About Her,,,,,,,,,,,,,,,,,,2025-12-19T12:23:36,api,api
