name,rewriteId,detail_url,country,province,city,zip,street,building,phone,fax,email,homepage,short_description,description,halls,stands,zones,exhibitor_programs,product_categories,usage_areas,product_end_uses,keywords,tags,brands,facebook,instagram,linkedin,twitter,youtube,tiktok,wechat,weibo,whatsapp,logo,last_approval
'AJAYYP BINA' Economic Society,ajayyp-bina-economic-society,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/ajayyp-bina-economic-society.html,Turkmenistan,,Ashgabat,744000,"2127 Street, (G.Kuliyeva) 66",,+90 546 657 16 45,+993 12 75-43-76,asia_partner@hotmail.com,https://www.ajayypbina.com,,"""Ajaýyp Bina"" economic society was founded in 2006. Since 2017, the company entered the textile sector by acquiring a cotton...",4.0,H4.0-A17,,,"Fibres and Yarns, Textile Materials, Finishing",,,Open End Cotton Yarn; Ring Cotton Yarn; Yarn producer; Yarn for knitting ; Yarn for weaving,,,,,,,,,,,,,2025-11-18T12:27:34
'Great-Kokand' LLC,great-kokand-llc,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/great-kokand-llc.html,Uzbekistan,,Kokand,151613,Free Economic Zone Istiklol 89,Free Economic Zone,+998 91 155 02 00,+998 91 155 02 00,adp777@mail.ru,https://greatkokand.uz,,,9.1,H9.1-G13,,,,,,,,,,https://www.instagram.com/diname.uz,,,,,,,,,2026-01-06T13:59:31
"'Karwel' Z. Jedrychowski, K. Renski Spólka Jawna",karwel-z-jedrychowski-k-renski-splka-jawna,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/karwel-z-jedrychowski-k-renski-splka-jawna.html,Poland,,Stare Dlutowo,13-203,Ul. Tysiaclecia 39,,+48 23 698 20 12,+48 23 698 22 51,karwel@karwel.com.pl,https://www.karwel.com.pl,,"We are a Polish company established in 1998. Since the beginning of the company's existence, we have been producing curtain...",3.0,H3.0-E25,,,,,,Karwel; Curtain rods; Shelfs; Roller blinds; Table legs,,,,,,,,,,,,,2025-08-21T11:32:59
Öncü Grup A.S.,oencue-grup-as,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/oencue-grup-as.html,Türkiye,,Bayrampasa / Istanbul,34030,Orta Mahalle Topkapi Maltepe Street 10,,+90 212 565 14 24,+90 212 613 32 16,oncu@oncugrup.com.tr,https://www.oncugrup.com.tr,,Oncu Grup A.S has started its operations in 1965 in Istanbul-Turkey. The beginning operations were to produce printing plates...,6.0,H6.0-B51,,,"Bed, Bath & Living",,,Tablecloth; Dekorama; Bathmat; Dekomarin; PVC Floorcovering; Non-slip bath mats; Vinyl wallcoverings; Floor coverings; Wallpapers; Tablecloths,,,,https://www.instagram.com/oncugrup,,,,,,,,,2025-11-25T14:00:44
Özerdem Mensucat San. ve Tic A.S.,oezerdem-mensucat-san-ve-tic-as,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/oezerdem-mensucat-san-ve-tic-as.html,Türkiye,,Usak,64100,Organize Sanayi Bölgesi 101. Cad. No: 43,,+90 276 266 72 46,+90 276 266 72 50,cengiz.ahmet@aran.com.tr,https://www.ozerdem.com.tr,,Manufacturing of Blankets; Furs; Bed Covers/Quilts and Machine Washable Rugs.,12.0,H12.0-C91,,,"Bed, Bath & Living; Carpets & Rugs; Smart Bedding",,,BLANKETS; FURS; FLEECE FABRICS; QUILTS; WASHABLE RUGS,,,,,,,,,,,,,2025-11-24T12:26:29
Özgür Tekstil Konfeksiyon San. ve Tic. A.S.,oezguer-tekstil-konfeksiyon-san-ve-tic-as,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/oezguer-tekstil-konfeksiyon-san-ve-tic-as.html,Türkiye,,Denizli,20330,"Organize Sanayi Bolgesi 2. Kisim Yasar Oncan Street, No: 22, Honaz","Street, No: 22, Honaz",+90 258 269 16 30,+90 258 269 18 73,dogan@ozgurtekstil.com.tr,https://www.ozgurtekstil.com.tr,,"Özgür Tekstil ,since it was established a firm principle of continuity is quality. We keep all documents within the preparation...",5.0,H5.0-B59,,,,,,HOTEL TOWELS; BATH TOWELS; TURKISH TOWELS; BATH AND HOTEL BATHROBES; 100% COTTON TOWELS,,,,,,,,,,,,,2025-10-30T11:04:21
"1888 Mills, LLC",1888-mills-llc,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/1888-mills-llc.html,United States,,Griffin,30224-8867,375 Airport Road,,+1 630-925-7955,+1 630-586-9303,mpinder@1888mills.com,https://www.1888mills.com,,"1888 Mills®, LLC is a global manufacturer of home and commercial textile products for the retail, hospitality and institutional...",9.0,H9.0-B41,,,,,,Manufacturer of home textiles; Terry; Towels; Bed Linen; Sustainability,,,,,,,,,,,,,2026-03-08T02:55:44
A Grupe UAB,a-grupe-uab,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/a-grupe-uab.html,Lithuania,,Jonava,55198,Ruklos g. 14,,+370 678 81314,+370 678 81314,marketingas@agrupe.lt,https://www.agrupe.lt,,"UAB „A grupė“ is a weaving factory in Jonava, Lithuania, founded in 1990. The company has over 50 employees. There are weaving...",6.1,H6.1-F34,,Retail trade suppliers; Selected for Heimtextil Trends,"Bed, Bath & Living; Decorative & Furniture Fabrics",,,Linen terry; Bedlinen fabrics; Linen fabrics; Linen weaving factory; Home textile,,,,https://www.instagram.com/agrupe_linen,,,,,,,,company_pictures/10000000202601/489333/1764314395575_2874517973.png,2025-11-28T08:20:21
A&R International Trading LLC,ar-interantional-trading-llc,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/ar-interantional-trading-llc.html,United States,Washington,Seattle Washington,98199,2550 40thw Seattle W,,,,,,,A&R International Trading LLC: Your Expert Partner in Window Coverings Welcome to A&R International Trading LLC. We are a...,3.0,H3.0-G33,,,Window & Interior Decoration,,,Honeycomb blind; Pleated blind; Curtain; Wooden blind,,,,,,,,,,,,,2025-11-07T06:51:55
A. Essak & Sons Home Textiles,a-essak--sons-home-textiles,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/a-essak--sons-home-textiles.html,Pakistan,,Karachi,75850,"Scheme-33, Phase I D-3, S.I.T.E. Super Highway","Scheme-33, Phase I",+92 21 36412228,+92 21 36928625,info@aestextiles.com,https://www.aestextiles.com,,"A.Essak & Sons – HOME TEXTILES is private own company, has transformed into a powerful competitor in the field of Home Textile...",8.0,H8.0-B14,,Econogy FINDER,"Bed, Bath & Living",,,Terry Towel; Bathrobe; Bed Linen; Table Linen; Bath Mat,,,,,https://www.linkedin.com/company/a-essak-&-sons-home-textiles-,,,,,,,company_pictures/10000000202501/394892/1729342058873_3972543707.png,2025-09-11T12:49:41
A. Molina & C. S.p.A.,a-molina--c-spa,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/a-molina--c-spa.html,Italy,,Cairate (Varese),21050,Via Dante 36,,+39 0331 360920,+39 0331 360838,daniela.m@molinapiumini.it,https://www.molinapiumini.it,,"Research and passion.To tell you about us, we have to start here, from the dream and the curiosity for something which at...",4.0,H4.0-E03,,,Smart Bedding,,,DOWN DUVETS; DOWN QUILTS; PILLOWS; DOWNPROOF FABRICS; FEATHERS,,,,https://www.instagram.com/molina_piumini,,,,,,,,,2025-10-22T15:01:21
A.B. Export Pvt. Ltd.,ab-export-pvt-ltd,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/ab-export-pvt-ltd.html,Pakistan,,Faisalabad,38000,"Lasani Pulli, Near Khayaban Gardens, Sergodha Road",,+92 41 8817301,+92 41 8817207,mudassar@ab.com.pk,https://www.ab.com.pk,,"Manufacturer and exporters of textile products for Home, Hospitality and Health care had been in the field of Textiles since...",8.0,H8.0-B31,,,,,,BED & BATH; FLAME RETARDANT ; LINNING MATERIALS FOR CURTAINS; DUVETS & PILLOWS ; SMART BEDDING,,,,,,,,,,,,,2025-10-31T09:53:18
A.E. Fabrics (Pvt.) Ltd.,a-e-fabrics-pvt-ltd,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/a-e-fabrics-pvt-ltd.html,Pakistan,,Faisalabad,38000,"11 Km Jaranwala Road, near Shifa International Hospital, Ghousia Stop",,+92 41 8403636,+92 41 8403636,info@aefabrics.com,https://www.aefabrics.com,,"We are BSCI and OEKO-TEX 100 CERTIFIED Company, producing HHH TEXTILE (Home, Hotel, Hospital) textile to our customers in...",8.0,H8.0-L90,,Interior.Architecture.Hospitality FINDER; Retail trade suppliers,"Bed, Bath & Living; Smart Bedding",,,"Bed linen, Home Textile, Fabrics, Cotton, Polyestercotton; Sheets, Double layer Gauze Duvet and Comforter sets; Grey, White, Dyed, Printed woven fabric on Rolls, Bales, Pallets  ; Institutional Sheets, Hospitality, Hotel, Hospital Textile; Deco Cushions, Curtains, Sofa Covers, Aprons, Napkins",,,,,https://www.linkedin.com/company/aefabrics,,,,,,,,2025-11-05T09:39:27
A.G.M. S.r.l.,agm-srl,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/agm-srl.html,Italy,,Tornaco,28070,Via G. Oberdan 48,,+39 0321 886105,,agm@agminks.com,https://www.agminks.com,,"A.G.M. S.r.l. is an Italian company founded in 1978. Since the beginning, its core business has been the production of OPV...",3.0,H3.0-A42,,,Wall Decoration,,,Inks; Wallpapers; Artificial leather; PVC-Free; Coating,,,,,,,,,,,,company_pictures/10000000202501/0051073124/1698766121285_2982627591.png,2025-10-22T11:55:20
A.L. Home,a-l-home,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/a-l-home.html,India,IND_20,Jaipur,302022,"E-104 Sitapura Industrial Area, Second Floor",,,,,,,"A.L. HOME is a contemporary home décor brand built on five decades of craftsmanship, creativity, and manufacturing excellence...",11.0,H11.0-C18,,,Carpets & Rugs; Decorative & Furniture Fabrics,,,Private Label Home Furnishings; Designer Rugs; Handcrafted Home Décor; Export Quality Home Textiles; Custom Product Development,,,,,,,,,,,,,2025-11-28T12:45:56
A.N. TEXTILES,an-textiles,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/an-textiles.html,Pakistan,,Karachi,75850,"Plot No. D-50, Phase-I, S.I.T.E II",,+92 345 2255166,+92 21 36412119,info@antextiles.net,https://www.antextiles.net,,"Overview: A.N Textiles, established in 2008, is a renowned manufacturer and exporter of premium Home Textile products based...",8.0,H8.0-E92,,,"Bed, Bath & Living",,,Dyed & Printed Woven Bed Linen - Plain & Dobby; Dyed & Printed Knitted Bed Linen - Jersey & Jacquard; Yarn Dyed & Printed Kitchen Linen - Plain & Dobby; Institutional Linen - Plain & Dobby; Dyed & Printed Living & Outdoor Linen - Plain & Jacquard,,,,,,,,,,,,company_pictures/10000000202601/468001/1765814734169_4175169435.png,2026-02-04T07:41:58
A.R.M. Textiles,arm-textiles,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/arm-textiles.html,India,,Karur,639001,9D/15 Ramakrishna Puram North,,+91 98430 31962,+91 4324 230 313,arm@armtex.in,https://www.armtex.in,,"Arumugam Ramasamy Mudaliyar Exports is one of the leading exporters of cotton home furnishing textiles from Karur, Tamil...",8.0,H8.0-E73,,,"Bed, Bath & Living",,,BAGS; Kitchen linen; outdoor cotton products ; Table linen; Cosmetic cotton products,,,,,,,,,,,,company_pictures/10000000202501/401596/1732971460267_3683177202.png,2026-03-08T03:27:26
A.S. Création Tapeten AG,as-cration-tapeten-ag,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/as-cration-tapeten-ag.html,Germany,DEU_05,Gummersbach,51645,Südstrasse 47,,+49 2261 5420,+49 2261 55883,contact@as-creation.de,https://www.as-creation.com,,"A.S. Création Tapeten AG is one of Europe's leading wallpaper manufacturers and stands for creativity, quality and inspiration...",3.0,H3.0-B40,,Selected for Heimtextil Trends,Wall Decoration,,,Tapeten; Digitaldruck; Wall panels; Wallpaper; Wallcoverings,,,,https://www.instagram.com/ascreation_official,https://de.linkedin.com/company/a.s.-création-tapeten-ag,,,,,,,,2025-11-19T11:12:45
A.S.K. Hometex,askhometex,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/askhometex.html,India,IND_22,Karur,639001,"Annai Indira Salai, Atlas Tex Street 123N, Phoenix Tower Pugular Road","Annai Indira Salai, Atlas Tex Street",+91 98430 56283,,,,,,8.0,H8.0-J31,,,,,,,,,,,,,,,,,,,2025-11-19T16:30:06
A2 Home,a2-home,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/a2-home.html,India,,"Panipat, Haryana",132103,"Sondhapur Chowk, Village Binjhol, Jatal Road",,+91 97290 66030,,amrik@a2home.in,https://www.a2home.in,,"A2Home is a leading manufacturer and exporter of Terry Towels and Home Furnishing products from Panipat, India. We are the...",9.1,H9.1-F01C,,,"Bed, Bath & Living",,,Bath Mats; Cushions & Throws; Bath robes ; Bath Towels; Bedsheets,,,,,,,,,,,,,2025-11-26T11:05:16
AAA Decor LLP,aaa-decor-llp,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/aaa-decor-llp.html,India,IND_24,"Noida, Uttar Pradesh",201301,"D-298, Sector -63, G.B.Nagar",,+91 120 466 6604,,aaadecorllp@gmail.com,,,,8.0,H8.0-B01,,,,,,,,,,,,,,,,,,,2025-12-29T09:45:29
Aadya International,aadya-international,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/aadya-international.html,India,,"Kasna, Greater Noida",201308,"Site V, Kasna E85, EPIP","Site V, Kasna",+91 78273 25965,,contact.aadyainternational@gmail.com,https://www.aadyahome.com,,,10.1,H10.1-B31,,,,,,,,,,,,,,,,,,,2025-09-03T13:47:36
Aakash International,aakash-international,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/aakash-international.html,India,,,,,,+91 70539 45864,,sales@aakash-int.com,https://www.aakash-int.com,,"We are Oekotex Certified supplier with main inhouse production of terry towels, bathmats and throws/cushions. Our firm Aakash...",9.1,H9.1-D10D,,,"Bed, Bath & Living",,,Towel; Bathmats; Cushion; Throw; Terry Towel,,,,,,,,,,,,,2026-01-07T11:43:08
Aarnav Industries Pvt. Ltd.,aarnav-industries-pvtltd,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/aarnav-industries-pvtltd.html,India,IND_06,Ahmedabad,382405,"Survey No. 6/1, 6/2, Narol Gopi Compound, Narol Vatva Road",,+91 99309 80899,,sonali@aarnavgroup.com,https://www.aarnavindustries.com,,"For over four decades, Aarnav Group has been a trusted name in the Indian textile industry. Located in the industrial heart...",8.0,H8.0-C75,,Interior.Architecture.Hospitality FINDER,"Bed, Bath & Living; Smart Bedding",,,"Bedding; Duvet; Pillow Covers; Flat and fitted sheet sets; Anti Microbial, Aroma",,,,,,,,,,,,company_pictures/10000000202601/486714/1762418731081_1219467531.jpg,2025-11-08T13:36:36
