company,hq_country,hq_city,website,main_email,switchboard,categories,approx_revenue_usd,key_clients,linkedin_company,key_exec_name,key_exec_title,key_exec_linkedin
Li & Fung,Hong Kong,Hong Kong,https://www.lifung.com,info@lifung.com,+852 2300 2300,Apparel; Hardgoods; FMCG; Home,7B,"Walmart, Target, Kohl's, Tesco",https://www.linkedin.com/company/li-&-fung,Joseph Phi,Group CEO,https://www.linkedin.com/in/joseph-phi-26045716/
William E. Connor & Associates (WEC),Hong Kong,Hong Kong,https://www.weconnor.com,info@weconnor.com,+852 2410 4111,Apparel; Home; FMCG; Footwear,3B,"Disney, Costco, JCPenney",https://www.linkedin.com/company/william-e--connor-&-associates-ltd,Sandy Connor Henson,CEO,https://www.linkedin.com/in/sandy-connor-henson-b8a8521a/
Newtimes Group,Hong Kong,Hong Kong,https://www.newtimesgroup.com,info@newtimesgroup.com,+852 2735 7733,Apparel; Accessories,2B,"Forever 21, Express, JCPenney",https://www.linkedin.com/company/newtimes-group,Frank Tsui,Chairman,
Crystal International Group,Hong Kong,Hong Kong,https://www.crystalgroup.com,enquiry@crystalgroup.com,+852 2627 2227,Garments; Denim; Knitwear,2B,"Uniqlo, H&M, Gap, Levi's",https://www.linkedin.com/company/crystal-group,Andrew Lo,CEO,https://www.linkedin.com/in/andrewklo/
MAS Holdings,Sri Lanka,Colombo,https://www.masholdings.com,info@masholdings.com,+94 11 269 9700,Intimates; Sportswear; Performance,2B,"Victoria's Secret, Nike, Lululemon, Patagonia",https://www.linkedin.com/company/mas-holdings,Suren Fernando,CEO,https://www.linkedin.com/in/surenfernando/
Esquel Group,Hong Kong,Hong Kong,https://www.esquel.com,corp.affairs@esquel.com,+852 2555 4711,Cotton shirts; Apparel,1.3B,"Ralph Lauren, Tommy Hilfiger, Hugo Boss",https://www.linkedin.com/company/esquel-group,John Cheh,Vice Chairman & CEO,
Shahi Exports,India,Bengaluru,https://www.shahi.co.in,info@shahi.co.in,+91 80 4179 1000,Garments; Knits; Wovens,1.5B,"H&M, Inditex, Marks & Spencer, GAP",https://www.linkedin.com/company/shahi-exports,Anant Ahuja,Director - Operations,https://www.linkedin.com/in/anant-ahuja/
TAL Apparel,Hong Kong,Hong Kong,https://www.talgroup.com,info@talgroup.com,+852 2738 1818,Garments; Shirts,1B,"JCPenney, Brooks Brothers, Banana Republic",https://www.linkedin.com/company/tal-apparel-limited,Roger Lee,CEO,https://www.linkedin.com/in/roger-lee-2030b910/
Brandix,Sri Lanka,Colombo,https://www.brandix.com,info@brandix.com,+94 11 538 0380,Garments; Intimates; Active,1B,"Victoria's Secret, GAP, Marks & Spencer",https://www.linkedin.com/company/brandix-lanka,Ashroff Omar,CEO,https://www.linkedin.com/in/ashroff-omar/
Hirdaramani Group,Sri Lanka,Colombo,https://www.hirdaramani.com,enquiries@hirdaramani.com,+94 11 230 1100,Garments; Active; Casual,700M,"Nike, Patagonia, GAP, Tommy Hilfiger",https://www.linkedin.com/company/hirdaramani-group,Aroon Hirdaramani,Director,https://www.linkedin.com/in/aroon-hirdaramani-744a9a25/
Epic Group,Hong Kong,Hong Kong,https://www.epicgroup.us,info@epicgroup.us,+852 2110 6610,Garments; Wovens; Bottoms,700M,"PVH, Gap, Levi's, Target, Walmart",https://www.linkedin.com/company/epic-group,Ranjan Mahtani,Executive Chairman,https://www.linkedin.com/in/ranjan-mahtani-65aa6019/
PDS Multinational Fashions,India / Hong Kong,Gurgaon,https://www.pdsltd.com,corporate@pdsltd.com,+91 124 670 1810,Garments; Sourcing; Brands,700M,"Asda, Primark, Tesco, JD Williams",https://www.linkedin.com/company/pds-multinational-fashions-limited,Sanjay Jain,Group CEO,https://www.linkedin.com/in/sanjayjain00/
Linmark Group,Hong Kong,Hong Kong,https://www.linmarkgroup.com,corporate@linmarkgroup.com,+852 2516 2238,Apparel; Footwear; Accessories,500M,"Sears, Kmart, Mervyn's",https://www.linkedin.com/company/linmark-group,Steven Sek,CEO,
Orient Craft,India,Gurgaon,https://www.orientcraft.com,info@orientcraft.com,+91 124 478 1000,Garments; Premium Wovens,300M,"Calvin Klein, Tommy Hilfiger, Ralph Lauren, Marks & Spencer",https://www.linkedin.com/company/orient-craft-ltd-,Sudhir Dhingra,Chairman & MD,
Pratibha Syntex,India,Indore,https://www.pratibhasyntex.com,enquiry@pratibhasyntex.com,+91 7325 254 105,Sustainable Garments; Knits,300M,"H&M, C&A, Marks & Spencer, GAP",https://www.linkedin.com/company/pratibha-syntex-limited,Shreyaskar Chaudhary,CEO,https://www.linkedin.com/in/shreyaskar-chaudhary-1b84a5b/
House of Pearl Fashions (Pearl Global),India,New Delhi,https://www.pearlglobal.com,info@pearlglobal.com,+91 11 4150 9300,Garments; Wovens; Knits,200M,"Walmart, Kohl's, JCPenney, Macy's",https://www.linkedin.com/company/pearl-global-industries-limited,Pulkit Seth,Vice Chairman & MD,https://www.linkedin.com/in/pulkit-seth-9b7a1424/
Triburg,India,Gurgaon,https://www.triburg.com,info@triburg.com,+91 124 462 7100,Garments; Premium Apparel,150M,"Ralph Lauren, Hugo Boss, Tommy Hilfiger, Calvin Klein",https://www.linkedin.com/company/triburg,Anil Buchasia,Founder & MD,
Sparc Group / MGF Sourcing,USA,New York,https://www.sparcgroup.com,info@sparcgroup.com,+1 212 884 4000,Apparel; Lifestyle Brands,1B,"Forever 21, Aeropostale, Reebok, Brooks Brothers",https://www.linkedin.com/company/sparc-group-llc,Marc Miller,CEO,https://www.linkedin.com/in/marc-miller-08810/
Synergies Worldwide,Hong Kong,Hong Kong,https://www.synergiesworldwide.com,info@synergiesworldwide.com,+852 2521 2238,Apparel; Home; Accessories,Mid-size,European retailers,https://www.linkedin.com/company/synergies-worldwide-limited,,,
Sourcing Solutions International (SSI),India,Gurgaon,https://www.sourcingsolutions.in,info@sourcingsolutions.in,+91 124 401 5400,Garments,Mid-size,Mid-market retailers,https://www.linkedin.com/company/sourcing-solutions-international,,,
Pacific Resources Export Group (PREG),Pakistan,Karachi,https://www.preg.com.pk,info@preg.com.pk,+92 21 3496 0606,Home Textiles; Garments,Mid-size,"IKEA, GAP, JCPenney",https://www.linkedin.com/company/pacific-resources-export-group-pakistan-pvt-ltd,,,
Daniel Hechter Sourcing,France / Hong Kong,Paris,https://www.danielhechter.com,contact@danielhechter.com,+33 1 42 81 40 00,Apparel; Mens,Mid-size,European retailers,https://www.linkedin.com/company/daniel-hechter-paris,,,
Fishman & Tobin (Aeropostale Sourcing),USA,Miami,https://www.fishmantobin.com,info@fishmantobin.com,+1 305 477 6336,Kids; Menswear,Mid-size,"Walmart, Target, Kohl's",https://www.linkedin.com/company/fishman-&-tobin-inc-,,,
