Company,Country,City,Category,Fair,Website,Email,Phone_WhatsApp,LinkedIn,Instagram,Stand_Booth,Detail_URL,Notes,Facebook,Hall_Stand,Address
030,ITALY,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO ATTICO / H/15,,,,,
04651/ A TRIP IN A BAG,GERMANY,,Lifestyle; Sustainable; Special Co-Lab/Limited Edition; Essentials; Nordic Style; New Formal; Globetrotter; Premium Streetwear; Urban; Contemporary,Pitti Uomo 110,http://www.04651.com,info@04651.com,+49 (0)40.2383189.10,,https://www.instagram.com/04651atripinabag,PADIGLIONE CENTRALE / PIANO INFERIORE / U/2-4,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/0-9/04651--a-trip-in-a-bag,,https://www.facebook.com/04651Sylt/,,
070 STUDIO,ITALY,,,Pitti Uomo 110,http://www.zerosettantastudio.com,info@zerosettantastudio.com,03500620483,,https://www.instagram.com/zerosettanta_studio,PADIGLIONE CENTRALE / PIANO INFERIORE / Q/14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/0-9/070-studio,,https://www.facebook.com/Zerosettanta-studio-287347191299112/,,
24BOTTLES,ITALY,,,Pitti Uomo 110,http://www.24bottles.com,giovanni@24bottles.com,03874391208,https://www.linkedin.com/company/24bottles/,https://www.instagram.com/24bottles_official,PADIGLIONE CAVANIGLIA / 38,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/0-9/24bottles,,https://www.facebook.com/24Bottles,,
40 WEFT,ITALY,,Globetrotter; Premium Streetwear; Informal; Urban; Contemporary,Pitti Uomo 110,http://www.40weft.com,info@40weft.com,+39 055 8826929,,https://www.instagram.com/40weft,PADIGLIONE CAVANIGLIA / 13-14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/0-9/40-weft,,https://www.facebook.com/40weft.OfficialPage/,,
4US,ITALY,,,Pitti Uomo 110,,,,,,ARMERIA / 26-28,,,,,
A. LEYVA,SPAIN,,Essentials; British Style; Classic; Denimwear; Sportswear; Premium Streetwear; Urban; Luxury; Contemporary; Collection,Pitti Uomo 110,http://www.aleyva.com,info@aleyva.com,,,https://www.instagram.com/leyvabelts,PADIGLIONE CENTRALE / PIANO TERRA / D/14,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/a--leyva,,,,
ABARCA,SPAIN,,,Pitti Uomo 110,http://www.abarcashoes.com,info@abarcashoes.com,663839409,,https://www.instagram.com/abarcashoes,PADIGLIONE CAVANIGLIA / 57,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/abarca,,https://www.facebook.com/abarcashoes/,,
AERONAUTICA MILITARE,ITALY,,Lifestyle; Sportswear; Informal; Urban; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.cristianodithiene.com,info@cristianodithiene.com,+39 0445.380330,https://www.linkedin.com/company/cristiano-di-thiene-spa/,https://www.instagram.com/aeronautica_officialstore,CORTILE CAVANIGLIA / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/aeronautica-militare,,,,
AESSE EQP,ITALY,,Lifestyle; Sustainable; High Performance; Urban; Collection,Pitti Uomo 110,http://www.aesseeqp.it,info@aesseeqp.it,01761270238,,https://www.instagram.com/aesseeqp,PADIGLIONE CENTRALE / PIANO TERRA / K/7 L/8,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/aesse-eqp,,,,
