Company,Country,City,Category,Fair,Website,Email,Phone_WhatsApp,LinkedIn,LinkedIn_Handle,Instagram,Instagram_Handle,Facebook,Facebook_Handle,Stand_Booth,Hall_Stand,Address,Detail_URL,Has_Email,Has_Website,Has_Phone,Contact_Score,Notes
030,Italy,,,Pitti Uomo 110,,,,,,,,,,PADIGLIONE CENTRALE / PIANO ATTICO / H/15,,,,False,False,False,0,
04651/ A TRIP IN A BAG,Germany,,Lifestyle; Sustainable; Special Co-Lab/Limited Edition; Essentials; Nordic Style; New Formal; Globetrotter; Premium Streetwear; Urban; Contemporary,Pitti Uomo 110,http://www.04651.com,info@04651.com,+49 (0)40.2383189.10,,,https://www.instagram.com/04651atripinabag,04651atripinabag,https://www.facebook.com/04651Sylt/,04651Sylt,PADIGLIONE CENTRALE / PIANO INFERIORE / U/2-4,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/0-9/04651--a-trip-in-a-bag,True,True,True,4,
070 STUDIO,Italy,,,Pitti Uomo 110,http://www.zerosettantastudio.com,info@zerosettantastudio.com,03500620483,,,https://www.instagram.com/zerosettanta_studio,zerosettanta_studio,https://www.facebook.com/Zerosettanta-studio-287347191299112/,Zerosettanta-studio-287347191299112,PADIGLIONE CENTRALE / PIANO INFERIORE / Q/14,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/0-9/070-studio,True,True,True,4,
24BOTTLES,Italy,,,Pitti Uomo 110,http://www.24bottles.com,giovanni@24bottles.com,03874391208,https://www.linkedin.com/company/24bottles/,24bottles,https://www.instagram.com/24bottles_official,24bottles_official,https://www.facebook.com/24Bottles,24Bottles,PADIGLIONE CAVANIGLIA / 38,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/0-9/24bottles,True,True,True,5,
40 WEFT,Italy,,Globetrotter; Premium Streetwear; Informal; Urban; Contemporary,Pitti Uomo 110,http://www.40weft.com,info@40weft.com,+39 055 8826929,,,https://www.instagram.com/40weft,40weft,https://www.facebook.com/40weft.OfficialPage/,40weft.OfficialPage,PADIGLIONE CAVANIGLIA / 13-14,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/0-9/40-weft,True,True,True,4,
4US,Italy,,,Pitti Uomo 110,,,,,,,,,,ARMERIA / 26-28,,,,False,False,False,0,
A. LEYVA,Spain,,Essentials; British Style; Classic; Denimwear; Sportswear; Premium Streetwear; Urban; Luxury; Contemporary; Collection,Pitti Uomo 110,http://www.aleyva.com,info@aleyva.com,,,,https://www.instagram.com/leyvabelts,leyvabelts,,,PADIGLIONE CENTRALE / PIANO TERRA / D/14,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/a--leyva,True,True,False,3,
ABARCA,Spain,,,Pitti Uomo 110,http://www.abarcashoes.com,info@abarcashoes.com,663839409,,,https://www.instagram.com/abarcashoes,abarcashoes,https://www.facebook.com/abarcashoes/,abarcashoes,PADIGLIONE CAVANIGLIA / 57,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/abarca,True,True,True,4,
AERONAUTICA MILITARE,Italy,,Lifestyle; Sportswear; Informal; Urban; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.cristianodithiene.com,info@cristianodithiene.com,+39 0445.380330,https://www.linkedin.com/company/cristiano-di-thiene-spa/,cristiano-di-thiene-spa,https://www.instagram.com/aeronautica_officialstore,aeronautica_officialstore,,,CORTILE CAVANIGLIA / 1,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/aeronautica-militare,True,True,True,5,
AESSE EQP,Italy,,Lifestyle; Sustainable; High Performance; Urban; Collection,Pitti Uomo 110,http://www.aesseeqp.it,info@aesseeqp.it,01761270238,,,https://www.instagram.com/aesseeqp,aesseeqp,,,PADIGLIONE CENTRALE / PIANO TERRA / K/7 L/8,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/aesse-eqp,True,True,True,4,
AGF MAROSTICA,Italy,,Classic; Sportswear; Contemporary,Pitti Uomo 110,http://www.agfmarostica.com,commerciale@modamarostica.eu,+39 0424 1700109,,,https://www.instagram.com/agf_marostica,agf_marostica,https://www.facebook.com/AGFmarostica,AGFmarostica,PADIGLIONE CENTRALE / PIANO TERRA / D/12,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/agf-marostica,True,True,True,4,
AIKON,Italy,,Lifestyle; Essentials; Cutting-Edge; Japan Style; Denimwear; Premium Streetwear; Urban; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.weareaikon.com,info@weareaikon.com,,,,,,,,SALA DELLE NAZIONI / A/23,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/aikon,True,True,False,2,
AJOBYAJO - CODE KOREA,Korea (South),,Agender; Japan Style; Workwear; Premium Streetwear; Informal; Urban; Youth Culture; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,https://www.ajo-studio.com,info@ajo-studio.com,354-81-01550,,,https://www.instagram.com/ajo_ajobyajo_official,ajo_ajobyajo_official,https://www.facebook.com/ajoajoajoajo,ajoajoajoajo,POLVERIERA / 1,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/ajobyajo---code-korea,True,True,True,4,
ALBERTO,Germany,,Lifestyle; Sustainable; Essentials; Classic; Denimwear,Pitti Uomo 110,https://www.alberto-pants.com/en,hello@alberto-pants.com,+49 2161 8192-0,,,https://www.instagram.com/albertopants,albertopants,,,PADIGLIONE CENTRALE / S. ALFA P.INFERIORE / 2,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alberto,True,True,True,4,
ALBERTO FASCIANI,Italy,,Classic; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.albertofasciani.it,Customercare@albertofasciani.it,+39 0734628530,,,https://instagram.com/albertofasciani_official,albertofasciani_official,https://www.facebook.com/albertofasciani,albertofasciani,PADIGLIONE CENTRALE / PIANO ATTICO / H/6,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alberto-fasciani,True,True,True,4,
ALBERTO LUTI,Italy,,,Pitti Uomo 110,http://www.albertoluti.it,info@albertoluti.it,+39 081 359 00 55,,,https://www.instagram.com/albertolutiofficial,albertolutiofficial,https://www.facebook.com/albertolutinapoli/,albertolutinapoli,PADIGLIONE CENTRALE / PIANO TERRA / D/4,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alberto-luti,True,True,True,4,
ALDEN NEW ENGLAND,U.S.A.,,Lifestyle; Classic; Premium Streetwear; Luxury; Craftsmanship; Collection,Pitti Uomo 110,http://www.aldenshoe.com,online@aldenshoe.com,02346 508-947-3926,,,https://www.instagram.com/aldenshoeco,aldenshoeco,,,PADIGLIONE CENTRALE / PIANO ATTICO / E/8,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alden-new-england,True,True,True,4,
ALESSANDRO GHERARDESCHI,Italy,,,Pitti Uomo 110,,,,,,,,,,,,,,False,False,False,0,
ALESSANDRO GHERARDI,Italy,,Sustainable; Cutting-Edge; Classic; New Formal; Denimwear; High Performance; Activewear; Informal; Luxury; Contemporary,Pitti Uomo 110,http://www.alessandrogherardi.com,info@alessandrogherardi.com,390575797501,,,https://www.instagram.com/alessandrogherardi_official,alessandrogherardi_official,https://www.facebook.com/alessandrogherardiofficial/,alessandrogherardiofficial,PADIGLIONE CENTRALE / PIANO INFERIORE / P/2-6,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alessandro-gherardi,True,True,True,4,
ALESSANDRO GILLES,Italy,,,Pitti Uomo 110,https://www.alessandrogilles.it,info@alessandrogilles.it,+39 089 88 24 29,,,https://www.instagram.com/alessandrogilles_official,alessandrogilles_official,,,RONDINO / 1,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alessandro-gilles,True,True,True,4,
ALEXANDER HOTTO,Italy,,Classic; New Formal; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.alexanderhotto.com,admin@alexanderhotto.com,+39 0734 892013,,,https://www.instagram.com/alexanderhotto,alexanderhotto,https://www.facebook.com/AlexanderHottoShoes,AlexanderHottoShoes,PADIGLIONE CENTRALE / PIANO ATTICO / B/15,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alexander-hotto,True,True,True,4,
ALFONSO D'ESTE,Italy,,Nordic Style; British Style; Classic; Urban; Luxury; Craftsmanship; Collection,Pitti Uomo 110,https://alfonsodeste.it/.alfonsodeste.it,info@alfonsodeste.it,,,,https://www.instagram.com/alfonsodeste_official,alfonsodeste_official,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 49,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alfonso-d-este,True,True,False,3,
ALFRONCE,China,,New Formal; Outdoor; Informal; Urban; Youth Culture; Luxury; Collection,Pitti Uomo 110,http://www.alfronce.com,info@alfronce.com,,,,,,,,SALA DELLE NAZIONI / A/40-42,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alfronce,True,True,False,2,
ALGORI BRAND,Portugal,,Lifestyle; Sportswear; Premium Streetwear; Informal; Urban; Contemporary,Pitti Uomo 110,https://algoribrand.com,hi@algoribrand.com,516315420,,,https://www.instagram.com/algoribrand,algoribrand,https://www.facebook.com/algoribrand,algoribrand,ARMERIA / 11,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/algori-brand,True,True,True,4,
ALLBIRDS,U.S.A.,,Lifestyle; Sustainable; Activewear; Urban,Pitti Uomo 110,https://www.allbirds.eu,service@allbirds.eu,+43 5522-72303,,,https://www.instagram.com/allbirds,allbirds,https://www.facebook.com/weareallbirds,weareallbirds,PADIGLIONE CAVANIGLIA / 23,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/allbirds,True,True,True,4,
