Account Name,LinkedIn Company URL,Website URL,Country
24BOTTLES,https://www.linkedin.com/company/24bottles/,http://www.24bottles.com,Italy
AERONAUTICA MILITARE,https://www.linkedin.com/company/cristiano-di-thiene-spa/,http://www.cristianodithiene.com,Italy
ALPENHAUS,https://www.linkedin.com/company/alpenhaus%C2%AE-outerwear/,http://www.alpenhaus.com,Canada
AMANDA CHRISTENSEN,https://www.linkedin.com/company/18203634/,https://www.houseofamandachristensen.com,Sweden
AMBITIOUS,https://www.linkedin.com/company/ambitious-brand/,http://www.ambitious-brand.com,Portugal
ANDREU,https://www.linkedin.com/company/sebastian-andreu,http://www.sebastianandreu.com,Spain
ANERKJENDT,https://dk.linkedin.com/company/anerkjendt,http://www.anerkjendt.com,Denmark
ARTICO,https://www.linkedin.com/company/artico-sas,http://www.articofashion.com,Italy
BLUE INDUSTRY,https://www.linkedin.com/company/blue-industry/,https://www.blue-industry.com,Netherlands
BLUEMINT,https://tr.linkedin.com/company/bluemint,http://www.bluemint.com,United Kingdom
BONASTRE,https://www.linkedin.com/company/bonastre-paris,http://www.bonastre.net,France
BRAMANI CASHMERE,https://www.linkedin.com/company/bramanicashmere/,http://www.bramanicashmere.com,Italy
BRETT JOHNSON,https://www.linkedin.com/company/brett-johnson/,http://www.brettjohnson.co,U.S.A.
BRUNELLO CUCINELLI,https://www.linkedin.com/company/brunello-cucinelli-s-p-a-/,http://www.brunellocucinelli.com,Italy
CARUSO,https://www.linkedin.com/company/raffaele-caruso-spa/,http://www.carusomenswear.com,Italy
CHAPAL,https://www.linkedin.com/company/maison-chapal/mycompany/,http://www.chapal.fr,France
CLUB OF COMFORT,https://www.linkedin.com/company/club-of-comfort,http://www.club-of-comfort.de,Germany
CMA,https://www.linkedin.com/in/cma-hangers-and-packaging-26bb79311/,https://www.cmagroup.net,Italy
DANIELE ALESSANDRINI,https://www.linkedin.com/company/danielealessandriniofficial,https://danielealessandrini.com,Italy
DRESSLER,https://www.linkedin.com/company/dressler-bekleidungswerke-brinkmann-gmbh-,https://dressler1929.com,Germany
DRYKORN,https://de.linkedin.com/company/drykorn-modevertriebs-gmbh-,http://www.drykorn.com,Germany
DUBLO,https://www.linkedin.com/company/dublo-srl/,https://dublo.it,Italy
ECCO,http://linkedin.com/company/ecco-sko-as,https://it.ecco.com,Italy
ECO-SHOPPER,https://www.linkedin.com/company/eco-shopper,http://www.eco-shopper.it,Italy
EMANUELE MAFFEIS DAL 1958,https://www.linkedin.com/company/emanuele-maffeis---italian-tailor,http://www.emanuelemaffeis.it,Italy
FABRIZIO LESI,https://www.linkedin.com/company/fabrizio-lesi,https://www.fabriziolesi.it,Italy
FARFALLA,https://www.linkedin.com/company/farfalla-calzature/,http://www.farfalla.it,Italy
FF-PACKAGING,https://www.linkedin.com/company/ff-packaging,https://www.ff-packaging.com,Netherlands
FORM BAGS,https://www.linkedin.com/company/form-bags-spa/,http://www.formbags.com,Italy
FRANCESCO SMALTO,https://fr.linkedin.com/company/smalto,https://www.smalto.com,France
FRAY CAMICERIA,https://www.linkedin.com/company/fray-italy-luxury-shirts/,http://www.frayitaly.com,Italy
FUGÀTO,https://linkedin.com/company/fug,http://www.fugato.it,Italy
FUMEO CARLO,https://www.linkedin.com/company/fumeo-carlo,https://www.fumeocarlo.com,Italy
G1920 - GARDEUR,https://www.linkedin.com/company/gardeur,http://www.g1920.com,Germany
GABBA,https://dk.linkedin.com/company/gabbadenim,https://www.gabba.com,Denmark
GABRIEL STUNZ,https://www.linkedin.com/company/gabriel-stunz-design/,http://www.gabrielstunz.com,Germany
GALLIA KNIT PROJECT,https://www.linkedin.com/company/almalia-hub/,https://almalia.it,Italy
GIANO,https://www.linkedin.com/company/gianoeu/,http://www.giano.eu,Italy
GRAN SASSO,https://www.linkedin.com/company/maglificio-gran-sasso/,http://www.gransasso.it,Italy
H2O,https://www.linkedin.com/company/h2o-sportswear-a-s,https://h2o-sportswear.com,Denmark
ISAORA,https://www.linkedin.com/company/isaora/,http://www.isaora.com,U.S.A.
JP5 CONCEPT,https://www.linkedin.com/in/luca-ciucci-a1585125/,https://jp5concept.com,Italy
KETROY,https://www.linkedin.com/company/ketroyofficial,http://www.ketroy.com,Turkey
L. F. LIDFORT,https://www.linkedin.com/company/9406122,http://www.lidfort.it,Italy
LA BOUCLE,https://be.linkedin.com/company/laboucleofficial,http://www.laboucle.com,Belgium
LAMANO ARTISANS,https://www.linkedin.com/company/lamanoartisans/,https://lamanoartisans.it,Italy
LATORRE,https://www.linkedin.com/company/sartoria-latorre,http://www.sartorialatorre.it,Italy
LE TEMPS DES CERISES,https://www.linkedin.com/company/le-temps-des-cerises---japan-rags/mycompany,http://www.letempsdescerises.com,France
LES DEUX,https://www.linkedin.com/company/les-deux,https://lesdeux.dk,Denmark
LUCA FALONI,https://www.linkedin.com/company/luca-faloni/jobs/,https://lucafaloni.com,Italy
LUCIANO BARBERA,https://it.linkedin.com/company/lucianobarberaofficial,https://www.lucianobarbera.com,Italy
M5,https://www.linkedin.com/company/meyer-hosen-ag/,http://www.meyer-hosen.com,Germany
MAERZ MUENCHEN,https://de.linkedin.com/company/maerz-muenchen-kg,https://www.maerz.de,Germany
MAISON MONTAGUT,https://www.linkedin.com/company/maisonmontagut/posts/,https://montagut.com/fr,France
MAZZARELLI,https://www.linkedin.com/company/camiceria-mazzarelli,http://www.camiceriamazzarelli.com,Italy
MEYER,https://www.linkedin.com/company/meyer-hosen-ag/,http://www.meyer-hosen.com,Germany
ONE NODE,https://www.linkedin.com/company/one-node/,https://onenode.no/en,Norway
ORLEBAR BROWN,https://uk.linkedin.com/company/orlebar-brown/,http://www.orlebarbrown.com,United Kingdom
OWN OFF WITH NATURE,https://www.linkedin.com/company/own-offwithnature/,http://www.offwithnature.com,Italy
PAMPEANO,https://www.linkedin.com/company/pampeano,https://www.pampeano.com,United Kingdom
PAUL & SHARK,https://www.linkedin.com/company/paulandshark,http://www.paulandshark.com,Italy
PHILIPPE MODEL PARIS,https://linkedin.com/company/philippe-model-paris,https://www.philippemodel.com/it-it,Italy
PIQUADRO,https://www.linkedin.com/company/piquadro-spa,http://www.piquadro.com,Italy
PREMIATA,https://www.linkedin.com/company/premiata-srl/,http://premiata.com,Italy
PRIVATI FIRENZE,https://www.linkedin.com/company/privati-firenze,http://www.privatifirenze.it,Italy
PRO-KEDS 1949,https://www.linkedin.com/company/pro-keds-1949,https://www.prokeds1949.com,Italy
REIGN,https://www.linkedin.com/company/reign-madeinitaly/,http://www.reign.it,Italy
RICHARD J. BROWN ITALIAN LUXURY DENIM,https://www.linkedin.com/company/richard-j-brown-milano,http://www.richardjbrown.it,Italy
ROBERTA PIERI,https://www.linkedin.com/company/roberta-pieri/,http://www.robertapieri.com,Italy
ROY ROBSON,https://www.linkedin.com/company/royyrobson-fashion/,http://www.royrobson.com,Germany
SAPAF 1954,https://www.linkedin.com/company/sapaf-atelier-1954/,http://www.sapaf54.it,Italy
SAVE THE DUCK,https://www.linkedin.com/company/savetheduck,http://www.savetheduck.com,Italy
STEFANO RICCI,https://www.linkedin.com/company/stefanoriccigroup,http://www.stefanoricci.com,Italy
TBD EYEWEAR,https://www.linkedin.com/company/tbd-eyewear,http://www.tbdeyewear.com,Italy
THOMAS MAINE,https://www.linkedin.com/company/thomasmaine,https://thomasmaine.com,Netherlands
TOP GUN,https://www.linkedin.com/company/top-gun-store/,http://www.topgunstore.com,U.S.A.
TUCANO,https://www.linkedin.com/company/tucano-srl/posts/,https://tucano.com,Italy
UNITY,https://www.linkedin.com/company/unitydesignita/,https://unityoriginal.com,Italy
